Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,5.27,5.31,5.20,5.27,36700,5.27
2016-03-10,5.30,5.30,5.20,5.25,21700,5.19
2016-03-09,5.35,5.35,5.24,5.29,60900,5.229543
2016-03-08,5.47,5.49,5.30,5.33,52100,5.269086
2016-03-07,5.49,5.54,5.43,5.47,60000,5.407485
2016-03-04,5.55,5.55,5.40,5.47,81900,5.407485
2016-03-03,5.45,5.54,5.35,5.49,112700,5.427257
2016-03-02,4.96,5.43,4.96,5.31,80100,5.249314
2016-03-01,4.90,5.00,4.85,4.99,48000,4.932971
2016-02-29,4.75,4.90,4.75,4.82,51900,4.764914
2016-02-26,4.60,4.82,4.59,4.82,69000,4.764914
2016-02-25,4.60,4.60,4.48,4.57,104500,4.517771
2016-02-24,4.52,4.56,4.42,4.56,23000,4.507886
2016-02-23,4.52,4.59,4.51,4.59,17800,4.537543
2016-02-22,4.49,4.55,4.45,4.54,29400,4.488114
2016-02-19,4.41,4.50,4.29,4.41,47200,4.3596
2016-02-18,4.39,4.54,4.35,4.46,72500,4.409029
2016-02-17,4.21,4.36,4.21,4.31,85700,4.260743
2016-02-16,4.15,4.21,4.15,4.17,25500,4.122343
2016-02-12,4.01,4.18,4.01,4.13,38900,4.0828
2016-02-11,4.06,4.08,3.83,3.96,84900,3.914743
2016-02-10,4.27,4.47,4.03,4.20,53700,4.092686
2016-02-09,4.51,4.58,4.25,4.27,40200,4.160897
2016-02-08,4.61,4.64,4.50,4.51,78900,4.394765
2016-02-05,4.75,4.78,4.67,4.68,52900,4.560421
2016-02-04,4.70,4.79,4.58,4.74,33000,4.618888
2016-02-03,4.63,4.71,4.55,4.69,47300,4.570166
2016-02-02,4.65,4.67,4.55,4.55,64100,4.433743
2016-02-01,4.65,4.67,4.56,4.66,22300,4.540932
2016-01-29,4.48,4.68,4.46,4.66,55900,4.540932
2016-01-28,4.44,4.48,4.35,4.48,43700,4.365531
2016-01-27,4.51,4.51,4.30,4.37,61500,4.258342
2016-01-26,4.22,4.55,4.20,4.53,130900,4.414254
2016-01-25,4.45,4.45,4.11,4.23,76500,4.121919
