Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,7.47,7.53,7.47,7.47,68200,7.47
2016-03-10,7.48,7.51,7.46,7.47,65900,7.47
2016-03-09,7.54,7.55,7.52,7.53,66400,7.497
2016-03-08,7.54,7.56,7.52,7.53,98400,7.497
2016-03-07,7.56,7.56,7.50,7.55,99300,7.516912
2016-03-04,7.55,7.58,7.52,7.58,105700,7.546781
2016-03-03,7.49,7.55,7.47,7.55,87100,7.516912
2016-03-02,7.48,7.52,7.45,7.45,109500,7.41735
2016-03-01,7.49,7.55,7.44,7.45,151900,7.41735
2016-02-29,7.56,7.57,7.43,7.43,155100,7.397438
2016-02-26,7.51,7.54,7.49,7.51,82600,7.477088
2016-02-25,7.53,7.54,7.50,7.52,70100,7.487044
2016-02-24,7.55,7.55,7.49,7.49,121600,7.457175
2016-02-23,7.45,7.52,7.43,7.52,131100,7.487044
2016-02-22,7.51,7.54,7.40,7.42,144200,7.387482
2016-02-19,7.38,7.48,7.35,7.48,103200,7.447219
2016-02-18,7.36,7.41,7.32,7.34,243800,7.307833
2016-02-17,7.39,7.43,7.35,7.38,116600,7.347657
2016-02-16,7.48,7.51,7.39,7.39,155600,7.357613
2016-02-12,7.53,7.58,7.50,7.52,85400,7.487044
2016-02-11,7.48,7.59,7.48,7.55,130800,7.516912
2016-02-10,7.53,7.61,7.48,7.48,174300,7.447219
2016-02-09,7.58,7.62,7.56,7.60,123300,7.533838
2016-02-08,7.55,7.60,7.47,7.60,179200,7.533838
2016-02-05,7.50,7.59,7.50,7.51,55100,7.444621
2016-02-04,7.55,7.55,7.46,7.46,148500,7.395057
2016-02-03,7.47,7.60,7.47,7.54,186600,7.47436
2016-02-02,7.41,7.47,7.41,7.42,73000,7.355405
2016-02-01,7.46,7.46,7.41,7.45,95000,7.385143
2016-01-29,7.38,7.45,7.36,7.45,112300,7.385143
2016-01-28,7.36,7.39,7.31,7.34,129300,7.276101
2016-01-27,7.39,7.42,7.33,7.33,120700,7.266188
2016-01-26,7.40,7.45,7.31,7.39,228200,7.325666
2016-01-25,7.43,7.44,7.37,7.37,67900,7.30584
2016-01-22,7.40,7.43,7.37,7.39,83300,7.325666
2016-01-21,7.34,7.40,7.29,7.38,49100,7.315753
2016-01-20,7.37,7.37,7.19,7.28,137100,7.216624
2016-01-19,7.40,7.44,7.35,7.36,127700,7.295927
2016-01-15,7.29,7.38,7.29,7.34,89600,7.276101
2016-01-14,7.33,7.34,7.25,7.26,119600,7.196798
2016-01-13,7.42,7.42,7.29,7.30,209500,7.23645
2016-01-12,7.40,7.45,7.40,7.45,99800,7.352431
2016-01-11,7.41,7.43,7.39,7.41,36900,7.312955
2016-01-08,7.43,7.45,7.39,7.40,105800,7.303086
2016-01-07,7.46,7.48,7.41,7.44,60400,7.342562
2016-01-06,7.40,7.51,7.40,7.43,118300,7.332693
2016-01-05,7.32,7.44,7.30,7.41,62800,7.312955
2016-01-04,7.30,7.36,7.27,7.30,114300,7.204396
2015-12-31,7.36,7.45,7.29,7.29,86500,7.194526
2015-12-30,7.27,7.35,7.25,7.33,159500,7.234002
2015-12-29,7.26,7.28,7.24,7.24,72100,7.145181
2015-12-28,7.27,7.34,7.24,7.30,143100,7.204396
2015-12-24,7.37,7.41,7.25,7.27,76300,7.174788
2015-12-23,7.28,7.37,7.27,7.37,109500,7.273479
2015-12-22,7.24,7.29,7.23,7.26,63100,7.16492
2015-12-21,7.24,7.27,7.23,7.23,54900,7.135312
2015-12-18,7.24,7.26,7.19,7.23,112900,7.135312
2015-12-17,7.14,7.22,7.14,7.21,98700,7.115574
2015-12-16,7.08,7.15,7.06,7.13,110700,7.036622
2015-12-15,7.00,7.14,7.00,7.06,128000,6.967539
2015-12-14,7.10,7.11,6.97,6.97,116600,6.878717
2015-12-11,7.16,7.19,7.10,7.10,84800,7.007015
2015-12-10,7.22,7.22,7.11,7.13,73700,7.036622
2015-12-09,7.25,7.26,7.18,7.21,113200,7.115574
2015-12-08,7.16,7.27,7.15,7.24,186700,7.112613
2015-12-07,7.17,7.18,7.13,7.17,89900,7.043845
2015-12-04,7.12,7.17,7.12,7.17,67900,7.043845
2015-12-03,7.13,7.14,7.08,7.14,100700,7.014373
2015-12-02,7.16,7.17,7.12,7.14,46400,7.014373
2015-12-01,7.10,7.16,7.09,7.16,150500,7.034021
2015-11-30,7.03,7.09,7.00,7.09,127400,6.965253
2015-11-27,7.05,7.05,7.03,7.03,8700,6.906309
2015-11-25,7.07,7.07,7.01,7.03,104800,6.906309
2015-11-24,7.06,7.08,7.03,7.05,113800,6.925957
2015-11-23,7.07,7.13,7.04,7.06,149600,6.935781
2015-11-20,7.06,7.11,7.03,7.06,108000,6.935781
2015-11-19,7.04,7.04,7.00,7.02,135900,6.896484
2015-11-18,6.99,7.03,6.96,7.00,126000,6.876836
2015-11-17,6.98,7.02,6.97,6.99,84200,6.867012
2015-11-16,7.00,7.03,6.95,6.97,92600,6.847364
2015-11-13,6.96,7.06,6.93,7.00,143300,6.876836
2015-11-12,6.87,6.97,6.87,6.94,126700,6.817892
2015-11-11,6.88,6.94,6.83,6.91,111400,6.756
2015-11-10,6.84,6.90,6.80,6.87,50100,6.716892
2015-11-09,6.87,6.87,6.76,6.87,106500,6.716892
2015-11-06,6.88,6.90,6.81,6.90,129600,6.746223
2015-11-05,6.98,7.00,6.91,6.91,93200,6.756
2015-11-04,6.99,7.03,6.92,7.02,104800,6.863549
2015-11-03,6.96,7.02,6.92,7.02,101600,6.863549
2015-11-02,6.94,7.00,6.90,6.96,78100,6.804886
2015-10-30,7.01,7.01,6.92,6.96,98700,6.804886
2015-10-29,6.90,7.01,6.87,7.01,85400,6.853772
2015-10-28,7.00,7.00,6.91,6.92,91800,6.765778
2015-10-27,6.98,7.02,6.96,7.02,94000,6.863549
2015-10-26,6.92,7.00,6.88,7.00,151700,6.843995
2015-10-23,6.89,6.92,6.88,6.91,50200,6.756
2015-10-22,6.86,6.89,6.84,6.89,67200,6.736446
2015-10-21,6.88,6.89,6.83,6.89,85500,6.736446
2015-10-20,6.85,6.88,6.80,6.88,131900,6.726669
2015-10-19,6.84,6.86,6.82,6.83,58000,6.677783
2015-10-16,6.80,6.86,6.78,6.86,100200,6.707115
2015-10-15,6.80,6.83,6.80,6.83,39500,6.677783
2015-10-14,6.81,6.82,6.79,6.82,21600,6.668006
2015-10-13,6.80,6.83,6.79,6.79,49600,6.638675
2015-10-12,6.81,6.87,6.81,6.84,100100,6.655296
2015-10-09,6.82,6.83,6.81,6.82,25500,6.635836
2015-10-08,6.86,6.87,6.81,6.86,43400,6.674756
2015-10-07,6.85,6.87,6.82,6.83,76600,6.645566
2015-10-06,6.86,6.88,6.85,6.88,33000,6.694216
2015-10-05,6.79,6.88,6.79,6.88,82000,6.694216
2015-10-02,6.79,6.84,6.78,6.82,98900,6.635836
2015-10-01,6.76,6.81,6.76,6.77,68000,6.587186
2015-09-30,6.78,6.78,6.76,6.76,58300,6.577456
2015-09-29,6.76,6.78,6.74,6.78,44900,6.596916
2015-09-28,6.80,6.82,6.74,6.76,44700,6.577456
2015-09-25,6.77,6.83,6.77,6.82,55300,6.635836
2015-09-24,6.78,6.82,6.76,6.78,51600,6.596916
2015-09-23,6.78,6.81,6.77,6.80,29300,6.616376
2015-09-22,6.73,6.81,6.72,6.80,58500,6.616376
2015-09-21,6.75,6.77,6.72,6.74,72100,6.557996
2015-09-18,6.64,6.83,6.64,6.77,157900,6.587186
2015-09-17,6.67,6.71,6.61,6.68,47300,6.499616
2015-09-16,6.61,6.67,6.61,6.63,41000,6.450967
2015-09-15,6.64,6.67,6.62,6.64,44400,6.460696
2015-09-14,6.71,6.73,6.64,6.65,45100,6.470427
2015-09-11,6.75,6.77,6.73,6.73,43000,6.548266
2015-09-10,6.74,6.79,6.73,6.77,74300,6.587186
2015-09-09,6.78,6.82,6.76,6.82,64700,6.603727
2015-09-08,6.72,6.81,6.72,6.78,73400,6.564996
2015-09-04,6.69,6.75,6.67,6.72,40600,6.506898
2015-09-03,6.69,6.71,6.67,6.71,37100,6.497215
2015-09-02,6.65,6.69,6.62,6.67,74400,6.458484
2015-09-01,6.64,6.65,6.62,6.65,54300,6.439118
2015-08-31,6.67,6.67,6.62,6.63,65200,6.419752
2015-08-28,6.64,6.66,6.63,6.66,57300,6.448801
2015-08-27,6.64,6.67,6.61,6.66,73600,6.448801
2015-08-26,6.64,6.70,6.60,6.64,118500,6.429435
2015-08-25,6.64,6.69,6.61,6.67,106800,6.458484
2015-08-24,6.62,6.66,6.54,6.64,347300,6.429435
2015-08-21,6.78,6.78,6.70,6.72,80200,6.506898
2015-08-20,6.81,6.83,6.78,6.79,67700,6.574678
2015-08-19,6.83,6.84,6.81,6.81,40100,6.594044
2015-08-18,6.82,6.89,6.79,6.89,46900,6.671507
2015-08-17,6.88,6.88,6.85,6.85,53100,6.632776
2015-08-14,6.76,6.90,6.75,6.88,52600,6.661824
2015-08-13,6.84,6.85,6.77,6.77,61800,6.555313
2015-08-12,6.84,6.88,6.82,6.84,66100,6.623093
2015-08-11,6.72,6.88,6.71,6.84,158500,6.623093
2015-08-10,6.77,6.77,6.73,6.76,76600,6.513677
2015-08-07,6.68,6.78,6.66,6.78,84800,6.532948
2015-08-06,6.67,6.69,6.59,6.69,87200,6.446227
2015-08-05,6.76,6.76,6.61,6.66,175300,6.41732
2015-08-04,6.76,6.77,6.74,6.76,52400,6.513677
2015-08-03,6.69,6.77,6.68,6.77,86100,6.523312
2015-07-31,6.70,6.70,6.68,6.68,45100,6.436591
2015-07-30,6.67,6.69,6.66,6.68,30400,6.436591
2015-07-29,6.68,6.70,6.68,6.70,45900,6.455862
2015-07-28,6.62,6.69,6.62,6.67,82800,6.426956
2015-07-27,6.68,6.68,6.55,6.65,121000,6.407685
2015-07-24,6.65,6.68,6.65,6.67,25100,6.426956
2015-07-23,6.67,6.68,6.59,6.67,91500,6.426956
2015-07-22,6.63,6.66,6.63,6.66,35900,6.41732
2015-07-21,6.62,6.67,6.61,6.62,66800,6.378778
2015-07-20,6.65,6.67,6.62,6.64,93100,6.398049
2015-07-17,6.65,6.69,6.65,6.66,44300,6.41732
2015-07-16,6.72,6.72,6.59,6.66,93700,6.41732
2015-07-15,6.66,6.72,6.65,6.71,51300,6.465498
2015-07-14,6.62,6.67,6.62,6.67,53100,6.426956
2015-07-13,6.64,6.66,6.61,6.62,63600,6.378778
2015-07-10,6.63,6.68,6.63,6.64,67600,6.398049
2015-07-09,6.68,6.69,6.67,6.67,53600,6.426956
2015-07-08,6.72,6.78,6.71,6.71,53600,6.433701
2015-07-07,6.68,6.73,6.68,6.72,75200,6.443289
2015-07-06,6.66,6.68,6.64,6.66,91300,6.385759
2015-07-02,6.66,6.68,6.64,6.65,88300,6.376171
2015-07-01,6.70,6.70,6.65,6.66,105200,6.385759
2015-06-30,6.67,6.68,6.63,6.68,87900,6.404936
2015-06-29,6.66,6.67,6.64,6.66,87100,6.385759
2015-06-26,6.69,6.69,6.65,6.67,53400,6.395348
2015-06-25,6.67,6.71,6.66,6.70,69700,6.424112
2015-06-24,6.67,6.69,6.65,6.68,64700,6.404936
2015-06-23,6.67,6.69,6.66,6.68,79200,6.404936
2015-06-22,6.70,6.70,6.65,6.68,77700,6.404936
2015-06-19,6.68,6.70,6.66,6.69,38300,6.414524
2015-06-18,6.64,6.67,6.63,6.67,40000,6.395348
2015-06-17,6.64,6.66,6.63,6.63,46300,6.356995
2015-06-16,6.66,6.67,6.63,6.67,42300,6.395348
2015-06-15,6.68,6.69,6.61,6.68,139100,6.404936
2015-06-12,6.67,6.71,6.64,6.69,94100,6.414524
2015-06-11,6.62,6.65,6.60,6.64,107900,6.366583
2015-06-10,6.59,6.65,6.57,6.62,113200,6.347406
2015-06-09,6.63,6.63,6.57,6.59,93600,6.318642
2015-06-08,6.66,6.69,6.63,6.66,297800,6.354118
2015-06-05,6.82,6.83,6.70,6.71,215600,6.401822
2015-06-04,6.84,6.86,6.83,6.84,76400,6.525851
2015-06-03,6.88,6.89,6.84,6.86,50900,6.544933
2015-06-02,6.85,6.92,6.85,6.92,96500,6.602177
2015-06-01,6.88,6.93,6.87,6.88,91400,6.564014
2015-05-29,6.87,6.88,6.85,6.88,52200,6.564014
2015-05-28,6.86,6.87,6.84,6.87,72000,6.554473
2015-05-27,6.86,6.86,6.83,6.86,52900,6.544933
2015-05-26,6.84,6.86,6.81,6.83,71100,6.51631
2015-05-22,6.88,6.88,6.82,6.83,70200,6.51631
2015-05-21,6.88,6.91,6.86,6.90,63000,6.583096
2015-05-20,6.87,6.88,6.84,6.86,154300,6.544933
2015-05-19,6.87,6.93,6.87,6.90,84600,6.583096
