Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,18.83,19.43,18.809999,19.35,2900,19.35
2016-03-10,19.02,19.02,18.299999,18.382999,1700,18.382999
2016-03-09,18.48,18.969999,18.367001,18.969999,4600,18.969999
2016-03-08,18.26,18.620001,18.040001,18.33,6900,18.33
2016-03-07,18.26,18.73,18.26,18.620001,9300,18.620001
2016-03-04,18.530001,18.700001,18.41,18.41,6700,18.41
2016-03-03,18.09,18.540001,18.09,18.469999,29400,18.469999
2016-03-02,17.459999,18.26,17.110001,18.01,27700,18.01
2016-03-01,16.75,17.530001,16.459999,17.51,4800,17.51
2016-02-29,16.32,16.43,16.209999,16.35,5000,16.35
2016-02-26,16.42,16.51,16.23,16.35,1100,16.35
2016-02-25,15.93,16.219999,15.76,16.190001,5500,16.116001
2016-02-24,15.40,15.66,15.12,15.66,2900,15.588422
