Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,24.02,24.02,24.01,24.02,2400,24.02
2016-03-10,24.34,24.34,23.969999,24.02,16000,24.02
2016-03-09,24.02,24.309999,24.00,24.190001,8100,24.140001
2016-03-08,24.16,24.16,23.969999,24.15,12000,24.100082
2016-03-07,24.16,24.209999,24.00,24.15,12700,24.100082
2016-03-04,23.870001,24.09,23.870001,24.049999,15400,24.000289
2016-03-03,23.860001,23.90,23.790001,23.90,11100,23.850599
2016-03-02,23.780001,23.860001,23.76,23.84,9700,23.790724
2016-03-01,23.799999,23.799999,23.719999,23.75,17900,23.700909
2016-02-29,23.91,23.91,23.73,23.75,9100,23.700909
2016-02-26,23.719999,24.00,23.700001,23.719999,42200,23.670971
2016-02-25,23.75,23.790001,23.65,23.75,15600,23.700909
2016-02-24,23.75,23.799999,23.610001,23.790001,15300,23.740828
2016-02-23,23.639999,23.90,23.639999,23.799999,6900,23.750805
2016-02-22,23.799999,23.799999,23.639999,23.690001,4400,23.641034
2016-02-19,23.76,23.76,23.60,23.60,10200,23.55122
2016-02-18,23.780001,23.780001,23.709999,23.76,5500,23.710889
2016-02-17,23.790001,23.799999,23.75,23.790001,6200,23.740828
2016-02-16,23.799999,23.92,23.57,23.700001,8100,23.651014
2016-02-12,23.68,23.950001,23.610001,23.799999,7900,23.750805
2016-02-11,23.42,23.700001,23.25,23.540001,34700,23.491344
2016-02-10,23.67,23.809999,23.60,23.65,6600,23.601116
2016-02-09,23.65,23.83,23.530001,23.620001,19100,23.525274
2016-02-08,23.65,23.84,23.65,23.709999,11700,23.614912
2016-02-05,23.76,23.85,23.68,23.84,12700,23.744391
2016-02-04,23.85,23.969999,23.76,23.76,9900,23.664712
2016-02-03,23.860001,23.93,23.76,23.780001,6700,23.684632
2016-02-02,23.74,23.85,23.700001,23.85,8100,23.754351
2016-02-01,23.65,23.950001,23.65,23.92,9500,23.82407
2016-01-29,23.719999,23.799999,23.700001,23.75,7000,23.654752
2016-01-28,23.780001,23.799999,23.59,23.799999,8900,23.704551
2016-01-27,23.58,23.799999,23.50,23.690001,9400,23.594993
2016-01-26,23.75,23.76,23.35,23.559999,8800,23.465514
2016-01-25,23.48,23.799999,23.48,23.620001,19500,23.525274
2016-01-22,23.85,23.85,23.40,23.799999,15900,23.704551
2016-01-21,23.77,23.889999,23.51,23.51,15900,23.415715
2016-01-20,23.639999,23.700001,22.950001,23.690001,35900,23.594993
2016-01-19,23.889999,23.99,23.690001,23.84,14800,23.744391
2016-01-15,23.84,23.99,23.60,23.99,25600,23.893789
2016-01-14,23.83,23.860001,23.75,23.85,10200,23.754351
2016-01-13,23.65,23.90,23.459999,23.75,10700,23.654752
2016-01-12,23.299999,23.959999,23.299999,23.959999,16100,23.863909
2016-01-11,23.25,23.90,23.25,23.780001,8700,23.642801
2016-01-08,23.75,23.790001,23.59,23.65,7700,23.51355
2016-01-07,23.559999,23.799999,23.41,23.620001,7000,23.483724
2016-01-06,23.629999,23.799999,23.610001,23.690001,14000,23.55332
2016-01-05,23.879999,23.889999,23.59,23.85,14200,23.712397
2016-01-04,23.629999,23.98,23.48,23.90,27600,23.762107
2015-12-31,23.459999,23.709999,23.35,23.60,6500,23.463839
2015-12-30,23.50,23.57,23.129999,23.41,10800,23.274935
2015-12-29,23.40,23.59,23.33,23.540001,14200,23.404186
2015-12-28,23.620001,23.66,23.33,23.370001,19600,23.235166
2015-12-24,23.690001,23.73,23.58,23.700001,9300,23.563262
2015-12-23,23.57,23.700001,23.57,23.690001,12300,23.55332
2015-12-22,23.58,23.65,23.48,23.540001,9400,23.404186
2015-12-21,23.73,23.73,23.48,23.52,4300,23.384301
2015-12-18,23.780001,23.790001,23.33,23.610001,5000,23.473782
2015-12-17,23.66,23.85,23.66,23.780001,6700,23.642801
2015-12-16,23.700001,23.75,23.60,23.709999,9600,23.573203
2015-12-15,23.60,23.75,23.58,23.58,4700,23.443954
2015-12-14,23.690001,23.75,23.40,23.530001,16400,23.394243
2015-12-11,23.73,23.889999,23.700001,23.719999,6400,23.583146
2015-12-10,23.74,23.90,23.73,23.85,10400,23.712397
2015-12-09,23.82,23.870001,23.780001,23.82,7300,23.637829
2015-12-08,23.809999,24.040001,23.799999,23.83,8400,23.647753
2015-12-07,23.83,23.950001,23.809999,23.940001,3900,23.756912
2015-12-04,23.780001,24.02,23.780001,23.870001,6700,23.687448
2015-12-03,23.84,23.99,23.77,23.77,8900,23.588212
2015-12-02,23.82,23.98,23.809999,23.83,9000,23.647753
2015-12-01,23.83,23.959999,23.809999,23.90,4700,23.717217
2015-11-30,23.75,23.90,23.75,23.809999,17800,23.627905
2015-11-27,23.75,23.75,23.75,23.75,000,23.568364
2015-11-25,23.799999,23.950001,23.690001,23.75,22100,23.568364
2015-11-24,23.85,23.93,23.780001,23.780001,8600,23.598136
2015-11-23,23.780001,24.01,23.75,23.860001,11400,23.677524
2015-11-20,23.85,24.02,23.780001,23.790001,5200,23.608059
2015-11-19,23.75,24.049999,23.75,23.780001,2800,23.598136
