Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,24.92,24.92,24.629999,24.879999,5100,24.879999
2016-03-10,24.67,24.91,24.620001,24.73,4800,24.73
2016-03-09,24.700001,24.700001,24.610001,24.610001,1000,24.610001
2016-03-08,24.85,24.85,24.65,24.700001,1700,24.700001
2016-03-07,24.700001,24.870001,24.700001,24.84,8000,24.84
2016-03-04,24.75,24.75,24.540001,24.74,14800,24.74
2016-03-03,24.629999,24.84,24.549999,24.67,19700,24.67
2016-03-02,24.639999,24.639999,24.48,24.629999,2600,24.629999
2016-03-01,24.450001,24.68,24.42,24.52,3900,24.52
2016-02-29,24.440001,24.67,24.360001,24.50,9800,24.50
2016-02-26,24.629999,24.73,24.43,24.60,4500,24.60
2016-02-25,24.33,24.65,24.33,24.629999,7100,24.629999
2016-02-24,24.67,24.690001,24.059999,24.530001,81300,24.530001
2016-02-23,24.309999,24.889999,24.15,24.75,123100,24.75
2016-02-22,24.530001,24.799999,24.25,24.25,169400,24.25
2016-02-19,24.27,24.530001,24.07,24.50,13900,24.50
2016-02-18,24.10,24.75,24.07,24.27,358000,24.27
2016-02-17,23.99,24.23,23.85,24.09,33400,24.09
2016-02-16,23.50,24.10,23.50,24.01,91600,24.01
2016-02-12,23.25,23.629999,23.25,23.50,44300,23.50
2016-02-11,23.09,23.59,22.76,23.280001,153300,23.280001
2016-02-10,22.42,23.200001,22.290001,23.200001,14300,23.200001
2016-02-09,21.76,22.360001,21.76,22.35,22200,22.194
2016-02-08,22.200001,22.200001,21.34,21.620001,45000,21.469096
2016-02-05,22.299999,22.49,22.129999,22.200001,19300,22.045047
2016-02-04,22.43,22.43,21.76,22.32,48500,22.164209
2016-02-03,22.940001,22.940001,22.60,22.629999,4200,22.472044
2016-02-02,22.48,23.129999,22.48,22.77,2700,22.611069
2016-02-01,22.65,22.77,22.450001,22.68,12100,22.521697
2016-01-29,22.610001,22.84,22.450001,22.84,8100,22.68058
2016-01-28,22.51,22.809999,22.41,22.41,5300,22.253581
2016-01-27,22.27,22.51,22.27,22.40,8800,22.24365
2016-01-26,22.76,22.77,22.209999,22.35,20500,22.194
2016-01-25,22.74,23.01,22.35,22.559999,8400,22.402533
2016-01-22,23.030001,23.139999,22.68,22.68,8200,22.521697
2016-01-21,22.60,23.059999,22.360001,22.74,19700,22.581277
2016-01-20,23.120001,23.200001,22.15,22.82,40400,22.660719
2016-01-19,23.75,23.75,22.60,23.299999,20600,23.137368
2016-01-15,23.24,23.74,23.139999,23.60,14100,23.435275
2016-01-14,23.459999,23.57,23.299999,23.530001,20200,23.365764
2016-01-13,23.75,23.76,23.469999,23.50,19400,23.335973
2016-01-12,24.049999,24.049999,23.68,23.790001,15000,23.469039
2016-01-11,23.90,24.00,23.90,23.959999,7800,23.636744
2016-01-08,23.889999,23.90,23.84,23.90,2700,23.577554
2016-01-07,23.90,23.90,23.809999,23.809999,3300,23.488768
2016-01-06,23.950001,24.07,23.950001,23.969999,9600,23.646609
2016-01-05,24.110001,24.110001,23.889999,23.99,3000,23.66634
2016-01-04,23.90,24.040001,23.85,23.93,4400,23.60715
2015-12-31,23.969999,24.110001,23.969999,24.110001,6500,23.784722
2015-12-30,23.90,24.01,23.809999,24.01,5300,23.68607
2015-12-29,24.01,24.02,23.950001,23.98,8000,23.656475
2015-12-28,24.129999,24.15,23.92,23.940001,5100,23.617015
2015-12-24,23.870001,23.870001,23.870001,23.870001,300,23.54796
2015-12-23,24.15,24.15,23.780001,23.809999,3900,23.488768
2015-12-22,23.620001,24.139999,23.620001,23.719999,8300,23.399982
2015-12-21,23.73,23.889999,23.549999,23.57,12400,23.252006
2015-12-18,23.66,23.83,23.59,23.629999,11200,23.311196
2015-12-17,23.700001,23.940001,23.57,23.700001,18600,23.380253
2015-12-16,23.90,23.90,23.65,23.709999,25300,23.390117
2015-12-15,23.799999,23.93,23.75,23.799999,13000,23.478903
2015-12-14,24.25,24.25,23.799999,23.799999,54700,23.478903
2015-12-11,24.299999,24.43,24.299999,24.35,24400,23.867587
2015-12-10,24.25,24.450001,24.25,24.42,3100,23.9362
2015-12-09,24.35,24.370001,24.18,24.370001,16100,23.887191
2015-12-08,24.200001,24.299999,24.200001,24.299999,3600,23.818577
2015-12-07,24.290001,24.309999,24.15,24.27,42000,23.789172
2015-12-04,24.290001,24.290001,24.15,24.15,1800,23.671549
2015-12-03,24.200001,24.309999,24.110001,24.129999,29500,23.651945
2015-12-02,24.15,24.15,24.09,24.110001,5300,23.632342
2015-12-01,24.25,24.25,24.120001,24.200001,6800,23.720559
2015-11-30,24.00,24.120001,23.860001,24.059999,12700,23.583332
2015-11-27,24.07,24.07,24.07,24.07,000,23.593134
2015-11-25,24.059999,24.07,24.00,24.07,5600,23.593134
2015-11-24,23.99,24.07,23.950001,24.059999,14200,23.583332
2015-11-23,24.059999,24.059999,23.870001,23.870001,6900,23.397097
2015-11-20,24.030001,24.030001,24.00,24.01,1900,23.534323
2015-11-19,23.969999,24.01,23.75,23.860001,12800,23.387295
2015-11-18,23.90,24.09,23.90,23.969999,7000,23.495115
2015-11-17,24.00,24.01,23.74,23.940001,19400,23.46571
2015-11-16,23.959999,24.25,23.959999,24.09,2100,23.612738
2015-11-13,23.950001,24.00,23.799999,24.00,40400,23.524521
2015-11-12,23.950001,24.110001,23.950001,23.959999,13500,23.485312
2015-11-11,24.040001,24.10,24.040001,24.10,1800,23.469631
2015-11-10,24.09,24.09,24.00,24.00,8300,23.372246
2015-11-09,23.950001,24.10,23.950001,24.10,3300,23.469631
2015-11-06,24.139999,24.139999,23.969999,24.00,14000,23.372246
2015-11-05,24.01,24.129999,24.01,24.129999,9100,23.498845
2015-11-04,24.049999,24.07,24.01,24.07,11700,23.440415
2015-11-03,24.10,24.120001,24.030001,24.030001,8400,23.401462
2015-11-02,24.02,24.059999,24.02,24.049999,7500,23.420937
2015-10-30,24.049999,24.049999,23.969999,23.98,7200,23.352768
2015-10-29,24.00,24.07,23.99,23.99,16300,23.362507
2015-10-28,24.040001,24.129999,24.00,24.01,7100,23.381984
2015-10-27,24.00,24.09,23.99,24.040001,9500,23.4112
2015-10-26,24.049999,24.10,24.049999,24.049999,12800,23.420937
2015-10-23,24.030001,24.110001,24.00,24.049999,16600,23.420937
2015-10-22,24.110001,24.16,23.959999,24.09,9500,23.459892
2015-10-21,24.02,24.25,24.01,24.01,10100,23.381984
2015-10-20,24.00,24.09,24.00,24.030001,4900,23.401462
2015-10-19,23.99,24.360001,23.99,24.02,8600,23.391723
2015-10-16,24.129999,24.370001,23.940001,23.98,9400,23.352768
2015-10-15,24.200001,24.200001,23.940001,24.00,8100,23.372246
2015-10-14,24.01,24.190001,23.92,23.92,11900,23.294338
2015-10-13,24.299999,24.50,24.17,24.24,26500,23.454048
2015-10-12,24.200001,24.24,24.190001,24.24,10500,23.454048
2015-10-09,24.049999,24.190001,24.049999,24.190001,4700,23.40567
2015-10-08,24.049999,24.200001,24.01,24.040001,22100,23.260534
2015-10-07,24.09,24.09,24.01,24.040001,5700,23.260534
2015-10-06,24.08,24.08,24.00,24.00,8900,23.22183
2015-10-05,23.959999,24.15,23.959999,24.040001,5500,23.260534
2015-10-02,23.75,23.889999,23.74,23.809999,44700,23.03799
2015-10-01,24.09,24.09,23.82,23.889999,60600,23.115396
2015-09-30,24.08,24.49,23.93,24.110001,18300,23.328264
2015-09-29,24.01,24.040001,23.950001,23.950001,14200,23.173452
2015-09-28,24.00,24.040001,23.90,23.90,13900,23.125072
2015-09-25,24.07,24.07,24.00,24.00,6100,23.22183
2015-09-24,24.00,24.049999,23.99,24.00,6900,23.22183
2015-09-23,24.02,24.120001,23.90,24.00,10800,23.22183
2015-09-22,24.049999,24.200001,24.049999,24.059999,17000,23.279884
2015-09-21,24.200001,24.200001,24.09,24.190001,2800,23.40567
2015-09-18,24.360001,24.360001,24.07,24.16,5100,23.376642
2015-09-17,24.25,24.25,24.18,24.219999,10000,23.434696
2015-09-16,24.290001,24.290001,24.049999,24.24,14300,23.454048
2015-09-15,24.10,24.25,24.00,24.10,6200,23.318588
2015-09-14,24.120001,24.18,23.83,24.01,8000,23.231506
2015-09-11,24.24,24.41,24.10,24.120001,31000,23.186999
2015-09-10,23.959999,24.26,23.940001,24.219999,15300,23.283129
2015-09-09,24.10,24.10,23.940001,23.99,7500,23.062026
2015-09-08,24.08,24.10,24.00,24.01,9000,23.081253
2015-09-04,24.280001,24.280001,24.049999,24.09,4400,23.158158
2015-09-03,24.299999,24.299999,24.10,24.10,8100,23.167772
2015-09-02,24.08,24.15,24.01,24.01,4800,23.081253
2015-09-01,24.00,24.07,23.940001,24.07,21000,23.138932
2015-08-31,24.08,24.10,24.00,24.02,10300,23.090866
2015-08-28,24.23,24.23,23.85,24.00,10800,23.07164
2015-08-27,23.959999,24.139999,23.83,23.90,10000,22.975507
2015-08-26,23.799999,23.860001,23.77,23.77,7400,22.850537
2015-08-25,23.860001,24.290001,23.799999,23.809999,8200,22.888989
2015-08-24,23.83,23.83,23.83,23.83,27900,22.908215
2015-08-21,23.969999,23.969999,23.83,23.90,19100,22.975507
2015-08-20,24.120001,24.120001,23.799999,23.83,39700,22.908215
2015-08-19,24.120001,24.120001,24.02,24.02,28200,23.090866
2015-08-18,24.120001,24.120001,24.040001,24.10,7600,23.167772
2015-08-17,24.120001,24.120001,24.10,24.110001,6800,23.177385
2015-08-14,24.10,24.120001,24.08,24.08,15200,23.148545
2015-08-13,24.200001,24.200001,23.959999,24.08,7200,23.148545
2015-08-12,24.200001,24.280001,24.120001,24.25,9300,23.162005
2015-08-11,24.209999,24.360001,24.08,24.129999,32300,23.047388
2015-08-10,24.25,24.25,24.049999,24.10,16700,23.018735
2015-08-07,24.139999,24.139999,23.969999,24.01,14600,22.932773
2015-08-06,24.25,24.25,24.110001,24.16,23900,23.076042
2015-08-05,24.190001,24.24,24.18,24.190001,13100,23.104697
2015-08-04,24.200001,24.25,24.110001,24.24,12600,23.152453
2015-08-03,24.059999,24.200001,24.059999,24.18,7800,23.095146
