Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,17.43,17.559999,17.360001,17.540001,629900,17.540001
2016-03-10,17.40,17.440001,17.290001,17.35,393600,17.35
2016-03-09,17.360001,17.389999,17.299999,17.34,325600,17.34
2016-03-08,17.450001,17.49,17.43,17.450001,267400,17.286001
2016-03-07,17.43,17.530001,17.41,17.50,423400,17.33553
2016-03-04,17.379999,17.52,17.370001,17.49,516900,17.325624
2016-03-03,17.35,17.379999,17.23,17.379999,550300,17.216657
2016-03-02,17.219999,17.370001,17.15,17.360001,587000,17.196846
2016-03-01,17.09,17.25,17.01,17.23,625700,17.068067
2016-02-29,16.969999,17.01,16.940001,17.00,475200,16.840229
2016-02-26,16.98,17.00,16.90,16.950001,385600,16.7907
2016-02-25,16.84,16.940001,16.809999,16.91,521400,16.751075
2016-02-24,16.74,16.870001,16.74,16.860001,310700,16.701546
2016-02-23,16.83,16.870001,16.73,16.860001,381000,16.701546
2016-02-22,16.83,16.879999,16.77,16.809999,388000,16.652014
2016-02-19,16.639999,16.82,16.60,16.74,264400,16.582673
2016-02-18,16.790001,16.799999,16.68,16.75,409000,16.592579
2016-02-17,16.83,16.860001,16.73,16.75,551300,16.592579
2016-02-16,16.92,16.92,16.75,16.77,448000,16.612391
2016-02-12,16.799999,16.85,16.639999,16.809999,439200,16.652014
2016-02-11,16.709999,16.82,16.629999,16.709999,557500,16.552954
2016-02-10,16.969999,16.99,16.889999,16.889999,525900,16.731262
2016-02-09,17.00,17.10,16.90,17.01,740800,16.850135
2016-02-08,17.290001,17.360001,17.059999,17.25,630300,16.925421
2016-02-05,17.50,17.559999,17.35,17.440001,379500,17.111846
2016-02-04,17.440001,17.559999,17.41,17.559999,407200,17.229587
2016-02-03,17.58,17.58,17.360001,17.459999,479400,17.131469
2016-02-02,17.639999,17.639999,17.52,17.559999,412000,17.229587
2016-02-01,17.42,17.67,17.389999,17.66,498100,17.327706
2016-01-29,17.52,17.559999,17.440001,17.48,602400,17.151093
2016-01-28,17.42,17.51,17.299999,17.360001,620600,17.033352
2016-01-27,17.190001,17.309999,17.15,17.219999,393000,16.895985
2016-01-26,17.049999,17.219999,17.049999,17.15,445200,16.827302
2016-01-25,17.07,17.16,17.00,17.049999,299200,16.729184
2016-01-22,17.10,17.18,17.049999,17.16,670000,16.837114
2016-01-21,16.91,17.08,16.77,16.93,1202700,16.611442
2016-01-20,16.790001,16.85,16.60,16.799999,1925400,16.483888
2016-01-19,17.07,17.16,16.90,16.940001,652000,16.621255
2016-01-15,16.92,17.049999,16.73,17.00,706700,16.680125
2016-01-14,17.25,17.34,17.030001,17.24,829000,16.915609
2016-01-13,17.610001,17.65,17.120001,17.209999,1210000,16.886173
2016-01-12,17.73,17.780001,17.50,17.60,463600,17.268836
2016-01-11,17.98,17.98,17.799999,17.879999,592900,17.382651
2016-01-08,18.10,18.120001,17.950001,17.950001,469200,17.450706
2016-01-07,18.07,18.139999,17.93,18.08,774200,17.577089
2016-01-06,18.059999,18.190001,18.059999,18.17,595600,17.664586
2016-01-05,18.030001,18.17,18.030001,18.15,775500,17.645141
2016-01-04,17.93,18.059999,17.84,18.059999,594100,17.557645
2015-12-31,18.049999,18.10,17.93,18.030001,941000,17.52848
2015-12-30,18.15,18.209999,18.09,18.10,896000,17.596533
2015-12-29,18.32,18.32,18.110001,18.120001,744500,17.615977
2015-12-28,18.309999,18.309999,18.129999,18.139999,874600,17.635419
2015-12-24,18.25,18.370001,18.23,18.33,247800,17.820135
2015-12-23,18.16,18.309999,18.16,18.280001,883600,17.771526
2015-12-22,18.09,18.18,18.02,18.110001,694600,17.606255
2015-12-21,18.110001,18.110001,18.02,18.040001,862900,17.538202
2015-12-18,18.09,18.17,17.959999,17.99,976500,17.489592
2015-12-17,18.129999,18.27,17.889999,18.129999,1138000,17.625697
2015-12-16,17.889999,18.459999,17.889999,18.389999,1324000,17.878465
2015-12-15,17.629999,18.00,17.629999,17.969999,1411300,17.470148
2015-12-14,17.51,17.620001,17.17,17.540001,2175400,17.05211
2015-12-11,17.719999,17.73,17.41,17.559999,1185800,17.071553
2015-12-10,17.879999,17.93,17.76,17.77,763400,17.275712
2015-12-09,18.049999,18.10,17.85,17.889999,712700,17.392373
2015-12-08,18.110001,18.24,18.10,18.129999,571400,17.46626
2015-12-07,18.34,18.35,18.18,18.209999,534200,17.543331
2015-12-04,18.309999,18.40,18.309999,18.360001,343200,17.687841
2015-12-03,18.360001,18.40,18.290001,18.34,513500,17.668573
2015-12-02,18.389999,18.450001,18.309999,18.40,848200,17.726375
2015-12-01,18.33,18.42,18.299999,18.379999,679500,17.707107
2015-11-30,18.299999,18.35,18.23,18.290001,474900,17.620404
2015-11-27,18.299999,18.34,18.25,18.299999,145700,17.630036
2015-11-25,18.360001,18.370001,18.299999,18.34,300600,17.668573
2015-11-24,18.219999,18.33,18.219999,18.309999,354900,17.63967
2015-11-23,18.219999,18.34,18.16,18.23,358700,17.562599
2015-11-20,18.299999,18.299999,18.200001,18.23,395000,17.562599
2015-11-19,18.34,18.360001,18.219999,18.280001,399500,17.61077
2015-11-18,18.290001,18.360001,18.25,18.33,483900,17.658938
2015-11-17,18.34,18.389999,18.26,18.290001,597700,17.620404
2015-11-16,18.35,18.440001,18.33,18.379999,370800,17.707107
2015-11-13,18.370001,18.440001,18.299999,18.389999,386800,17.716741
2015-11-12,18.389999,18.49,18.360001,18.41,343000,17.73601
2015-11-11,18.50,18.52,18.35,18.469999,388300,17.793813
2015-11-10,18.440001,18.50,18.389999,18.440001,449700,17.764912
2015-11-09,18.629999,18.66,18.40,18.49,522100,17.813081
2015-11-06,18.76,18.83,18.68,18.790001,422800,17.944102
2015-11-05,18.85,18.879999,18.780001,18.860001,404600,18.010951
2015-11-04,18.90,18.950001,18.76,18.82,644000,17.972751
2015-11-03,18.92,18.940001,18.860001,18.889999,402100,18.039599
2015-11-02,18.77,18.93,18.709999,18.90,675500,18.049149
2015-10-30,18.790001,18.790001,18.719999,18.76,393400,17.915452
2015-10-29,18.83,18.85,18.75,18.75,271000,17.905902
2015-10-28,18.860001,18.92,18.83,18.85,315700,18.001401
2015-10-27,18.860001,18.940001,18.82,18.84,341300,17.991851
2015-10-26,18.889999,18.92,18.860001,18.889999,251400,18.039599
2015-10-23,18.98,19.01,18.879999,18.90,347000,18.049149
2015-10-22,18.969999,18.969999,18.860001,18.92,418300,18.068249
2015-10-21,18.889999,18.93,18.82,18.83,287500,17.982301
2015-10-20,18.959999,19.030001,18.85,18.889999,495800,18.039599
2015-10-19,18.940001,19.00,18.889999,18.92,283100,18.068249
2015-10-16,18.93,18.99,18.91,18.940001,229000,18.087349
2015-10-15,18.85,18.91,18.709999,18.90,360800,18.049149
2015-10-14,18.790001,18.92,18.709999,18.84,400000,17.991851
2015-10-13,18.90,19.08,18.780001,18.809999,480400,17.9632
2015-10-12,19.030001,19.049999,18.92,18.940001,149700,18.087349
2015-10-09,18.99,19.09,18.950001,19.02,478900,18.163748
2015-10-08,18.799999,18.99,18.719999,18.98,709300,18.125547
2015-10-07,18.65,18.799999,18.639999,18.790001,456000,17.944102
2015-10-06,18.780001,18.83,18.66,18.790001,286200,17.787485
2015-10-05,18.469999,18.780001,18.469999,18.77,371900,17.768552
2015-10-02,18.200001,18.40,18.129999,18.379999,411800,17.399359
2015-10-01,18.41,18.459999,18.120001,18.27,355400,17.295229
2015-09-30,18.25,18.379999,18.200001,18.27,533500,17.295229
2015-09-29,18.200001,18.42,18.110001,18.17,437100,17.200564
2015-09-28,18.58,18.709999,18.18,18.27,632200,17.295229
2015-09-25,18.639999,18.709999,18.59,18.59,469800,17.598155
2015-09-24,18.74,18.74,18.559999,18.60,520100,17.607622
2015-09-23,18.76,18.809999,18.67,18.690001,306300,17.69282
2015-09-22,18.85,18.860001,18.700001,18.77,360000,17.768552
2015-09-21,18.90,18.99,18.870001,18.92,359300,17.910549
2015-09-18,18.700001,19.059999,18.700001,18.879999,516200,17.872682
2015-09-17,18.57,18.84,18.51,18.84,621700,17.834817
2015-09-16,18.549999,18.690001,18.50,18.66,480300,17.66442
2015-09-15,18.620001,18.73,18.530001,18.58,417600,17.588689
2015-09-14,18.67,18.74,18.58,18.610001,385300,17.617089
2015-09-11,18.860001,18.860001,18.68,18.719999,307900,17.721219
2015-09-10,18.870001,18.92,18.799999,18.90,394700,17.891615
2015-09-09,18.969999,19.030001,18.870001,18.92,397900,17.910549
2015-09-08,19.16,19.18,19.040001,19.15,312800,17.973028
2015-09-04,19.049999,19.10,19.01,19.049999,226200,17.879173
2015-09-03,19.110001,19.15,18.940001,19.15,505000,17.973028
2015-09-02,18.85,19.110001,18.85,19.110001,599500,17.935487
2015-09-01,18.73,18.790001,18.629999,18.73,444000,17.578841
2015-08-31,18.950001,18.950001,18.809999,18.870001,514200,17.710238
2015-08-28,18.879999,19.00,18.860001,19.00,357200,17.832247
2015-08-27,18.799999,18.93,18.700001,18.93,559300,17.76655
2015-08-26,18.629999,18.709999,18.549999,18.709999,646000,17.56007
2015-08-25,18.59,18.66,18.450001,18.49,762900,17.353592
2015-08-24,18.10,18.540001,17.75,18.27,1119800,17.147114
2015-08-21,18.860001,18.879999,18.629999,18.709999,770400,17.56007
2015-08-20,18.98,19.00,18.870001,18.90,490900,17.738393
2015-08-19,19.049999,19.059999,18.92,19.059999,757800,17.888559
2015-08-18,19.15,19.23,19.08,19.10,346400,17.926101
2015-08-17,19.280001,19.32,19.17,19.18,343300,18.001185
2015-08-14,19.200001,19.360001,19.16,19.35,309900,18.160736
2015-08-13,19.16,19.34,19.110001,19.209999,437100,18.02934
2015-08-12,19.139999,19.209999,19.09,19.15,555200,17.973028
2015-08-11,19.049999,19.24,18.879999,19.190001,345200,18.01057
2015-08-10,19.26,19.450001,19.24,19.40,292400,18.06125
2015-08-07,19.42,19.459999,19.24,19.26,632900,17.930912
2015-08-06,19.559999,19.59,19.389999,19.450001,465300,18.107801
2015-08-05,19.629999,19.66,19.530001,19.57,203700,18.219519
2015-08-04,19.60,19.67,19.450001,19.60,336000,18.24745
2015-08-03,19.68,19.700001,19.59,19.60,271900,18.24745
2015-07-31,19.639999,19.709999,19.51,19.66,408700,18.303309
2015-07-30,19.610001,19.65,19.57,19.629999,286000,18.275378
2015-07-29,19.57,19.719999,19.549999,19.620001,300900,18.26607
2015-07-28,19.50,19.610001,19.49,19.57,293700,18.219519
2015-07-27,19.639999,19.67,19.43,19.51,472200,18.16366
2015-07-24,19.809999,19.809999,19.65,19.67,295300,18.312619
2015-07-23,19.85,19.879999,19.700001,19.809999,644200,18.442957
2015-07-22,19.780001,19.809999,19.75,19.799999,455800,18.433647
2015-07-21,19.66,19.85,19.66,19.84,793300,18.470887
2015-07-20,19.92,19.93,19.67,19.68,588300,18.321929
2015-07-17,20.059999,20.07,19.889999,19.950001,364900,18.573297
2015-07-16,20.00,20.049999,19.93,20.049999,225500,18.666395
2015-07-15,19.889999,20.00,19.860001,20.00,393300,18.619846
2015-07-14,19.940001,19.940001,19.85,19.90,459400,18.526747
2015-07-13,20.02,20.02,19.92,19.940001,245400,18.563987
2015-07-10,20.02,20.049999,19.950001,19.98,248800,18.601226
2015-07-09,19.860001,19.93,19.860001,19.91,230600,18.536057
2015-07-08,19.700001,20.040001,19.700001,19.959999,630200,18.437371
2015-07-07,20.07,20.09,19.93,20.09,391300,18.557455
2015-07-06,20.040001,20.120001,19.959999,20.09,309300,18.557455
2015-07-02,20.200001,20.25,20.120001,20.17,353000,18.631352
2015-07-01,20.27,20.27,20.15,20.209999,357400,18.6683
2015-06-30,20.02,20.209999,19.959999,20.18,433000,18.640589
2015-06-29,20.10,20.110001,19.85,19.93,814800,18.40966
2015-06-26,20.26,20.34,20.15,20.15,445800,18.612877
2015-06-25,20.360001,20.379999,20.26,20.26,350300,18.714487
2015-06-24,20.43,20.48,20.35,20.360001,336200,18.806859
2015-06-23,20.34,20.41,20.299999,20.370001,360300,18.816096
2015-06-22,20.32,20.40,20.32,20.379999,287100,18.825331
2015-06-19,20.309999,20.360001,20.280001,20.290001,260500,18.742199
2015-06-18,20.309999,20.41,20.290001,20.309999,463900,18.760672
2015-06-17,20.41,20.41,20.299999,20.32,259900,18.769909
2015-06-16,20.34,20.43,20.32,20.360001,388400,18.806859
2015-06-15,20.34,20.370001,20.280001,20.34,417600,18.788384
2015-06-12,20.309999,20.360001,20.27,20.280001,324700,18.732961
2015-06-11,20.360001,20.43,20.309999,20.309999,304300,18.760672
2015-06-10,20.23,20.360001,20.209999,20.34,590000,18.788384
2015-06-09,20.440001,20.440001,20.309999,20.360001,612500,18.806859
2015-06-08,20.60,20.620001,20.50,20.530001,308200,18.819791
2015-06-05,20.620001,20.68,20.50,20.540001,420000,18.828958
2015-06-04,20.709999,20.75,20.67,20.73,318300,19.003129
2015-06-03,20.790001,20.790001,20.719999,20.74,298700,19.012296
2015-06-02,20.82,20.82,20.74,20.790001,263800,19.058132
2015-06-01,20.809999,20.84,20.74,20.82,232700,19.085632
2015-05-29,20.68,20.76,20.67,20.719999,209500,18.993962
2015-05-28,20.790001,20.790001,20.700001,20.709999,272600,18.984795
2015-05-27,20.76,20.799999,20.719999,20.790001,297800,19.058132
2015-05-26,20.809999,20.809999,20.700001,20.719999,339700,18.993962
2015-05-22,20.799999,20.82,20.74,20.75,354100,19.021463
2015-05-21,20.870001,20.870001,20.780001,20.82,466300,19.085632
2015-05-20,20.870001,20.889999,20.790001,20.85,267700,19.113133
2015-05-19,20.870001,20.889999,20.780001,20.83,293200,19.094799
2015-05-18,20.92,20.940001,20.77,20.809999,337900,19.076465
2015-05-15,20.950001,20.950001,20.860001,20.91,277300,19.168135
2015-05-14,20.780001,20.940001,20.77,20.870001,312300,19.131468
2015-05-13,20.82,20.870001,20.700001,20.709999,481100,18.984795
2015-05-12,20.860001,20.870001,20.719999,20.809999,438800,19.076465
2015-05-11,20.959999,20.98,20.860001,20.860001,618700,19.122301
2015-05-08,21.02,21.049999,20.93,20.98,412500,19.232303
2015-05-07,21.049999,21.049999,20.950001,20.98,601300,19.232303
2015-05-06,21.25,21.26,21.049999,21.18,288000,19.272638
2015-05-05,21.23,21.280001,21.15,21.25,353700,19.336334
2015-05-04,21.40,21.40,21.23,21.26,517900,19.345434
2015-05-01,21.190001,21.32,21.110001,21.280001,409300,19.363633
2015-04-30,20.84,21.18,20.84,21.129999,1121700,19.22714
2015-04-29,20.82,20.940001,20.76,20.940001,584700,19.054252
2015-04-28,20.860001,20.879999,20.809999,20.85,291400,18.972356
2015-04-27,20.870001,20.889999,20.83,20.84,367500,18.963257
2015-04-24,20.84,20.879999,20.799999,20.870001,235900,18.990556
2015-04-23,20.879999,20.879999,20.799999,20.84,357900,18.963257
2015-04-22,20.85,20.879999,20.809999,20.860001,315300,18.981456
2015-04-21,20.799999,20.83,20.780001,20.83,235300,18.954157
2015-04-20,20.790001,20.83,20.77,20.799999,312900,18.926858
2015-04-17,20.82,20.84,20.68,20.780001,283500,18.90866
2015-04-16,20.84,20.870001,20.82,20.870001,336000,18.990556
2015-04-15,20.76,20.870001,20.73,20.82,432200,18.945057
2015-04-14,20.690001,20.76,20.66,20.719999,417300,18.854062
2015-04-13,20.549999,20.690001,20.549999,20.65,338500,18.790367
2015-04-10,20.620001,20.690001,20.57,20.66,253400,18.799466
2015-04-09,20.67,20.67,20.540001,20.620001,380200,18.763069
2015-04-08,20.75,20.77,20.66,20.719999,317900,18.712111
2015-04-07,20.74,20.76,20.65,20.74,417300,18.730173
2015-04-06,20.57,20.700001,20.559999,20.690001,371000,18.685019
2015-04-02,20.42,20.58,20.42,20.549999,426400,18.558585
2015-04-01,20.459999,20.530001,20.42,20.50,295700,18.513431
2015-03-31,20.389999,20.52,20.389999,20.42,448600,18.441183
2015-03-30,20.469999,20.530001,20.379999,20.41,487900,18.432152
