Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.46,10.47,10.42,10.42,21700,10.42
2016-03-10,10.49,10.50,10.42,10.47,38000,10.47
2016-03-09,10.45,10.46,10.38,10.42,74900,10.42
2016-03-08,10.53,10.54,10.43,10.48,90500,10.426
2016-03-07,10.47,10.49,10.41,10.49,86200,10.435949
2016-03-04,10.50,10.52,10.46,10.46,57700,10.406103
2016-03-03,10.47,10.52,10.45,10.52,83400,10.465795
2016-03-02,10.42,10.47,10.40,10.45,50400,10.396155
2016-03-01,10.45,10.53,10.45,10.49,66100,10.435949
2016-02-29,10.44,10.49,10.41,10.48,55700,10.426
2016-02-26,10.45,10.45,10.35,10.39,54800,10.336464
2016-02-25,10.45,10.48,10.40,10.46,60400,10.406103
2016-02-24,10.40,10.44,10.36,10.42,38300,10.36631
2016-02-23,10.29,10.39,10.27,10.39,25900,10.336464
2016-02-22,10.32,10.35,10.26,10.29,44300,10.236979
2016-02-19,10.21,10.30,10.21,10.30,44100,10.246928
2016-02-18,10.22,10.28,10.16,10.28,53000,10.227031
2016-02-17,10.21,10.23,10.15,10.15,60900,10.0977
2016-02-16,10.27,10.27,10.14,10.14,61500,10.087753
2016-02-12,10.32,10.35,10.20,10.23,48600,10.177288
2016-02-11,10.37,10.37,10.27,10.30,61800,10.246928
2016-02-10,10.37,10.40,10.30,10.30,51500,10.246928
2016-02-09,10.18,10.38,10.18,10.35,110000,10.296671
2016-02-08,10.24,10.33,10.15,10.31,130600,10.203154
2016-02-05,10.14,10.20,10.08,10.19,110400,10.084397
2016-02-04,10.12,10.13,10.04,10.08,85800,9.975537
2016-02-03,10.12,10.12,10.08,10.08,77800,9.975537
2016-02-02,10.10,10.12,10.05,10.08,102100,9.975537
2016-02-01,10.08,10.15,10.02,10.10,84200,9.995331
2016-01-29,10.05,10.08,10.00,10.08,90800,9.975537
2016-01-28,10.01,10.05,9.98,10.05,74600,9.945849
2016-01-27,10.03,10.05,9.95,10.01,48300,9.906263
2016-01-26,10.06,10.09,9.93,10.00,58800,9.896367
2016-01-25,10.08,10.08,9.96,9.98,23700,9.876573
2016-01-22,10.00,10.07,9.93,10.04,56000,9.935952
2016-01-21,9.98,9.98,9.88,9.94,26900,9.836988
2016-01-20,10.08,10.08,9.88,9.94,67400,9.836988
2016-01-19,10.10,10.24,9.98,10.01,108900,9.906263
2016-01-15,10.15,10.20,10.07,10.15,66400,10.044812
2016-01-14,10.05,10.19,10.02,10.12,62300,10.015123
2016-01-13,10.10,10.10,10.00,10.05,36200,9.945849
2016-01-12,10.04,10.09,10.02,10.09,56900,9.985434
2016-01-11,10.04,10.13,10.04,10.06,55400,9.902305
2016-01-08,10.10,10.10,10.02,10.05,35000,9.892462
2016-01-07,10.20,10.20,10.01,10.05,129400,9.892462
2016-01-06,10.01,10.16,10.01,10.12,76500,9.961364
2016-01-05,10.00,10.05,9.98,10.04,27800,9.882618
2016-01-04,9.97,9.97,9.90,9.97,81900,9.813716
2015-12-31,9.93,9.96,9.90,9.94,95800,9.784185
2015-12-30,9.85,9.94,9.85,9.88,41300,9.725126
2015-12-29,9.94,9.94,9.86,9.86,92600,9.705439
2015-12-28,9.84,9.87,9.82,9.87,40600,9.715283
2015-12-24,9.77,9.86,9.77,9.86,26200,9.705439
2015-12-23,9.86,9.88,9.79,9.83,53300,9.67591
2015-12-22,9.76,9.84,9.72,9.80,61700,9.64638
2015-12-21,9.88,9.91,9.80,9.82,37300,9.666066
2015-12-18,9.78,9.87,9.73,9.80,78100,9.64638
2015-12-17,9.77,9.83,9.71,9.80,72100,9.64638
2015-12-16,9.72,9.75,9.64,9.75,69400,9.597164
2015-12-15,9.75,9.78,9.63,9.67,88700,9.518418
2015-12-14,9.93,9.93,9.65,9.78,69400,9.626693
2015-12-11,9.95,10.39,9.86,9.92,161900,9.764499
2015-12-10,9.95,9.98,9.86,9.97,40700,9.813716
2015-12-09,9.85,9.93,9.80,9.93,55800,9.774343
2015-12-08,9.75,9.90,9.75,9.90,31300,9.691659
2015-12-07,9.84,9.84,9.74,9.77,57100,9.564395
2015-12-04,9.80,9.84,9.75,9.83,66700,9.623132
2015-12-03,9.86,9.86,9.75,9.80,31100,9.593764
2015-12-02,9.88,9.91,9.82,9.85,64000,9.642712
2015-12-01,9.89,9.90,9.81,9.88,47000,9.67208
2015-11-30,9.77,9.82,9.75,9.82,22400,9.613342
2015-11-27,9.79,9.79,9.72,9.74,4400,9.535026
2015-11-25,9.77,9.79,9.73,9.75,30200,9.544816
2015-11-24,9.79,9.88,9.71,9.72,32100,9.515447
2015-11-23,9.87,9.92,9.76,9.77,51900,9.564395
2015-11-20,9.87,9.92,9.84,9.85,27100,9.642712
2015-11-19,9.91,9.92,9.83,9.83,33200,9.623132
2015-11-18,9.82,9.88,9.78,9.86,28700,9.6525
2015-11-17,9.87,9.87,9.79,9.79,12900,9.583974
2015-11-16,9.86,9.91,9.81,9.89,25300,9.68187
2015-11-13,9.75,9.84,9.75,9.83,53000,9.623132
2015-11-12,9.70,9.75,9.70,9.73,44700,9.525236
2015-11-11,9.65,9.66,9.61,9.66,47900,9.456709
2015-11-10,9.63,9.77,9.61,9.64,58700,9.437131
2015-11-09,9.70,9.70,9.57,9.65,51400,9.44692
2015-11-06,9.96,9.96,9.75,9.75,130300,9.491952
2015-11-05,10.00,10.03,9.97,10.00,44600,9.735336
2015-11-04,10.08,10.09,10.00,10.00,92000,9.735336
2015-11-03,9.99,10.04,9.99,10.04,40300,9.774277
2015-11-02,10.08,10.11,10.04,10.04,37100,9.774277
2015-10-30,9.96,10.09,9.94,10.01,104000,9.745071
2015-10-29,9.94,9.96,9.93,9.96,74500,9.696394
2015-10-28,9.97,9.99,9.96,9.96,96700,9.696394
2015-10-27,9.94,10.00,9.90,9.97,48400,9.70613
2015-10-26,9.95,10.00,9.91,9.98,49100,9.715865
2015-10-23,9.99,9.99,9.86,9.89,43600,9.628247
2015-10-22,9.89,9.95,9.86,9.94,50000,9.676923
2015-10-21,9.82,9.87,9.81,9.85,45600,9.589306
2015-10-20,9.82,9.83,9.76,9.83,20500,9.569835
2015-10-19,9.76,9.83,9.76,9.82,32800,9.560099
2015-10-16,9.79,9.81,9.77,9.81,41100,9.550365
2015-10-15,9.79,9.79,9.76,9.78,36200,9.521158
2015-10-14,9.71,9.77,9.71,9.76,9800,9.501688
2015-10-13,9.71,9.71,9.62,9.67,24100,9.41407
2015-10-12,9.65,9.68,9.63,9.66,12000,9.404334
2015-10-09,9.69,9.74,9.58,9.62,72600,9.365393
2015-10-08,9.70,9.71,9.69,9.70,34700,9.443275
2015-10-07,9.69,9.71,9.65,9.71,34700,9.453011
2015-10-06,9.71,9.73,9.68,9.71,32600,9.40044
2015-10-05,9.69,9.72,9.64,9.64,20000,9.332672
2015-10-02,9.72,9.76,9.68,9.70,40300,9.390759
2015-10-01,9.66,9.76,9.63,9.68,38100,9.371397
2015-09-30,9.74,9.74,9.51,9.59,143500,9.284266
2015-09-29,9.75,9.77,9.69,9.71,20500,9.40044
2015-09-28,9.75,9.78,9.71,9.73,63700,9.419802
2015-09-25,9.71,9.75,9.70,9.72,39900,9.410122
2015-09-24,9.79,9.80,9.69,9.71,37400,9.40044
2015-09-23,9.78,9.80,9.76,9.79,27200,9.47789
2015-09-22,9.72,9.78,9.71,9.78,25800,9.468208
2015-09-21,9.77,9.77,9.71,9.72,15800,9.410122
2015-09-18,9.66,9.81,9.65,9.69,50600,9.381078
2015-09-17,9.67,9.75,9.58,9.75,62600,9.439165
2015-09-16,9.56,9.66,9.52,9.66,64200,9.352034
2015-09-15,9.57,9.60,9.51,9.53,28300,9.226179
2015-09-14,9.65,9.67,9.55,9.55,39600,9.245541
2015-09-11,9.59,9.64,9.57,9.63,20800,9.322991
2015-09-10,9.66,9.67,9.61,9.61,19400,9.303628
2015-09-09,9.59,9.65,9.57,9.65,55300,9.342353
2015-09-08,9.62,9.70,9.60,9.66,26700,9.299756
2015-09-04,9.63,9.63,9.58,9.60,15700,9.241994
2015-09-03,9.59,9.63,9.56,9.62,11300,9.261247
2015-09-02,9.57,9.60,9.53,9.56,66800,9.203485
2015-09-01,9.54,9.59,9.46,9.49,42900,9.136095
2015-08-31,9.47,9.52,9.45,9.51,62800,9.15535
2015-08-28,9.44,9.48,9.35,9.45,39100,9.097587
2015-08-27,9.38,9.43,9.38,9.41,44500,9.059079
2015-08-26,9.44,9.45,9.42,9.45,41800,9.097587
2015-08-25,9.42,9.45,9.35,9.45,65300,9.097587
2015-08-24,9.41,9.43,9.35,9.36,55500,9.010943
2015-08-21,9.41,9.42,9.40,9.42,21500,9.068706
2015-08-20,9.39,9.43,9.38,9.42,33100,9.068706
2015-08-19,9.39,9.42,9.35,9.42,30700,9.068706
2015-08-18,9.36,9.39,9.35,9.36,33100,9.010943
2015-08-17,9.34,9.40,9.34,9.38,35400,9.030198
2015-08-14,9.41,9.42,9.32,9.36,73900,9.010943
2015-08-13,9.43,9.43,9.38,9.39,31300,9.039825
2015-08-12,9.43,9.45,9.41,9.43,25100,9.078333
2015-08-11,9.38,9.45,9.38,9.41,54500,9.059079
2015-08-10,9.40,9.45,9.40,9.45,41500,9.045601
2015-08-07,9.43,9.43,9.40,9.42,32100,9.016885
2015-08-06,9.40,9.44,9.40,9.44,16000,9.036028
2015-08-05,9.36,9.43,9.36,9.43,40700,9.026457
2015-08-04,9.41,9.43,9.40,9.40,17300,8.99774
2015-08-03,9.41,9.44,9.39,9.42,55800,9.016885
2015-07-31,9.35,9.37,9.33,9.36,68600,8.959452
2015-07-30,9.34,9.35,9.33,9.33,43700,8.930736
2015-07-29,9.37,9.40,9.33,9.35,58300,8.94988
2015-07-28,9.39,9.39,9.34,9.35,26200,8.94988
2015-07-27,9.40,9.44,9.35,9.37,38600,8.969024
2015-07-24,9.40,9.41,9.38,9.38,14400,8.978596
2015-07-23,9.38,9.41,9.38,9.39,10000,8.988169
2015-07-22,9.42,9.42,9.37,9.38,5600,8.978596
2015-07-21,9.37,9.40,9.37,9.40,35400,8.99774
2015-07-20,9.43,9.43,9.38,9.40,25400,8.99774
2015-07-17,9.41,9.44,9.41,9.42,20300,9.016885
2015-07-16,9.45,9.45,9.40,9.42,34400,9.016885
2015-07-15,9.45,9.47,9.38,9.45,36100,9.045601
2015-07-14,9.38,9.42,9.36,9.40,82400,8.99774
2015-07-13,9.52,9.54,9.38,9.46,62600,9.055173
2015-07-10,9.40,9.61,9.38,9.54,103600,9.131749
2015-07-09,9.49,9.49,9.37,9.44,26300,9.036028
2015-07-08,9.56,9.56,9.42,9.52,36300,9.060917
2015-07-07,9.56,9.56,9.51,9.56,46100,9.098988
2015-07-06,9.53,9.53,9.48,9.50,37200,9.041881
2015-07-02,9.47,9.47,9.42,9.44,47900,8.984774
2015-07-01,9.46,9.46,9.36,9.40,22900,8.946703
2015-06-30,9.33,9.38,9.33,9.35,20300,8.899115
2015-06-29,9.39,9.42,9.33,9.33,103900,8.880079
2015-06-26,9.40,9.42,9.37,9.37,55200,8.91815
2015-06-25,9.46,9.47,9.40,9.42,88200,8.965739
2015-06-24,9.45,9.51,9.43,9.45,63600,8.994292
2015-06-23,9.49,9.57,9.45,9.48,59500,9.022845
2015-06-22,9.59,9.59,9.47,9.54,43700,9.079952
2015-06-19,9.52,9.57,9.50,9.50,39900,9.041881
2015-06-18,9.52,9.59,9.47,9.52,39000,9.060917
2015-06-17,9.56,9.60,9.44,9.52,97900,9.060917
2015-06-16,9.46,9.57,9.43,9.55,36700,9.08947
2015-06-15,9.43,9.50,9.40,9.50,45100,9.041881
2015-06-12,9.41,9.45,9.36,9.43,47300,8.975257
2015-06-11,9.37,9.49,9.37,9.41,59100,8.956221
2015-06-10,9.40,9.49,9.36,9.38,81000,8.927668
2015-06-09,9.69,9.69,9.41,9.41,148500,8.956221
2015-06-08,9.78,9.78,9.61,9.61,51300,9.09518
2015-06-05,9.72,9.75,9.64,9.74,99400,9.218215
2015-06-04,9.81,9.83,9.70,9.77,46000,9.246609
2015-06-03,9.79,9.80,9.74,9.75,21700,9.22768
2015-06-02,9.78,9.83,9.76,9.80,27500,9.275002
2015-06-01,9.78,9.82,9.72,9.82,41800,9.29393
2015-05-29,9.71,9.75,9.68,9.74,25100,9.218215
2015-05-28,9.74,9.74,9.68,9.69,25600,9.170894
2015-05-27,9.66,9.74,9.66,9.72,26300,9.199287
2015-05-26,9.68,9.72,9.64,9.66,51600,9.142501
2015-05-22,9.72,9.73,9.65,9.69,40700,9.170894
2015-05-21,9.77,9.77,9.70,9.72,67200,9.199287
2015-05-20,9.87,9.87,9.74,9.74,106200,9.218215
2015-05-19,9.81,9.88,9.81,9.84,38600,9.312859
2015-05-18,9.90,9.90,9.83,9.85,51300,9.322323
2015-05-15,9.88,9.94,9.88,9.92,47400,9.388573
2015-05-14,9.89,9.93,9.89,9.90,27900,9.369644
2015-05-13,9.87,9.93,9.87,9.93,41800,9.398037
2015-05-12,9.84,9.91,9.82,9.91,41500,9.379108
2015-05-11,9.90,9.91,9.85,9.87,40300,9.341251
2015-05-08,9.90,9.94,9.87,9.93,45000,9.398037
2015-05-07,9.85,9.91,9.80,9.85,203800,9.322323
2015-05-06,9.90,9.94,9.85,9.87,78300,9.290144
2015-05-05,9.92,10.00,9.86,9.95,75900,9.365444
2015-05-04,9.94,10.00,9.86,9.87,95100,9.290144
2015-05-01,9.95,9.95,9.87,9.92,96400,9.337207
2015-04-30,9.94,9.95,9.89,9.95,50400,9.365444
2015-04-29,9.91,9.95,9.91,9.95,55900,9.365444
2015-04-28,9.93,9.95,9.92,9.95,23000,9.365444
2015-04-27,9.93,9.94,9.90,9.92,29300,9.337207
2015-04-24,9.90,9.94,9.89,9.94,26600,9.356031
2015-04-23,9.91,9.91,9.86,9.86,36600,9.280731
2015-04-22,9.85,9.94,9.85,9.93,41100,9.34662
2015-04-21,9.86,9.90,9.83,9.87,26200,9.290144
2015-04-20,9.80,9.89,9.76,9.88,40700,9.299557
2015-04-17,9.75,9.78,9.73,9.77,32300,9.19602
2015-04-16,9.77,9.78,9.73,9.75,18800,9.177194
2015-04-15,9.75,9.76,9.72,9.74,20300,9.167781
2015-04-14,9.74,9.79,9.70,9.73,61600,9.158369
2015-04-13,9.80,9.80,9.71,9.71,51700,9.139544
2015-04-10,9.74,9.80,9.74,9.79,53800,9.214844
2015-04-09,9.74,9.79,9.72,9.75,34900,9.177194
2015-04-08,9.85,9.89,9.75,9.75,184600,9.126367
2015-04-07,9.93,9.95,9.87,9.91,72800,9.276132
2015-04-06,9.91,9.94,9.90,9.91,33100,9.276132
2015-04-02,9.87,9.93,9.85,9.91,36000,9.276132
2015-04-01,9.92,9.92,9.80,9.86,51900,9.22933
2015-03-31,9.77,9.82,9.76,9.82,40100,9.191889
2015-03-30,9.80,9.80,9.76,9.78,35400,9.154447
2015-03-27,9.80,9.88,9.79,9.79,34900,9.163808
2015-03-26,9.75,9.85,9.75,9.82,21700,9.191889
2015-03-25,9.80,9.81,9.76,9.77,17900,9.145088
2015-03-24,9.77,9.81,9.76,9.78,22500,9.154447
2015-03-23,9.83,9.84,9.76,9.83,27600,9.20125
2015-03-20,9.76,9.84,9.74,9.78,28400,9.154447
2015-03-19,9.80,9.80,9.70,9.75,33300,9.126367
2015-03-18,9.71,9.86,9.70,9.83,47000,9.20125
2015-03-17,9.71,9.75,9.70,9.71,25000,9.088925
2015-03-16,9.78,9.79,9.71,9.71,41700,9.088925
2015-03-13,9.85,9.88,9.74,9.81,33800,9.182529
2015-03-12,9.78,9.85,9.78,9.83,29200,9.20125
2015-03-11,9.83,9.83,9.75,9.75,24000,9.126367
2015-03-10,9.83,9.88,9.77,9.79,26100,9.163808
2015-03-09,9.85,9.86,9.82,9.85,25800,9.169425
2015-03-06,9.91,9.92,9.82,9.82,60100,9.141497
2015-03-05,9.94,9.97,9.90,9.97,25300,9.281134
2015-03-04,9.90,9.96,9.90,9.93,12900,9.243897
2015-03-03,9.79,9.90,9.79,9.90,33800,9.21597
2015-03-02,9.79,9.80,9.75,9.79,47900,9.11357
2015-02-27,9.75,9.80,9.72,9.79,39600,9.11357
2015-02-26,9.70,9.76,9.70,9.71,31000,9.039098
2015-02-25,9.77,9.78,9.70,9.70,32900,9.029789
2015-02-24,9.73,9.75,9.66,9.73,52800,9.057716
2015-02-23,9.72,9.72,9.64,9.67,40600,9.001862
2015-02-20,9.61,9.65,9.59,9.63,72400,8.964625
2015-02-19,9.61,9.65,9.50,9.59,251800,8.927389
2015-02-18,9.55,9.69,9.55,9.61,157300,8.946007
2015-02-17,9.84,9.85,9.57,9.59,192400,8.927389
2015-02-13,9.95,9.95,9.88,9.88,51000,9.197352
2015-02-12,9.96,9.99,9.86,9.93,56600,9.243897
2015-02-11,9.91,10.03,9.91,10.00,60400,9.309061
2015-02-10,9.97,10.01,9.90,9.95,83300,9.262515
2015-02-09,10.00,10.05,9.97,10.03,74400,9.286719
2015-02-06,10.01,10.02,9.99,9.99,7400,9.249683
2015-02-05,10.00,10.05,9.95,10.05,29600,9.305237
2015-02-04,10.03,10.05,9.91,10.00,238900,9.258942
2015-02-03,10.07,10.13,10.00,10.01,58700,9.268201
2015-02-02,9.99,10.09,9.96,10.09,109400,9.342273
2015-01-30,9.94,9.97,9.94,9.95,44400,9.212647
2015-01-29,9.94,9.97,9.90,9.92,94300,9.184871
2015-01-28,9.97,9.99,9.92,9.97,58100,9.231165
2015-01-27,9.87,9.92,9.87,9.90,56900,9.166352
2015-01-26,9.91,9.91,9.87,9.87,34200,9.138576
2015-01-23,9.94,9.96,9.89,9.89,23700,9.157094
2015-01-22,9.93,9.97,9.85,9.88,30900,9.147835
2015-01-21,9.87,9.92,9.83,9.90,55500,9.166352
2015-01-20,9.87,9.87,9.81,9.82,36300,9.092281
2015-01-16,9.80,9.89,9.75,9.89,72100,9.157094
2015-01-15,9.75,9.80,9.74,9.80,42700,9.073763
2015-01-14,9.73,9.75,9.65,9.75,71500,9.027468
2015-01-13,9.68,9.72,9.65,9.72,36700,8.999692
2015-01-12,9.65,9.67,9.64,9.64,47000,8.92562
2015-01-09,9.69,9.73,9.61,9.70,24100,8.981174
2015-01-08,9.64,9.69,9.61,9.64,50800,8.92562
2015-01-07,9.74,9.75,9.71,9.74,65200,8.968211
2015-01-06,9.71,9.75,9.64,9.69,70800,8.922172
2015-01-05,9.54,9.70,9.53,9.70,98700,8.93138
2015-01-02,9.56,9.56,9.51,9.52,35200,8.765644
2014-12-31,9.45,9.58,9.45,9.51,92500,8.756436
2014-12-30,9.47,9.50,9.45,9.47,47200,8.719606
2014-12-29,9.45,9.49,9.45,9.45,137600,8.70119
2014-12-26,9.55,9.55,9.45,9.46,47700,8.710398
2014-12-24,9.55,9.55,9.49,9.49,10200,8.73802
2014-12-23,9.55,9.55,9.49,9.49,61400,8.73802
2014-12-22,9.61,9.61,9.50,9.52,50100,8.765644
2014-12-19,9.60,9.64,9.54,9.55,118700,8.793266
2014-12-18,9.61,9.64,9.58,9.64,32100,8.876135
2014-12-17,9.60,9.66,9.57,9.61,22600,8.848512
2014-12-16,9.66,9.69,9.60,9.64,31200,8.876135
2014-12-15,9.67,9.70,9.59,9.65,56400,8.885342
2014-12-12,9.65,9.68,9.59,9.65,48400,8.885342
2014-12-11,9.70,9.70,9.59,9.62,92900,8.857719
2014-12-10,9.54,9.63,9.54,9.63,33700,8.866927
2014-12-09,9.60,9.63,9.55,9.58,38800,8.820889
2014-12-08,9.64,9.67,9.60,9.64,55200,8.826414
2014-12-05,9.59,9.66,9.52,9.65,81600,8.83557
2014-12-04,9.64,9.68,9.58,9.66,59200,8.844726
2014-12-03,9.56,9.64,9.56,9.60,117300,8.78979
2014-12-02,9.59,9.69,9.57,9.69,54500,8.872194
2014-12-01,9.68,9.68,9.56,9.64,59800,8.826414
2014-11-28,9.63,9.63,9.51,9.61,31700,8.798945
