Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.31,9.32,9.26,9.30,22400,9.30
2016-03-10,9.22,9.36,9.20,9.33,17400,9.33
2016-03-09,9.28,9.35,9.23,9.23,15300,9.23
2016-03-08,9.26,9.37,9.26,9.35,12400,9.270001
2016-03-07,9.39,9.50,9.20,9.26,55600,9.18077
2016-03-04,9.38,9.48,9.38,9.46,10000,9.379059
2016-03-03,9.34,9.43,9.34,9.38,12800,9.299744
2016-03-02,9.50,9.50,9.34,9.40,18300,9.319572
2016-03-01,9.21,9.45,9.15,9.45,53500,9.369144
2016-02-29,9.05,9.10,9.03,9.09,26700,9.012225
2016-02-26,8.96,9.06,8.96,9.02,12600,8.942824
2016-02-25,8.82,9.01,8.82,9.01,30800,8.93291
2016-02-24,8.78,8.87,8.78,8.85,19500,8.774279
2016-02-23,8.87,8.88,8.84,8.87,13800,8.794107
2016-02-22,8.73,8.92,8.73,8.88,22300,8.804022
2016-02-19,8.68,8.75,8.66,8.73,13100,8.655305
2016-02-18,8.78,8.80,8.72,8.79,20700,8.714792
2016-02-17,8.78,8.79,8.73,8.78,27600,8.704877
2016-02-16,8.76,8.79,8.71,8.79,26600,8.714792
2016-02-12,8.67,8.78,8.62,8.75,77800,8.675134
2016-02-11,8.64,8.69,8.58,8.59,30900,8.516503
2016-02-10,8.75,8.75,8.66,8.70,15700,8.625562
2016-02-09,8.66,8.79,8.66,8.70,33800,8.625562
2016-02-08,8.81,8.86,8.78,8.79,27800,8.635476
2016-02-05,8.91,8.91,8.82,8.84,39100,8.684597
2016-02-04,8.92,8.97,8.91,8.93,25200,8.773015
2016-02-03,8.97,8.97,8.89,8.95,43000,8.792663
2016-02-02,8.89,8.94,8.86,8.94,41800,8.782838
2016-02-01,8.95,8.95,8.88,8.90,32100,8.743542
2016-01-29,8.92,8.96,8.88,8.95,44600,8.792663
2016-01-28,8.88,8.88,8.83,8.85,28100,8.694421
2016-01-27,8.84,8.88,8.82,8.84,38000,8.684597
2016-01-26,8.80,8.94,8.77,8.84,74600,8.684597
2016-01-25,8.82,8.82,8.76,8.78,30500,8.625651
2016-01-22,8.80,8.94,8.73,8.79,49400,8.635476
2016-01-21,8.70,8.72,8.66,8.70,21200,8.547058
2016-01-20,8.72,8.81,8.50,8.63,59900,8.478289
2016-01-19,8.77,8.83,8.71,8.76,67500,8.606003
2016-01-15,8.92,8.96,8.87,8.88,30000,8.723894
2016-01-14,9.05,9.05,8.94,8.97,37900,8.812312
2016-01-13,9.14,9.18,9.04,9.05,15500,8.890905
2016-01-12,9.32,9.38,9.13,9.14,31000,8.979323
2016-01-11,9.42,9.46,9.29,9.34,26900,9.097214
2016-01-08,9.37,9.52,9.34,9.45,23900,9.204354
2016-01-07,9.24,9.36,9.24,9.36,15300,9.116694
2016-01-06,9.27,9.35,9.27,9.34,20600,9.097214
2016-01-05,9.25,9.35,9.21,9.32,25000,9.077733
2016-01-04,9.20,9.26,9.16,9.24,19400,8.999813
2015-12-31,9.15,9.24,9.15,9.24,28200,8.999813
2015-12-30,9.32,9.37,9.13,9.13,28100,8.892673
2015-12-29,9.35,9.38,9.31,9.36,30900,9.116694
2015-12-28,9.34,9.38,9.31,9.31,53500,9.067994
2015-12-24,9.43,9.44,9.30,9.38,11900,9.136174
2015-12-23,9.32,9.40,9.28,9.38,37300,9.136174
2015-12-22,9.25,9.31,9.21,9.31,40900,9.067994
2015-12-21,9.30,9.30,9.23,9.27,63200,9.029034
2015-12-18,9.15,9.30,9.11,9.26,56400,9.019294
2015-12-17,9.02,9.27,9.02,9.22,77300,8.980333
2015-12-16,8.97,9.09,8.88,9.09,27500,8.853712
2015-12-15,8.79,9.02,8.79,8.96,41700,8.727092
2015-12-14,8.74,8.89,8.69,8.78,73700,8.55177
2015-12-11,9.15,9.24,8.89,8.90,57400,8.668651
2015-12-10,9.26,9.29,9.19,9.24,22000,8.999813
2015-12-09,9.27,9.28,9.22,9.24,21100,8.999813
2015-12-08,9.32,9.35,9.30,9.35,8400,9.029034
2015-12-07,9.35,9.38,9.31,9.33,15400,9.00972
2015-12-04,9.45,9.47,9.37,9.38,24700,9.058004
2015-12-03,9.41,9.50,9.39,9.50,28200,9.173884
2015-12-02,9.44,9.45,9.41,9.41,17400,9.086974
2015-12-01,9.39,9.42,9.36,9.42,12700,9.09663
2015-11-30,9.35,9.36,9.33,9.36,27800,9.03869
2015-11-27,9.30,9.35,9.30,9.35,8200,9.029034
2015-11-25,9.27,9.34,9.27,9.32,35000,9.000063
2015-11-24,9.27,9.33,9.27,9.29,22200,8.971093
2015-11-23,9.36,9.37,9.29,9.31,25900,8.990407
2015-11-20,9.42,9.44,9.35,9.35,32500,9.029034
2015-11-19,9.48,9.48,9.43,9.43,34400,9.106287
2015-11-18,9.52,9.54,9.42,9.49,34000,9.164227
2015-11-17,9.57,9.57,9.52,9.54,20700,9.212511
2015-11-16,9.56,9.60,9.56,9.57,6300,9.241481
2015-11-13,9.55,9.63,9.54,9.58,33400,9.251138
2015-11-12,9.51,9.54,9.51,9.53,21400,9.202854
2015-11-11,9.52,9.54,9.50,9.51,23800,9.183541
2015-11-10,9.50,9.56,9.50,9.54,11900,9.212511
2015-11-09,9.61,9.65,9.50,9.53,27400,9.202854
2015-11-06,9.70,9.74,9.61,9.71,13000,9.299421
2015-11-05,9.79,9.88,9.68,9.70,14900,9.289844
2015-11-04,9.87,9.91,9.79,9.79,10700,9.376038
2015-11-03,9.91,10.11,9.87,9.87,22000,9.452656
2015-11-02,9.88,9.96,9.88,9.90,19300,9.481387
2015-10-30,9.78,9.87,9.78,9.85,17000,9.433502
2015-10-29,9.78,9.82,9.78,9.81,19200,9.395193
2015-10-28,9.76,9.91,9.74,9.85,22600,9.433502
2015-10-27,9.70,9.78,9.68,9.75,33500,9.33773
2015-10-26,9.75,9.75,9.71,9.72,16900,9.308999
2015-10-23,9.75,9.76,9.69,9.73,27500,9.318575
2015-10-22,9.63,9.77,9.63,9.77,21500,9.356884
2015-10-21,9.60,9.64,9.60,9.61,45400,9.203649
2015-10-20,9.59,9.61,9.59,9.61,9000,9.203649
2015-10-19,9.62,9.62,9.59,9.61,52900,9.203649
2015-10-16,9.63,9.68,9.61,9.64,44800,9.232381
2015-10-15,9.73,9.74,9.63,9.63,30100,9.222804
2015-10-14,9.70,9.74,9.69,9.72,8000,9.308999
2015-10-13,9.73,9.75,9.71,9.75,11200,9.33773
2015-10-12,9.69,9.83,9.68,9.79,12600,9.376038
2015-10-09,9.66,9.78,9.66,9.71,23800,9.299421
2015-10-08,9.58,9.70,9.57,9.66,33600,9.251535
2015-10-07,9.65,9.65,9.60,9.62,17800,9.213227
2015-10-06,9.60,9.66,9.58,9.66,13100,9.174918
2015-10-05,9.56,9.62,9.56,9.59,20900,9.108434
2015-10-02,9.51,9.62,9.49,9.56,33500,9.07994
2015-10-01,9.55,9.55,9.49,9.50,19200,9.022953
2015-09-30,9.51,9.56,9.48,9.50,21800,9.022953
2015-09-29,9.75,9.75,9.50,9.50,13200,9.022953
2015-09-28,9.64,9.69,9.61,9.62,13500,9.136927
2015-09-25,9.70,9.77,9.67,9.70,10700,9.21291
2015-09-24,9.71,9.78,9.62,9.75,8100,9.260399
2015-09-23,9.76,9.94,9.69,9.81,22200,9.317387
2015-09-22,9.61,9.91,9.61,9.82,23200,9.326884
2015-09-21,9.69,9.76,9.68,9.74,11700,9.250901
2015-09-18,9.56,10.03,9.56,9.76,21700,9.269897
2015-09-17,9.54,9.64,9.20,9.64,33400,9.155923
2015-09-16,9.46,9.72,9.46,9.54,58200,9.060944
2015-09-15,9.43,9.52,9.43,9.48,32300,9.003957
2015-09-14,9.44,9.49,9.44,9.47,58500,8.99446
2015-09-11,9.42,9.51,9.42,9.49,9900,9.013455
2015-09-10,9.48,9.48,9.45,9.47,19100,8.99446
2015-09-09,9.54,9.54,9.44,9.48,36500,9.003957
2015-09-08,9.64,9.68,9.61,9.62,22800,9.060944
2015-09-04,9.61,9.83,9.61,9.69,17100,9.126876
2015-09-03,9.70,9.72,9.63,9.69,26600,9.126876
