Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.60,13.63,13.48,13.50,113700,13.50
2016-03-10,13.57,13.64,13.48,13.51,137600,13.51
2016-03-09,13.68,13.68,13.55,13.55,93800,13.55
2016-03-08,13.75,13.75,13.65,13.71,80200,13.597
2016-03-07,13.73,13.79,13.70,13.74,82600,13.626753
2016-03-04,13.67,13.84,13.64,13.83,142200,13.716011
2016-03-03,13.38,13.75,13.34,13.68,153200,13.567248
2016-03-02,13.35,13.40,13.27,13.33,112600,13.220132
2016-03-01,13.28,13.41,13.17,13.40,138500,13.289555
2016-02-29,13.12,13.29,13.05,13.28,125900,13.170544
2016-02-26,13.11,13.18,13.04,13.05,116200,12.94244
2016-02-25,13.07,13.10,12.99,13.09,89400,12.982111
2016-02-24,13.00,13.09,12.96,13.09,120400,12.982111
2016-02-23,13.03,13.08,12.97,13.04,104600,12.932523
2016-02-22,13.07,13.07,12.97,13.06,95000,12.952358
2016-02-19,12.85,12.95,12.85,12.95,70600,12.843264
2016-02-18,12.95,12.97,12.90,12.91,84100,12.803594
2016-02-17,12.93,13.00,12.88,12.93,116800,12.82343
2016-02-16,12.91,12.94,12.85,12.88,178500,12.773841
2016-02-12,12.93,12.93,12.81,12.88,181700,12.773841
2016-02-11,12.99,13.08,12.81,12.81,197400,12.704419
2016-02-10,13.11,13.18,13.05,13.08,69100,12.972193
2016-02-09,13.19,13.20,13.08,13.11,116700,13.001945
2016-02-08,13.45,13.48,13.26,13.47,152000,13.24691
2016-02-05,13.53,13.63,13.47,13.56,127800,13.335419
2016-02-04,13.67,13.67,13.50,13.62,114300,13.394425
2016-02-03,13.69,13.69,13.53,13.68,157200,13.453432
2016-02-02,13.59,13.63,13.52,13.62,146800,13.394425
2016-02-01,13.48,13.65,13.41,13.62,113400,13.394425
2016-01-29,13.49,13.56,13.36,13.48,124100,13.256743
2016-01-28,13.29,13.39,13.22,13.39,126400,13.168235
2016-01-27,13.13,13.31,13.10,13.24,106600,13.020718
2016-01-26,13.05,13.10,12.98,13.08,129800,12.863368
2016-01-25,13.05,13.05,12.90,13.01,94200,12.794528
2016-01-22,12.93,13.05,12.90,13.02,117100,12.804363
2016-01-21,12.61,12.91,12.61,12.78,167600,12.568337
2016-01-20,12.75,12.75,12.51,12.66,241700,12.450324
2016-01-19,12.81,12.91,12.79,12.89,135300,12.676516
2016-01-15,12.78,12.90,12.66,12.84,147400,12.627343
2016-01-14,12.86,13.02,12.81,12.96,133500,12.745356
2016-01-13,13.25,13.31,12.81,12.92,219300,12.706018
2016-01-12,13.30,13.34,13.17,13.28,123300,13.060056
2016-01-11,13.41,13.43,13.29,13.37,121500,13.037437
2016-01-08,13.56,13.62,13.40,13.45,117000,13.115447
2016-01-07,13.69,13.71,13.52,13.57,94500,13.232462
2016-01-06,13.62,13.75,13.50,13.75,85500,13.407985
2016-01-05,13.46,13.73,13.44,13.67,170600,13.329975
2016-01-04,13.33,13.40,13.22,13.38,187200,13.047189
2015-12-31,13.59,13.59,13.37,13.40,167300,13.066691
2015-12-30,13.65,13.68,13.57,13.62,95500,13.281219
2015-12-29,13.75,13.84,13.62,13.66,109700,13.320224
2015-12-28,13.80,13.86,13.65,13.69,159400,13.349477
2015-12-24,13.70,13.76,13.70,13.70,38400,13.359229
2015-12-23,13.65,13.81,13.64,13.75,164900,13.407985
2015-12-22,13.61,13.73,13.52,13.70,133800,13.359229
2015-12-21,13.45,13.64,13.37,13.64,139400,13.300722
2015-12-18,13.49,13.55,13.39,13.46,123500,13.125199
2015-12-17,13.37,13.58,13.36,13.49,126400,13.154452
2015-12-16,13.12,13.64,13.12,13.40,297700,13.047188
2015-12-15,12.98,13.25,12.98,13.12,131100,12.774561
2015-12-14,13.22,13.27,12.91,12.98,251400,12.638246
2015-12-11,13.48,13.51,13.21,13.22,166200,12.871928
2015-12-10,13.72,13.78,13.42,13.55,134300,13.193239
2015-12-09,13.80,13.87,13.69,13.76,102900,13.39771
2015-12-08,13.80,13.97,13.78,13.91,89200,13.433735
2015-12-07,13.96,13.96,13.82,13.90,58100,13.424078
2015-12-04,13.82,13.97,13.77,13.97,58900,13.491682
2015-12-03,13.92,13.94,13.78,13.78,65200,13.308186
2015-12-02,13.99,14.02,13.90,13.93,131900,13.453051
2015-12-01,14.04,14.08,13.82,13.95,214000,13.472366
2015-11-30,13.94,14.06,13.94,14.04,108800,13.559284
2015-11-27,13.84,13.94,13.80,13.92,46300,13.443393
2015-11-25,13.79,13.82,13.75,13.77,72000,13.298529
2015-11-24,13.49,13.80,13.49,13.72,248200,13.250241
2015-11-23,13.39,13.48,13.39,13.45,130500,12.989485
2015-11-20,13.34,13.43,13.34,13.36,62500,12.902567
2015-11-19,13.38,13.39,13.32,13.34,66300,12.883252
2015-11-18,13.34,13.39,13.28,13.38,81700,12.921882
2015-11-17,13.26,13.35,13.26,13.31,55000,12.854279
2015-11-16,13.35,13.37,13.24,13.27,87500,12.815649
