Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,16.110001,16.129999,15.90,15.90,51300,15.90
2016-03-10,16.02,16.049999,15.98,16.049999,22300,16.049999
2016-03-09,16.10,16.10,16.00,16.030001,68500,16.030001
2016-03-08,16.059999,16.15,16.049999,16.15,95400,16.073
2016-03-07,16.16,16.16,16.040001,16.10,118200,16.023239
2016-03-04,16.280001,16.280001,16.059999,16.08,101900,16.003334
2016-03-03,16.190001,16.280001,16.15,16.26,57600,16.182476
2016-03-02,16.25,16.25,16.120001,16.139999,69100,16.063047
2016-03-01,16.16,16.18,16.049999,16.16,70600,16.082953
2016-02-29,15.95,16.059999,15.94,16.059999,59900,15.983429
2016-02-26,16.030001,16.040001,15.85,15.94,69800,15.864001
2016-02-25,16.01,16.09,15.95,16.02,81000,15.943621
2016-02-24,15.94,16.049999,15.91,15.99,128200,15.913763
2016-02-23,15.89,16.00,15.87,16.00,35400,15.923716
2016-02-22,15.90,15.90,15.81,15.85,50200,15.774431
2016-02-19,15.84,15.88,15.80,15.83,25500,15.754526
2016-02-18,15.75,15.82,15.73,15.81,46500,15.734622
2016-02-17,15.82,15.82,15.73,15.73,104400,15.655002
2016-02-16,15.87,15.87,15.72,15.77,81300,15.694813
2016-02-12,16.049999,16.049999,15.78,15.78,69900,15.704764
2016-02-11,15.98,16.00,15.92,15.94,48500,15.864001
2016-02-10,15.98,15.99,15.89,15.98,49000,15.90381
2016-02-09,15.79,15.95,15.79,15.92,108900,15.844097
2016-02-08,15.94,15.94,15.87,15.89,63400,15.737607
2016-02-05,15.91,15.94,15.87,15.91,79700,15.757415
2016-02-04,15.90,15.94,15.85,15.85,53400,15.697991
2016-02-03,15.90,15.91,15.86,15.87,50200,15.717799
2016-02-02,15.94,15.94,15.88,15.90,60100,15.747511
2016-02-01,15.93,15.94,15.88,15.94,57700,15.787127
2016-01-29,15.91,15.94,15.84,15.94,75600,15.787127
2016-01-28,15.80,15.89,15.76,15.89,58800,15.737607
2016-01-27,15.78,15.88,15.77,15.79,65400,15.638566
2016-01-26,15.89,15.89,15.76,15.84,32700,15.688087
2016-01-25,15.92,15.92,15.83,15.85,60200,15.697991
2016-01-22,15.95,15.95,15.86,15.86,38300,15.707894
