Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,26.01,26.120001,25.93,25.959999,180700,25.959999
2016-03-10,25.93,26.07,25.870001,25.950001,133200,25.950001
2016-03-09,25.90,25.98,25.76,25.98,146200,25.98
2016-03-08,26.07,26.07,25.950001,25.99,146600,25.769
2016-03-07,26.049999,26.10,25.959999,26.07,154700,25.84832
2016-03-04,25.879999,26.10,25.799999,26.10,200200,25.878065
2016-03-03,25.75,25.870001,25.629999,25.790001,166900,25.570702
2016-03-02,25.530001,25.74,25.370001,25.74,237500,25.521126
2016-03-01,25.41,25.50,25.280001,25.459999,207500,25.243506
2016-02-29,25.370001,25.43,25.219999,25.27,165200,25.055123
2016-02-26,25.370001,25.41,25.16,25.360001,153700,25.144358
2016-02-25,25.18,25.32,25.049999,25.299999,132500,25.084867
2016-02-24,25.09,25.18,24.91,25.059999,179800,24.846908
2016-02-23,24.950001,25.129999,24.93,25.059999,133800,24.846908
2016-02-22,25.08,25.25,24.93,25.10,168100,24.886569
2016-02-19,24.77,25.10,24.60,24.90,253300,24.688268
2016-02-18,25.10,25.10,24.92,24.93,210000,24.718014
2016-02-17,25.120001,25.219999,25.049999,25.049999,279600,24.836993
2016-02-16,25.15,25.23,24.98,25.07,165500,24.856823
2016-02-12,25.209999,25.24,24.879999,25.08,225200,24.866738
2016-02-11,25.139999,25.26,24.75,25.02,344600,24.807249
2016-02-10,25.389999,25.58,25.280001,25.309999,173800,25.094782
2016-02-09,25.52,25.67,25.309999,25.370001,267600,25.154273
2016-02-08,26.059999,26.09,25.75,25.84,174100,25.401156
2016-02-05,26.299999,26.33,26.10,26.219999,151700,25.774701
2016-02-04,26.34,26.370001,26.219999,26.280001,116000,25.833683
2016-02-03,26.68,26.68,26.25,26.309999,221600,25.863173
2016-02-02,26.52,26.66,26.50,26.540001,167600,26.089268
2016-02-01,26.690001,26.77,26.530001,26.57,371000,26.118757
2016-01-29,26.450001,26.709999,26.40,26.48,158000,26.030286
2016-01-28,26.450001,26.48,26.299999,26.33,128200,25.882834
2016-01-27,26.120001,26.35,26.030001,26.299999,155300,25.853342
2016-01-26,26.200001,26.40,26.059999,26.27,142900,25.823853
