Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.29,9.42,9.28,9.40,95900,9.40
2016-03-10,9.30,9.36,9.26,9.27,22700,9.27
2016-03-09,9.33,9.34,9.25,9.27,59800,9.27
2016-03-08,9.40,9.41,9.37,9.37,45500,9.28
2016-03-07,9.36,9.43,9.36,9.39,81000,9.299808
2016-03-04,9.27,9.38,9.26,9.36,68900,9.270096
2016-03-03,9.24,9.40,9.22,9.30,89100,9.210673
2016-03-02,9.23,9.23,9.16,9.22,45400,9.131441
2016-03-01,9.16,9.21,9.09,9.21,57900,9.121537
2016-02-29,9.09,9.15,9.06,9.15,35800,9.062113
2016-02-26,9.07,9.09,9.00,9.09,33300,9.00269
2016-02-25,9.03,9.10,8.98,9.06,31900,8.972978
2016-02-24,8.94,9.01,8.91,8.99,76400,8.90365
2016-02-23,9.02,9.02,8.94,8.97,32400,8.883842
2016-02-22,9.02,9.02,8.94,9.01,55700,8.923458
2016-02-19,8.94,8.95,8.88,8.95,31600,8.864034
2016-02-18,8.87,8.94,8.87,8.94,52500,8.85413
2016-02-17,8.93,8.95,8.88,8.93,60300,8.844227
2016-02-16,8.92,8.98,8.83,8.91,65500,8.824418
2016-02-12,8.82,8.92,8.78,8.90,55000,8.814514
2016-02-11,8.90,8.98,8.73,8.84,158700,8.755091
2016-02-10,9.12,9.12,8.98,9.01,46900,8.923458
2016-02-09,9.05,9.13,8.98,9.05,51200,8.963074
2016-02-08,9.14,9.20,9.09,9.14,133100,8.963074
2016-02-05,9.35,9.35,9.22,9.22,106000,9.041525
2016-02-04,9.35,9.39,9.30,9.34,17300,9.159202
2016-02-03,9.37,9.42,9.29,9.35,47700,9.169009
2016-02-02,9.40,9.41,9.26,9.39,75200,9.208235
2016-02-01,9.32,9.54,9.29,9.40,349000,9.21804
2016-01-29,9.26,9.34,9.22,9.29,40300,9.11017
2016-01-28,9.20,9.24,9.15,9.21,144100,9.031719
2016-01-27,9.17,9.19,9.11,9.13,77700,8.953267
2016-01-26,9.08,9.17,9.05,9.17,63200,8.992493
