Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,11.49,11.56,11.47,11.56,52200,11.56
2016-03-10,11.49,11.50,11.40,11.46,52100,11.46
2016-03-09,11.42,11.52,11.41,11.48,68000,11.48
2016-03-08,11.35,11.46,11.32,11.42,80000,11.42
2016-03-07,11.47,11.52,11.38,11.42,51900,11.42
2016-03-04,11.55,11.55,11.38,11.49,69500,11.49
2016-03-03,11.39,11.50,11.37,11.48,90300,11.48
2016-03-02,11.53,11.53,11.35,11.42,80100,11.42
2016-03-01,11.37,11.45,11.30,11.45,89200,11.45
2016-02-29,11.27,11.39,11.20,11.30,75200,11.30
2016-02-26,11.25,11.40,11.19,11.31,118900,11.31
2016-02-25,11.11,11.25,11.11,11.25,37400,11.25
2016-02-24,11.01,11.14,10.89,11.13,46000,11.13
2016-02-23,11.14,11.23,11.10,11.10,41000,11.10
2016-02-22,11.12,11.39,11.05,11.13,149900,11.13
2016-02-19,10.99,11.24,10.95,11.10,97400,11.10
2016-02-18,10.87,11.08,10.75,11.07,127000,11.07
2016-02-17,10.74,10.82,10.67,10.82,58700,10.82
2016-02-16,10.63,10.75,10.51,10.67,54100,10.67
2016-02-12,10.52,10.81,10.52,10.63,56700,10.535
2016-02-11,10.64,10.70,10.39,10.50,134700,10.406162
2016-02-10,10.50,10.70,10.50,10.64,82400,10.544911
2016-02-09,10.47,10.58,10.39,10.53,76100,10.435894
2016-02-08,10.85,10.88,10.25,10.56,290500,10.465626
2016-02-05,10.75,11.00,10.75,10.92,76500,10.822409
2016-02-04,10.82,10.94,10.66,10.82,128600,10.723302
2016-02-03,10.94,10.98,10.66,10.82,98900,10.723302
2016-02-02,11.02,11.05,10.83,10.99,107500,10.891783
2016-02-01,10.93,11.05,10.83,11.02,94400,10.921515
2016-01-29,10.73,11.01,10.70,10.90,156200,10.802587
2016-01-28,10.88,10.93,10.74,10.77,116200,10.67375
2016-01-27,10.85,11.01,10.79,10.79,130400,10.69357
2016-01-26,10.80,10.90,10.78,10.88,44700,10.782766
2016-01-25,10.77,10.97,10.70,10.80,135200,10.703481
2016-01-22,10.45,10.80,10.44,10.77,90200,10.67375
2016-01-21,10.18,10.95,10.14,10.39,174000,10.297146
2016-01-20,10.05,10.22,9.73,10.09,331900,9.999826
2016-01-19,10.36,10.41,10.21,10.24,149300,10.148485
2016-01-15,10.43,10.49,10.25,10.35,187700,10.257503
2016-01-14,10.82,10.97,10.60,10.70,162900,10.510223
2016-01-13,11.00,11.17,10.65,10.87,159300,10.677208
2016-01-12,11.35,11.36,11.02,11.05,78200,10.854016
2016-01-11,11.42,11.42,11.10,11.26,156800,11.060291
2016-01-08,11.42,11.49,11.29,11.42,171100,11.217453
2016-01-07,11.30,11.46,11.24,11.31,135400,11.109405
2016-01-06,11.41,11.65,11.41,11.41,69800,11.207631
2016-01-05,11.34,11.55,11.30,11.54,65700,11.335325
2016-01-04,11.30,11.54,11.01,11.45,126000,11.246921
2015-12-31,11.21,11.45,11.21,11.25,220900,11.050468
2015-12-30,11.16,11.41,11.16,11.27,122200,11.070114
2015-12-29,11.15,11.39,11.13,11.21,138000,11.011178
2015-12-28,11.14,11.29,10.92,11.09,187400,10.893306
2015-12-24,11.35,11.38,11.23,11.28,54400,11.079936
2015-12-23,11.20,11.45,11.03,11.44,163400,11.237098
2015-12-22,10.82,11.35,10.82,11.22,159900,11.021001
2015-12-21,10.92,11.10,10.91,10.92,100200,10.633006
2015-12-18,10.82,11.00,10.63,10.92,149600,10.633006
2015-12-17,11.05,11.25,10.61,10.90,299800,10.613532
2015-12-16,10.80,11.09,10.71,11.00,172900,10.710904
2015-12-15,10.75,10.98,10.71,10.85,248900,10.564846
2015-12-14,11.16,11.17,10.71,10.79,309200,10.506423
2015-12-11,11.35,11.38,11.01,11.20,158900,10.905647
2015-12-10,11.36,11.39,11.27,11.31,68700,11.012757
2015-12-09,11.15,11.51,11.11,11.39,151100,11.090654
2015-12-08,11.39,11.39,11.02,11.10,181300,10.808276
2015-12-07,11.79,11.79,11.37,11.45,126600,11.149077
2015-12-04,11.78,11.82,11.72,11.74,115600,11.431455
2015-12-03,11.76,11.84,11.74,11.74,100000,11.431455
2015-12-02,11.87,11.90,11.75,11.80,71600,11.489879
2015-12-01,11.91,12.05,11.81,11.83,103100,11.51909
2015-11-30,11.82,12.05,11.70,12.03,164800,11.713834
2015-11-27,11.80,11.83,11.72,11.73,30500,11.421718
2015-11-25,11.63,11.85,11.63,11.81,104500,11.499616
2015-11-24,11.66,11.82,11.55,11.77,92600,11.460667
2015-11-23,11.52,11.73,11.50,11.69,145400,11.382769
2015-11-20,11.54,11.67,11.54,11.58,77700,11.27566
2015-11-19,11.41,11.74,11.41,11.60,92200,11.295135
2015-11-18,11.40,11.50,11.34,11.50,168000,11.197763
2015-11-17,11.43,11.59,11.28,11.46,183500,11.158814
2015-11-16,11.47,11.70,11.40,11.58,113700,11.183158
2015-11-13,11.47,11.70,11.26,11.55,165600,11.154186
2015-11-12,11.60,11.69,11.57,11.60,86500,11.202473
2015-11-11,11.73,11.78,11.60,11.65,96500,11.250758
2015-11-10,11.90,11.95,11.65,11.72,86400,11.31836
2015-11-09,12.06,12.06,11.90,11.93,67900,11.521164
2015-11-06,11.96,12.10,11.95,12.02,114500,11.608079
2015-11-05,12.26,12.26,11.95,12.02,95600,11.608079
2015-11-04,12.11,12.25,12.07,12.22,116400,11.801225
2015-11-03,12.10,12.18,12.00,12.17,118600,11.752939
2015-11-02,12.04,12.16,11.99,12.10,130400,11.685338
2015-10-30,11.98,12.08,11.91,12.07,154700,11.656365
2015-10-29,11.92,12.09,11.92,11.99,118100,11.579107
2015-10-28,12.08,12.10,11.92,11.94,127800,11.53082
2015-10-27,12.02,12.13,12.01,12.05,88700,11.637051
2015-10-26,12.26,12.27,12.06,12.13,59400,11.714309
2015-10-23,12.21,12.27,12.08,12.22,70800,11.801225
2015-10-22,12.15,12.24,12.06,12.14,96500,11.723967
2015-10-21,12.09,12.22,12.06,12.16,60200,11.743281
2015-10-20,12.04,12.28,12.02,12.12,41900,11.704652
2015-10-19,11.94,12.20,11.88,12.11,76100,11.694994
2015-10-16,11.93,12.23,11.93,12.17,127600,11.661194
2015-10-15,11.80,12.00,11.78,11.98,114700,11.479137
2015-10-14,11.82,11.96,11.73,11.80,274100,11.306663
2015-10-13,12.34,12.35,11.95,12.06,229000,11.555793
2015-10-12,12.45,12.45,12.25,12.33,109700,11.814504
2015-10-09,12.38,12.44,12.35,12.42,93800,11.900742
2015-10-08,12.38,12.40,12.22,12.33,85800,11.814504
2015-10-07,12.00,12.38,12.00,12.35,232000,11.833669
2015-10-06,11.80,12.08,11.79,12.03,163800,11.527047
2015-10-05,11.73,11.90,11.73,11.81,62600,11.316245
2015-10-02,11.68,11.83,11.63,11.73,190400,11.239589
2015-10-01,12.01,12.10,11.67,11.69,185100,11.201261
2015-09-30,11.40,11.99,11.28,11.94,467200,11.440809
2015-09-29,11.76,11.88,11.21,11.35,225300,10.875477
2015-09-28,11.85,11.93,11.66,11.71,127700,11.220425
2015-09-25,12.06,12.16,11.82,11.88,141300,11.383318
2015-09-24,12.10,12.16,12.00,12.06,213000,11.555793
2015-09-23,12.39,12.40,12.14,12.17,119000,11.661194
2015-09-22,12.30,12.45,12.30,12.35,85000,11.833669
2015-09-21,12.47,12.51,12.29,12.41,79900,11.89116
2015-09-18,12.25,12.54,12.17,12.48,285200,11.958233
2015-09-17,12.39,12.46,12.25,12.25,157400,11.737849
2015-09-16,12.49,12.57,12.45,12.55,78700,11.934279
2015-09-15,12.55,12.55,12.42,12.47,65400,11.858204
2015-09-14,12.47,12.57,12.35,12.55,126400,11.934279
2015-09-11,12.41,12.45,12.35,12.44,78800,11.829675
2015-09-10,12.46,12.47,12.36,12.41,114500,11.801147
2015-09-09,12.27,12.37,12.27,12.37,155200,11.763109
2015-09-08,12.33,12.37,12.22,12.25,124900,11.648997
2015-09-04,12.25,12.33,12.17,12.27,60400,11.668016
2015-09-03,12.30,12.38,12.22,12.28,76300,11.677525
2015-09-02,12.28,12.33,12.15,12.25,77700,11.648997
2015-09-01,12.05,12.24,12.01,12.18,90700,11.582431
2015-08-31,12.07,12.25,12.02,12.03,103700,11.43979
2015-08-28,12.12,12.29,12.12,12.14,114900,11.544394
2015-08-27,12.07,12.40,12.07,12.28,102400,11.677525
2015-08-26,12.12,12.28,11.97,12.02,150100,11.430281
2015-08-25,12.50,12.51,12.00,12.01,256700,11.420772
2015-08-24,11.65,12.48,9.87,12.00,489700,11.411262
2015-08-21,12.70,12.83,12.55,12.65,311700,12.029372
2015-08-20,12.84,12.94,12.56,12.63,249200,12.010354
2015-08-19,13.06,13.06,12.80,12.98,116100,12.252843
2015-08-18,12.91,13.06,12.90,13.06,185000,12.328362
2015-08-17,12.84,12.97,12.81,12.93,97900,12.205644
2015-08-14,13.13,13.32,12.89,12.89,100100,12.167885
2015-08-13,13.15,13.31,13.14,13.21,31800,12.469958
2015-08-12,13.33,13.33,12.74,13.22,133000,12.479398
2015-08-11,13.23,13.48,13.23,13.33,52300,12.583236
2015-08-10,13.52,13.55,13.40,13.42,20600,12.668194
2015-08-07,13.51,13.67,13.41,13.47,36500,12.715393
2015-08-06,13.50,13.60,13.50,13.60,50400,12.83811
2015-08-05,13.62,13.66,13.50,13.55,23200,12.790911
2015-08-04,13.54,13.82,13.40,13.62,42800,12.856989
2015-08-03,13.30,13.54,13.30,13.50,84700,12.743712
2015-07-31,13.65,13.65,13.30,13.35,45800,12.602116
2015-07-30,13.51,13.83,13.30,13.66,58800,12.894748
2015-07-29,13.34,13.44,13.20,13.36,79900,12.611555
2015-07-28,13.68,13.68,13.34,13.38,63600,12.630435
2015-07-27,13.71,13.95,13.35,13.62,113500,12.856989
2015-07-24,13.99,13.99,13.60,13.73,121000,12.960827
2015-07-23,14.08,14.08,13.91,13.96,49000,13.177942
2015-07-22,14.05,14.05,13.98,14.00,69000,13.215701
2015-07-21,14.07,14.08,13.96,14.05,62300,13.2629
2015-07-20,14.19,14.19,14.02,14.08,47800,13.29122
2015-07-17,14.20,14.25,14.07,14.25,56000,13.362018
2015-07-16,14.30,14.35,14.22,14.22,35500,13.333888
2015-07-15,14.30,14.30,14.19,14.30,56500,13.408903
2015-07-14,14.08,14.29,14.07,14.29,103000,13.399526
2015-07-13,14.01,14.08,14.00,14.08,69200,13.202612
2015-07-10,14.00,14.06,14.00,14.01,55400,13.136974
2015-07-09,14.00,14.05,14.00,14.00,71400,13.127597
2015-07-08,14.05,14.05,13.98,14.00,32900,13.127597
2015-07-07,14.04,14.05,14.01,14.04,67000,13.165104
2015-07-06,13.96,14.06,13.95,14.01,37300,13.136974
2015-07-02,14.08,14.08,14.00,14.00,33800,13.127597
2015-07-01,13.97,14.11,13.93,14.06,61000,13.183858
2015-06-30,14.30,14.34,13.87,13.88,118700,13.015075
2015-06-29,14.32,14.48,14.15,14.19,95400,13.305757
2015-06-26,14.20,14.38,14.17,14.29,66100,13.399526
2015-06-25,14.44,14.55,14.18,14.18,46200,13.296381
2015-06-24,14.26,14.55,14.26,14.48,72600,13.577685
2015-06-23,14.08,14.35,14.08,14.27,48000,13.380772
2015-06-22,14.05,14.22,14.05,14.08,25700,13.202612
2015-06-19,14.05,14.25,13.94,14.25,70800,13.362018
2015-06-18,14.04,14.15,14.02,14.07,28300,13.193235
2015-06-17,14.15,14.20,14.01,14.04,65900,13.165104
2015-06-16,14.08,14.15,14.05,14.05,37800,13.174481
2015-06-15,14.14,14.20,14.04,14.08,29700,13.202612
2015-06-12,14.07,14.15,14.01,14.08,40100,13.202612
2015-06-11,13.94,14.08,13.90,14.02,42800,13.146351
2015-06-10,14.11,14.16,14.01,14.03,51100,13.066647
2015-06-09,14.05,14.21,14.05,14.05,39200,13.085274
2015-06-08,14.17,14.20,14.07,14.13,41300,13.159781
2015-06-05,14.04,14.20,14.04,14.10,31600,13.131841
2015-06-04,14.13,14.13,14.05,14.05,26500,13.085274
2015-06-03,14.08,14.10,13.97,14.08,101800,13.113214
2015-06-02,13.95,14.07,13.95,14.03,76200,13.066647
2015-06-01,14.15,14.23,14.02,14.06,72500,13.094588
2015-05-29,14.25,14.25,14.15,14.15,40100,13.178407
2015-05-28,14.12,14.20,14.12,14.18,33500,13.206348
2015-05-27,14.23,14.23,14.07,14.15,63600,13.178407
2015-05-26,14.16,14.21,14.13,14.20,28600,13.224974
2015-05-22,14.18,14.21,14.11,14.15,38400,13.178407
2015-05-21,14.20,14.20,14.12,14.14,26800,13.169095
2015-05-20,14.20,14.21,14.11,14.11,24200,13.141154
2015-05-19,14.15,14.20,14.10,14.15,34100,13.178407
2015-05-18,14.21,14.21,14.07,14.08,23000,13.113214
2015-05-15,14.20,14.20,14.15,14.20,34400,13.136497
2015-05-14,14.25,14.25,14.09,14.09,35300,13.034736
2015-05-13,13.93,14.35,13.93,14.07,57400,13.016233
2015-05-12,14.14,14.17,13.90,14.02,78400,12.969979
2015-05-11,14.10,14.39,13.86,14.17,140600,13.108744
2015-05-08,14.39,14.39,14.11,14.16,112100,13.099493
2015-05-07,14.34,14.35,14.14,14.15,66600,13.090242
2015-05-06,14.28,14.36,14.05,14.30,63500,13.229008
2015-05-05,14.35,14.39,14.20,14.25,65600,13.182753
2015-05-04,14.36,14.50,14.28,14.30,85600,13.229008
2015-05-01,14.31,14.33,14.16,14.31,86900,13.238259
2015-04-30,14.23,14.35,14.15,14.33,59200,13.256761
2015-04-29,14.15,14.24,14.10,14.16,40300,13.099493
2015-04-28,14.22,14.23,14.11,14.15,33000,13.090242
2015-04-27,14.09,14.20,14.05,14.12,37200,13.062489
2015-04-24,14.11,14.20,14.05,14.09,40600,13.034736
2015-04-23,14.13,14.16,14.06,14.12,38900,13.062489
2015-04-22,14.16,14.16,14.06,14.09,29100,13.034736
2015-04-21,14.01,14.16,14.01,14.09,28000,13.034736
2015-04-20,14.10,14.14,14.05,14.11,43600,13.053238
2015-04-17,14.18,14.18,14.05,14.05,24900,12.997732
2015-04-16,14.18,14.18,14.04,14.18,49700,13.117996
2015-04-15,14.18,14.19,14.07,14.15,66100,13.002356
2015-04-14,14.04,14.19,14.02,14.10,41700,12.956412
2015-04-13,14.13,14.19,14.04,14.04,31100,12.901278
2015-04-10,14.18,14.18,14.08,14.11,37400,12.965601
2015-04-09,14.09,14.20,14.03,14.10,64800,12.956412
2015-04-08,13.98,14.06,13.98,14.04,34900,12.901278
2015-04-07,14.04,14.04,13.96,14.03,27200,12.892089
2015-04-06,14.04,14.04,13.91,13.99,46600,12.855333
2015-04-02,14.00,14.03,13.91,13.96,46700,12.827767
2015-04-01,14.13,14.13,13.91,13.99,76300,12.855333
2015-03-31,14.12,14.13,14.03,14.03,59200,12.892089
2015-03-30,14.12,14.12,14.01,14.09,27600,12.947223
2015-03-27,14.05,14.10,13.98,13.98,35600,12.846144
2015-03-26,14.01,14.13,14.00,14.07,25900,12.928845
2015-03-25,14.17,14.18,14.00,14.10,112800,12.956412
2015-03-24,14.04,14.15,14.04,14.11,44900,12.965601
2015-03-23,14.15,14.15,13.96,13.97,22200,12.836956
2015-03-20,14.06,14.20,13.92,14.15,69100,13.002356
2015-03-19,14.01,14.09,13.79,14.07,44200,12.928845
2015-03-18,14.00,14.10,14.00,14.02,38600,12.882901
2015-03-17,14.19,14.19,14.01,14.10,48200,12.869117
2015-03-16,14.16,14.18,14.04,14.16,66800,12.923879
2015-03-13,14.18,14.19,14.00,14.16,88700,12.923879
2015-03-12,14.06,14.12,13.95,14.12,59800,12.887371
2015-03-11,13.97,13.98,13.88,13.98,40000,12.759592
2015-03-10,13.95,14.00,13.81,13.96,53800,12.741339
2015-03-09,14.03,14.03,13.88,13.95,36200,12.732211
2015-03-06,13.97,14.12,13.82,13.94,65900,12.723084
2015-03-05,13.90,13.97,13.90,13.95,39300,12.732211
2015-03-04,13.97,14.17,13.89,13.94,69000,12.723084
2015-03-03,13.93,13.97,13.92,13.97,40100,12.750466
2015-03-02,13.90,14.04,13.88,13.96,46200,12.741339
2015-02-27,13.94,14.03,13.83,13.97,67100,12.750466
2015-02-26,13.81,13.95,13.81,13.94,24100,12.723084
2015-02-25,13.94,13.94,13.80,13.87,48000,12.659195
2015-02-24,13.85,14.01,13.85,13.94,64100,12.723084
2015-02-23,13.99,13.99,13.76,13.89,66300,12.67745
2015-02-20,13.87,14.00,13.80,13.88,52900,12.668322
2015-02-19,13.89,13.89,13.77,13.87,68300,12.659195
2015-02-18,13.73,13.89,13.73,13.80,50100,12.595306
2015-02-17,13.71,13.81,13.71,13.79,78300,12.586179
2015-02-13,13.80,13.80,13.61,13.73,78300,12.531416
2015-02-12,13.75,13.80,13.61,13.80,54000,12.513163
2015-02-11,13.71,13.76,13.62,13.66,49500,12.386217
2015-02-10,13.75,13.75,13.56,13.62,36500,12.349947
2015-02-09,13.76,13.77,13.55,13.57,65800,12.30461
2015-02-06,13.60,13.80,13.53,13.73,121400,12.44969
2015-02-05,13.28,13.49,13.20,13.39,178600,12.141395
2015-02-04,13.43,13.43,13.22,13.36,102900,12.114192
2015-02-03,13.37,13.50,13.24,13.34,66600,12.096057
2015-02-02,13.41,13.41,13.22,13.25,62700,12.01445
2015-01-30,13.51,13.51,13.30,13.32,41200,12.077922
2015-01-29,13.64,13.64,13.38,13.45,58300,12.1958
2015-01-28,13.55,13.73,13.52,13.55,68300,12.286475
2015-01-27,13.70,13.70,13.48,13.49,42600,12.23207
2015-01-26,13.47,13.75,13.41,13.70,72100,12.422487
2015-01-23,13.44,13.58,13.23,13.58,76800,12.313677
2015-01-22,13.52,13.71,13.24,13.38,119200,12.132327
2015-01-21,13.65,13.69,13.42,13.51,43200,12.250205
2015-01-20,13.42,13.70,13.42,13.63,145100,12.359015
2015-01-16,13.70,13.80,13.44,13.46,103400,12.204867
2015-01-15,13.88,13.91,13.79,13.85,33300,12.476893
2015-01-14,13.75,13.99,13.70,13.79,63400,12.422841
2015-01-13,14.05,14.07,13.70,13.70,40900,12.341764
2015-01-12,14.00,14.03,13.86,13.97,44500,12.584996
2015-01-09,14.16,14.16,13.80,13.92,59400,12.539953
2015-01-08,14.19,14.19,14.01,14.09,35200,12.693099
2015-01-07,14.03,14.14,13.90,14.13,22600,12.729134
2015-01-06,13.91,14.20,13.75,13.99,39700,12.603013
2015-01-05,13.69,14.04,13.59,13.88,72100,12.503919
2015-01-02,13.81,13.94,13.70,13.80,77800,12.43185
2014-12-31,13.90,13.94,13.67,13.73,110000,12.36879
2014-12-30,14.00,14.04,13.97,14.03,36900,12.639047
2014-12-29,14.05,14.05,13.93,14.03,22700,12.639047
2014-12-26,13.94,14.05,13.85,14.00,33500,12.612022
2014-12-24,13.88,13.89,13.83,13.85,13400,12.476893
2014-12-23,13.59,13.81,13.55,13.80,37500,12.43185
2014-12-22,13.80,13.90,13.46,13.53,29500,12.188618
2014-12-19,13.67,13.79,13.60,13.72,55600,12.359782
2014-12-18,12.99,13.64,12.99,13.56,75200,12.215644
2014-12-17,12.76,13.15,12.76,12.98,90000,11.693146
2014-12-16,13.23,13.24,12.69,12.99,166000,11.621077
2014-12-15,13.31,13.72,13.23,13.25,106800,11.853678
2014-12-12,13.80,13.80,13.31,13.34,121300,11.934194
2014-12-11,13.60,13.85,13.60,13.82,84000,12.363609
2014-12-10,13.90,13.90,13.70,13.81,57500,12.354664
2014-12-09,13.89,13.97,13.85,13.91,79800,12.444125
2014-12-08,14.15,14.15,13.89,13.90,94100,12.435179
2014-12-05,14.10,14.18,14.05,14.15,31500,12.658833
2014-12-04,14.14,14.25,14.14,14.15,50000,12.658833
2014-12-03,14.17,14.20,14.02,14.15,48400,12.658833
2014-12-02,14.17,14.17,14.03,14.15,39800,12.658833
2014-12-01,14.23,14.23,14.00,14.15,64100,12.658833
2014-11-28,14.20,14.20,14.07,14.19,19000,12.694618
2014-11-26,14.24,14.25,14.15,14.18,23000,12.685672
2014-11-25,14.18,14.21,14.09,14.20,45800,12.703564
2014-11-24,14.13,14.15,14.05,14.11,22700,12.623048
2014-11-21,14.19,14.30,14.00,14.12,81000,12.631995
2014-11-20,14.21,14.26,14.09,14.19,39400,12.694618
2014-11-19,14.17,14.30,14.07,14.15,46900,12.658833
2014-11-18,14.13,14.24,14.03,14.03,36000,12.551479
2014-11-17,14.07,14.22,14.05,14.07,26700,12.587264
2014-11-14,14.30,14.30,14.05,14.10,49400,12.533587
2014-11-13,14.30,14.30,14.13,14.19,38700,12.613588
2014-11-12,14.22,14.26,14.09,14.23,62200,12.649144
2014-11-11,14.20,14.40,14.06,14.16,37000,12.586921
2014-11-10,14.18,14.35,14.15,14.18,75700,12.604699
2014-11-07,14.20,14.20,14.00,14.17,44700,12.59581
2014-11-06,14.15,14.23,14.09,14.15,31900,12.578031
2014-11-05,14.31,14.41,14.16,14.19,39300,12.613588
2014-11-04,14.06,14.17,14.00,14.14,24400,12.569143
2014-11-03,14.06,14.06,13.90,14.04,42900,12.480252
2014-10-31,14.00,14.04,13.80,14.04,49700,12.480252
2014-10-30,13.75,13.90,13.75,13.89,27000,12.346916
2014-10-29,13.78,13.89,13.65,13.78,25000,12.249136
2014-10-28,13.69,13.83,13.51,13.68,115300,12.160246
2014-10-27,13.55,13.65,13.50,13.56,44500,12.053577
2014-10-24,13.55,13.77,13.55,13.62,63400,12.106911
2014-10-23,13.96,14.06,13.52,13.65,138200,12.133578
2014-10-22,13.86,14.02,13.86,14.00,38300,12.444696
2014-10-21,13.88,13.95,13.78,13.86,57700,12.320248
2014-10-20,13.87,13.95,13.52,13.76,85400,12.231358
2014-10-17,14.05,14.06,13.75,13.88,90200,12.258026
2014-10-16,13.43,13.92,13.30,13.86,73000,12.240363
2014-10-15,13.48,13.48,13.25,13.48,139000,11.904768
2014-10-14,13.58,13.74,13.34,13.48,115600,11.904768
2014-10-13,13.85,13.93,13.51,13.58,100700,11.993083
2014-10-10,13.84,13.89,13.77,13.80,96700,12.187374
2014-10-09,13.91,14.02,13.78,13.93,88700,12.302183
2014-10-08,13.81,13.98,13.80,13.98,61400,12.34634
2014-10-07,13.95,13.99,13.81,13.85,44700,12.231532
2014-10-06,13.95,13.99,13.85,13.94,51000,12.311014
2014-10-03,13.89,13.96,13.80,13.87,63700,12.249194
2014-10-02,13.89,13.89,13.76,13.84,79800,12.2227
2014-10-01,13.86,13.86,13.76,13.83,70000,12.213869
2014-09-30,13.89,14.08,13.74,13.78,227800,12.169711
2014-09-29,13.91,14.04,13.91,13.99,55300,12.355171
2014-09-26,13.98,14.12,13.92,13.99,31500,12.355171
2014-09-25,14.17,14.19,13.91,13.93,64100,12.302183
2014-09-24,14.19,14.38,14.05,14.11,50100,12.461148
2014-09-23,14.16,14.40,14.05,14.23,47800,12.487642
