Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,8.43,8.57,8.43,8.55,195500,8.55
2016-03-10,8.44,8.50,8.40,8.40,148200,8.40
2016-03-09,8.47,8.47,8.39,8.41,231200,8.41
2016-03-08,8.39,8.57,8.39,8.51,262100,8.43
2016-03-07,8.40,8.47,8.34,8.44,148200,8.360657
2016-03-04,8.40,8.48,8.33,8.43,139600,8.350752
2016-03-03,8.27,8.41,8.27,8.39,100400,8.311128
2016-03-02,8.20,8.31,8.19,8.28,270200,8.202162
2016-03-01,8.18,8.21,8.14,8.19,217100,8.113008
2016-02-29,8.18,8.20,8.13,8.15,164000,8.073384
2016-02-26,8.17,8.17,8.12,8.16,150200,8.08329
2016-02-25,8.10,8.18,8.08,8.17,93700,8.093196
2016-02-24,8.05,8.15,8.05,8.14,108100,8.063478
2016-02-23,8.13,8.13,8.07,8.12,95600,8.043666
2016-02-22,8.08,8.14,8.07,8.13,127500,8.053572
2016-02-19,8.03,8.07,8.03,8.06,58800,7.984231
2016-02-18,8.06,8.09,8.04,8.05,152400,7.974324
2016-02-17,8.09,8.11,8.04,8.08,194800,8.004042
2016-02-16,8.08,8.09,7.98,8.07,238000,7.994136
2016-02-12,8.09,8.10,8.00,8.08,140800,8.004042
2016-02-11,8.03,8.08,7.94,8.01,224900,7.9347
2016-02-10,8.13,8.15,8.09,8.14,125400,8.063478
2016-02-09,8.14,8.15,8.09,8.14,126500,8.063478
2016-02-08,8.29,8.30,8.19,8.26,230600,8.103103
2016-02-05,8.42,8.42,8.29,8.33,189300,8.171773
2016-02-04,8.48,8.50,8.39,8.46,112600,8.299303
2016-02-03,8.48,8.49,8.38,8.49,85700,8.328733
2016-02-02,8.43,8.48,8.36,8.47,186500,8.309114
2016-02-01,8.46,8.46,8.39,8.46,162900,8.299303
2016-01-29,8.41,8.47,8.36,8.41,180900,8.250253
2016-01-28,8.37,8.40,8.31,8.36,363000,8.201203
2016-01-27,8.31,8.34,8.26,8.33,157900,8.171773
2016-01-26,8.21,8.33,8.21,8.31,129400,8.152153
2016-01-25,8.20,8.23,8.19,8.19,127600,8.034432
2016-01-22,8.17,8.26,8.15,8.24,140100,8.083482
2016-01-21,8.12,8.16,7.92,8.11,402200,7.955951
2016-01-20,7.98,8.07,7.86,8.05,375500,7.897092
2016-01-19,8.18,8.21,8.05,8.13,319300,7.975572
2016-01-15,8.12,8.21,8.08,8.21,240700,8.054052
2016-01-14,8.26,8.28,8.16,8.26,315900,8.103103
2016-01-13,8.45,8.49,8.26,8.29,343800,8.132533
2016-01-12,8.52,8.54,8.44,8.47,195200,8.309114
2016-01-11,8.66,8.67,8.55,8.57,138200,8.328733
2016-01-08,8.68,8.68,8.61,8.66,165100,8.416199
2016-01-07,8.68,8.72,8.62,8.65,255800,8.406481
2016-01-06,8.71,8.78,8.70,8.73,162600,8.484229
2016-01-05,8.66,8.80,8.66,8.75,183200,8.503666
2016-01-04,8.72,8.80,8.60,8.72,264200,8.474511
2015-12-31,8.85,8.86,8.67,8.77,384600,8.523103
2015-12-30,8.85,8.90,8.81,8.89,191000,8.639725
2015-12-29,8.88,8.90,8.82,8.88,214900,8.630006
2015-12-28,8.94,8.94,8.82,8.84,190700,8.591132
2015-12-24,8.94,8.96,8.87,8.93,79200,8.678599
2015-12-23,8.92,8.98,8.91,8.94,139200,8.688317
2015-12-22,8.83,8.91,8.81,8.89,181200,8.639725
2015-12-21,8.88,8.92,8.82,8.87,166900,8.620288
2015-12-18,8.75,8.91,8.75,8.89,155000,8.639725
2015-12-17,8.78,8.85,8.75,8.80,225600,8.552258
2015-12-16,8.70,8.94,8.66,8.85,405800,8.532822
2015-12-15,8.58,8.74,8.58,8.70,324200,8.388197
2015-12-14,8.64,8.70,8.38,8.59,552000,8.28214
