Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,8.62,8.93,8.60,8.79,874600,8.79
2016-03-10,8.60,8.73,8.52,8.59,464000,8.59
2016-03-09,8.39,8.58,8.35,8.54,428900,8.54
2016-03-08,8.52,8.57,8.45,8.47,411000,8.367
2016-03-07,8.41,8.55,8.41,8.53,520200,8.42627
2016-03-04,8.48,8.62,8.31,8.45,771000,8.347243
2016-03-03,8.27,8.48,8.21,8.45,470400,8.347243
2016-03-02,8.15,8.30,8.00,8.24,650600,8.139797
2016-03-01,8.28,8.35,8.20,8.29,689700,8.189189
2016-02-29,8.11,8.23,8.10,8.19,478500,8.090405
2016-02-26,8.04,8.11,7.99,8.08,476300,7.981743
2016-02-25,7.97,8.03,7.91,7.99,357600,7.892837
2016-02-24,7.80,7.97,7.80,7.96,347800,7.863202
2016-02-23,7.85,7.91,7.77,7.88,312100,7.784175
2016-02-22,7.90,7.95,7.80,7.92,327600,7.823689
2016-02-19,7.85,7.95,7.71,7.86,405500,7.764418
2016-02-18,7.94,7.95,7.87,7.93,218900,7.833567
2016-02-17,7.80,7.94,7.75,7.92,539000,7.823689
2016-02-16,7.57,7.73,7.51,7.69,525500,7.596486
2016-02-12,7.61,7.66,7.49,7.51,329800,7.418675
2016-02-11,7.56,7.65,7.40,7.51,745900,7.418675
2016-02-10,7.66,7.74,7.64,7.66,198300,7.56685
2016-02-09,7.70,7.76,7.61,7.66,514800,7.56685
2016-02-08,7.92,7.96,7.74,7.88,761700,7.682427
2016-02-05,8.04,8.07,7.95,8.07,667700,7.867663
2016-02-04,8.07,8.18,8.01,8.04,535000,7.838416
2016-02-03,8.05,8.11,7.85,8.10,502500,7.896912
2016-02-02,7.93,8.03,7.86,8.01,513800,7.809168
2016-02-01,7.85,8.02,7.77,7.95,535100,7.750672
2016-01-29,7.70,7.97,7.70,7.84,624400,7.64343
2016-01-28,7.72,7.73,7.62,7.67,344500,7.477693
2016-01-27,7.67,7.74,7.56,7.61,378200,7.419197
2016-01-26,7.56,7.71,7.55,7.66,447300,7.467943
2016-01-25,7.62,7.63,7.50,7.52,439000,7.331453
2016-01-22,7.62,7.73,7.58,7.63,765900,7.438695
2016-01-21,7.45,7.64,7.38,7.54,424800,7.350952
2016-01-20,7.32,7.50,7.08,7.48,1213400,7.292456
2016-01-19,7.45,7.57,7.34,7.50,690100,7.311955
2016-01-15,7.57,7.67,7.35,7.38,1727400,7.194964
2016-01-14,7.60,7.92,7.41,7.71,1825700,7.51669
2016-01-13,7.90,7.92,7.57,7.59,874100,7.399698
2016-01-12,8.00,8.08,7.84,7.93,587900,7.731173
2016-01-11,8.11,8.14,7.92,8.04,1046000,7.737998
2016-01-08,8.22,8.25,8.07,8.11,473800,7.805368
2016-01-07,8.18,8.31,8.10,8.20,580500,7.891988
2016-01-06,8.26,8.37,8.22,8.30,529500,7.988232
2016-01-05,8.31,8.43,8.31,8.41,539000,8.0941
2016-01-04,8.10,8.33,8.05,8.29,757600,7.978607
2015-12-31,8.22,8.27,8.10,8.18,829200,7.87274
2015-12-30,8.32,8.36,8.24,8.27,653200,7.959359
2015-12-29,8.43,8.49,8.35,8.36,436800,8.045978
2015-12-28,8.49,8.52,8.34,8.40,444200,8.084475
2015-12-24,8.51,8.57,8.41,8.52,211200,8.199969
2015-12-23,8.37,8.60,8.31,8.49,898000,8.171095
2015-12-22,8.28,8.40,8.27,8.35,629300,8.036354
2015-12-21,8.23,8.33,8.23,8.30,587200,7.988232
2015-12-18,8.25,8.31,8.20,8.23,726200,7.920861
2015-12-17,8.39,8.47,8.25,8.31,763000,7.997857
2015-12-16,7.98,8.34,7.96,8.30,926400,7.988232
2015-12-15,7.66,7.95,7.66,7.91,936800,7.612881
2015-12-14,7.45,7.62,7.31,7.57,1555900,7.285653
2015-12-11,8.14,8.14,7.42,7.64,2011400,7.353023
2015-12-10,8.46,8.47,8.19,8.23,660800,7.920861
2015-12-09,8.66,8.72,8.45,8.46,641200,8.142222
2015-12-08,8.82,8.84,8.65,8.71,578800,8.2837
2015-12-07,8.90,8.93,8.84,8.89,452900,8.454891
2015-12-04,8.84,8.94,8.82,8.93,323900,8.492933
2015-12-03,8.88,8.94,8.81,8.85,420900,8.416849
2015-12-02,8.85,8.96,8.83,8.91,395500,8.473912
2015-12-01,8.98,8.99,8.86,8.87,507400,8.435869
2015-11-30,8.88,8.97,8.84,8.95,503400,8.511954
2015-11-27,8.86,8.90,8.80,8.86,135100,8.426359
2015-11-25,8.94,8.95,8.76,8.85,307800,8.416849
2015-11-24,8.55,8.88,8.55,8.86,473500,8.426359
2015-11-23,8.45,8.61,8.42,8.55,330800,8.131532
2015-11-20,8.45,8.45,8.38,8.44,314500,8.026915
2015-11-19,8.47,8.47,8.40,8.42,226700,8.007894
2015-11-18,8.45,8.50,8.39,8.44,242900,8.026915
2015-11-17,8.41,8.49,8.30,8.41,283100,7.998383
2015-11-16,8.29,8.45,8.29,8.40,335100,7.988873
2015-11-13,8.37,8.39,8.25,8.35,388700,7.94132
2015-11-12,8.64,8.66,8.35,8.38,611500,7.969852
2015-11-11,8.61,8.77,8.61,8.67,327400,8.245658
2015-11-10,8.71,8.74,8.52,8.64,723500,8.217127
2015-11-09,8.88,8.93,8.70,8.78,508900,8.350274
2015-11-06,8.98,9.09,8.84,9.00,651500,8.461548
2015-11-05,9.16,9.29,8.85,9.04,909600,8.499154
2015-11-04,8.96,9.25,8.96,9.18,789900,8.630779
2015-11-03,8.75,9.00,8.72,8.94,709100,8.405137
2015-11-02,8.66,8.75,8.60,8.72,478600,8.1983
2015-10-30,8.60,8.69,8.55,8.66,438000,8.141889
2015-10-29,8.55,8.59,8.50,8.58,258500,8.066675
2015-10-28,8.50,8.59,8.45,8.57,385100,8.057273
2015-10-27,8.29,8.48,8.26,8.47,439100,7.963257
2015-10-26,8.35,8.35,8.26,8.32,327900,7.82223
2015-10-23,8.31,8.36,8.25,8.33,387000,7.831632
2015-10-22,8.20,8.28,8.18,8.27,435600,7.775223
2015-10-21,8.15,8.23,8.13,8.17,371600,7.681205
2015-10-20,8.10,8.17,8.05,8.12,551200,7.634196
2015-10-19,7.98,8.15,7.97,8.07,529400,7.587187
