Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.76,15.80,15.65,15.65,69300,15.65
2016-03-10,15.75,15.80,15.65,15.74,37700,15.74
2016-03-09,15.79,15.84,15.71,15.77,101100,15.77
2016-03-08,15.80,15.88,15.74,15.82,86300,15.739
2016-03-07,15.70,15.83,15.61,15.80,168400,15.719103
2016-03-04,15.65,15.71,15.62,15.62,65700,15.540024
2016-03-03,15.67,15.73,15.61,15.63,109800,15.549973
2016-03-02,15.63,15.72,15.59,15.60,110500,15.520127
2016-03-01,15.67,15.70,15.60,15.63,72800,15.549973
2016-02-29,15.59,15.63,15.56,15.63,80400,15.549973
2016-02-26,15.54,15.64,15.50,15.56,113200,15.480332
2016-02-25,15.49,15.58,15.48,15.56,92600,15.480332
2016-02-24,15.40,15.47,15.38,15.47,60500,15.390792
2016-02-23,15.32,15.45,15.31,15.45,70500,15.370894
2016-02-22,15.35,15.36,15.29,15.31,51600,15.231612
2016-02-19,15.30,15.34,15.28,15.31,51200,15.231612
2016-02-18,15.30,15.32,15.25,15.27,51200,15.191817
2016-02-17,15.28,15.29,15.18,15.24,78600,15.161969
2016-02-16,15.32,15.34,15.23,15.23,103600,15.15202
2016-02-12,15.46,15.47,15.34,15.35,116200,15.271407
2016-02-11,15.51,15.51,15.44,15.46,81500,15.380843
2016-02-10,15.45,15.51,15.42,15.48,66700,15.40074
2016-02-09,15.46,15.47,15.39,15.40,79000,15.32115
2016-02-08,15.50,15.55,15.49,15.49,86500,15.330104
2016-02-05,15.49,15.52,15.44,15.50,71500,15.340001
2016-02-04,15.47,15.50,15.43,15.44,90900,15.28062
2016-02-03,15.62,15.62,15.45,15.46,159300,15.300414
2016-02-02,15.52,15.58,15.48,15.55,76700,15.389485
2016-02-01,15.49,15.54,15.43,15.51,104300,15.349898
2016-01-29,15.39,15.48,15.37,15.45,65200,15.290517
2016-01-28,15.30,15.38,15.28,15.37,50100,15.211343
2016-01-27,15.36,15.39,15.30,15.30,45200,15.142066
2016-01-26,15.35,15.39,15.28,15.34,61700,15.181653
2016-01-25,15.34,15.45,15.28,15.28,94000,15.122272
2016-01-22,15.45,15.54,15.37,15.45,78500,15.290517
2016-01-21,15.40,15.47,15.34,15.38,64500,15.22124
2016-01-20,15.51,15.51,15.31,15.36,150300,15.201446
2016-01-19,15.50,15.85,15.43,15.43,139400,15.270724
2016-01-15,15.42,15.64,15.42,15.50,93400,15.340001
2016-01-14,15.56,15.63,15.42,15.47,82600,15.310311
2016-01-13,15.70,15.78,15.55,15.55,40000,15.389485
2016-01-12,15.69,15.83,15.66,15.75,84500,15.58742
2016-01-11,16.02,16.02,15.85,15.88,41400,15.635915
2016-01-08,15.82,16.030001,15.77,15.98,168600,15.734377
2016-01-07,15.71,15.93,15.66,15.86,155500,15.616222
2016-01-06,15.53,15.70,15.53,15.69,72300,15.448835
2016-01-05,15.45,15.60,15.45,15.52,46700,15.281449
2016-01-04,15.52,15.57,15.41,15.49,65500,15.251909
2015-12-31,15.57,15.58,15.45,15.45,50400,15.212524
2015-12-30,15.39,15.51,15.39,15.48,44800,15.242063
2015-12-29,15.41,15.46,15.31,15.43,55700,15.192832
2015-12-28,15.37,15.40,15.27,15.37,44400,15.133754
2015-12-24,15.33,15.36,15.27,15.32,20300,15.084522
2015-12-23,15.28,15.49,15.25,15.30,73900,15.06483
2015-12-22,15.20,15.28,15.20,15.26,74900,15.025445
2015-12-21,15.14,15.35,15.12,15.20,33600,14.966367
2015-12-18,15.10,15.20,15.05,15.15,55600,14.917135
2015-12-17,14.89,15.10,14.85,15.09,61600,14.858058
2015-12-16,14.83,14.90,14.75,14.89,54100,14.661132
2015-12-15,14.58,14.96,14.58,14.78,139100,14.552822
2015-12-14,15.34,15.34,14.76,14.76,152200,14.53313
2015-12-11,15.33,15.46,15.25,15.31,95000,15.074676
2015-12-10,15.24,15.37,15.20,15.29,50000,15.054983
2015-12-09,15.19,15.25,15.14,15.20,64600,14.966367
2015-12-08,15.11,15.30,15.11,15.30,48900,14.985075
2015-12-07,15.20,15.24,15.14,15.19,44400,14.877339
2015-12-04,15.06,15.19,15.06,15.17,21800,14.857751
2015-12-03,15.18,15.18,15.02,15.05,70100,14.740221
2015-12-02,15.19,15.24,15.19,15.20,32700,14.887133
2015-12-01,15.11,15.25,15.09,15.25,59700,14.936104
2015-11-30,15.00,15.09,14.98,15.06,68300,14.750015
2015-11-27,15.06,15.06,15.02,15.04,9600,14.730427
2015-11-25,14.97,15.06,14.97,15.05,33600,14.740221
2015-11-24,14.91,14.98,14.88,14.93,31000,14.622691
2015-11-23,14.83,14.97,14.83,14.96,23400,14.652073
2015-11-20,14.81,14.88,14.81,14.85,13600,14.544338
2015-11-19,14.83,14.93,14.83,14.84,21000,14.534544
2015-11-18,14.80,14.88,14.80,14.84,15300,14.534544
2015-11-17,14.86,14.88,14.79,14.80,35400,14.495367
2015-11-16,14.86,14.91,14.80,14.87,54900,14.563926
2015-11-13,14.71,14.85,14.69,14.76,38600,14.45619
