Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.05,13.07,13.01,13.01,116400,13.01
2016-03-10,13.05,13.07,12.94,13.07,174200,13.07
2016-03-09,13.05,13.05,12.99,13.00,120500,13.00
2016-03-08,13.03,13.09,13.03,13.09,159800,13.025
2016-03-07,13.00,13.10,12.97,13.07,171600,13.005099
2016-03-04,13.01,13.05,13.00,13.01,140000,12.945398
2016-03-03,13.03,13.05,12.96,13.05,203600,12.985199
2016-03-02,13.04,13.04,12.96,13.00,113100,12.935447
2016-03-01,13.06,13.06,12.98,13.03,147900,12.965298
2016-02-29,12.91,12.96,12.86,12.95,94100,12.885695
2016-02-26,12.94,12.98,12.86,12.86,109900,12.796142
2016-02-25,13.04,13.04,12.94,12.96,138000,12.895646
2016-02-24,13.07,13.10,12.96,12.97,150500,12.905596
2016-02-23,12.98,13.07,12.96,13.00,110300,12.935447
2016-02-22,13.12,13.12,12.95,12.95,162800,12.885695
2016-02-19,13.11,13.13,13.08,13.11,116500,13.044901
2016-02-18,12.97,13.09,12.95,13.06,84700,12.99515
2016-02-17,12.94,12.94,12.83,12.91,140600,12.845894
2016-02-16,13.00,13.02,12.82,12.90,252200,12.835943
2016-02-12,13.21,13.22,13.00,13.02,157500,12.955348
2016-02-11,13.06,13.21,12.92,13.21,233300,13.144404
2016-02-10,13.05,13.05,12.99,13.02,111900,12.955348
2016-02-09,13.01,13.01,12.93,13.00,101400,12.935447
2016-02-08,13.09,13.11,12.95,13.05,231400,12.920522
2016-02-05,13.04,13.06,12.99,13.03,99700,12.90072
2016-02-04,13.05,13.05,12.97,13.01,93400,12.880919
2016-02-03,12.96,13.02,12.96,13.01,109200,12.880919
2016-02-02,13.02,13.06,12.95,12.95,156500,12.821513
2016-02-01,13.02,13.05,12.98,13.02,217100,12.89082
2016-01-29,12.94,12.96,12.91,12.94,136300,12.811612
2016-01-28,12.80,12.92,12.78,12.89,172900,12.762109
2016-01-27,12.87,12.90,12.74,12.76,202700,12.633399
2016-01-26,12.80,12.84,12.76,12.84,153600,12.712605
2016-01-25,12.78,12.82,12.73,12.75,107500,12.623498
2016-01-22,12.65,12.75,12.59,12.72,151000,12.593796
2016-01-21,12.58,12.62,12.56,12.57,108200,12.445284
2016-01-20,12.63,12.63,12.42,12.53,210100,12.40568
2016-01-19,12.80,12.80,12.55,12.56,219200,12.435383
2016-01-15,12.71,12.81,12.67,12.73,204100,12.603696
2016-01-14,12.68,12.70,12.63,12.67,193100,12.544292
2016-01-13,12.74,12.77,12.63,12.63,92100,12.504689
2016-01-12,12.74,12.81,12.69,12.71,142800,12.583895
2016-01-11,12.86,12.86,12.76,12.83,151800,12.638349
2016-01-08,12.75,12.85,12.72,12.85,198900,12.658051
2016-01-07,12.80,12.82,12.72,12.77,152800,12.579246
2016-01-06,12.76,12.81,12.73,12.75,199100,12.559544
2016-01-05,12.63,12.69,12.60,12.69,183600,12.50044
2016-01-04,12.48,12.60,12.45,12.60,129100,12.411785
2015-12-31,12.61,12.63,12.48,12.51,128500,12.32313
2015-12-30,12.49,12.59,12.47,12.58,98200,12.392084
2015-12-29,12.43,12.50,12.39,12.49,120400,12.303428
2015-12-28,12.36,12.41,12.34,12.41,130400,12.224623
2015-12-24,12.41,12.43,12.33,12.39,67600,12.204922
2015-12-23,12.37,12.44,12.35,12.43,157600,12.244325
2015-12-22,12.30,12.36,12.29,12.35,142700,12.16552
2015-12-21,12.31,12.33,12.29,12.29,154400,12.106416
2015-12-18,12.32,12.35,12.26,12.27,136600,12.086715
2015-12-17,12.22,12.29,12.19,12.28,200600,12.096565
2015-12-16,12.07,12.20,12.07,12.16,169200,11.978357
2015-12-15,12.05,12.14,12.05,12.11,135200,11.929104
2015-12-14,12.26,12.26,12.07,12.07,165600,11.889702
2015-12-11,12.31,12.34,12.24,12.25,146600,12.067013
2015-12-10,12.27,12.31,12.23,12.29,118000,12.106416
2015-12-09,12.39,12.39,12.23,12.31,132000,12.126117
2015-12-08,12.30,12.46,12.28,12.42,127800,12.170445
2015-12-07,12.27,12.36,12.24,12.31,105100,12.062655
2015-12-04,12.20,12.30,12.20,12.27,125000,12.023459
2015-12-03,12.35,12.36,12.20,12.20,174500,11.954865
2015-12-02,12.36,12.40,12.35,12.38,90300,12.131248
2015-12-01,12.33,12.40,12.28,12.40,138600,12.150846
2015-11-30,12.29,12.30,12.24,12.30,93600,12.052856
2015-11-27,12.27,12.31,12.20,12.23,80300,11.984262
2015-11-25,12.21,12.26,12.20,12.23,82200,11.984262
2015-11-24,12.25,12.25,12.18,12.21,68900,11.964664
2015-11-23,12.16,12.24,12.16,12.22,109200,11.974464
2015-11-20,12.13,12.17,12.11,12.14,94600,11.896071
2015-11-19,12.16,12.20,12.13,12.19,60600,11.945066
2015-11-18,12.11,12.16,12.11,12.15,85500,11.905869
2015-11-17,12.10,12.17,12.09,12.14,110700,11.896071
2015-11-16,12.13,12.17,12.11,12.14,59200,11.896071
2015-11-13,12.09,12.15,12.04,12.15,80600,11.905869
2015-11-12,12.04,12.10,12.03,12.06,46800,11.817679
2015-11-11,12.01,12.05,11.96,12.04,63100,11.79808
2015-11-10,12.02,12.04,11.96,12.01,251700,11.768683
2015-11-09,12.08,12.08,11.94,12.00,118600,11.758884
2015-11-06,12.28,12.28,12.14,12.18,169400,11.871573
2015-11-05,12.36,12.36,12.30,12.31,110200,11.998281
2015-11-04,12.37,12.39,12.34,12.36,109800,12.047014
2015-11-03,12.40,12.40,12.34,12.38,127300,12.066508
2015-11-02,12.40,12.40,12.37,12.39,119800,12.076255
2015-10-30,12.37,12.40,12.33,12.40,102100,12.086001
2015-10-29,12.27,12.36,12.23,12.35,85200,12.037268
2015-10-28,12.34,12.37,12.26,12.27,146400,11.959294
2015-10-27,12.33,12.34,12.28,12.33,72200,12.017774
2015-10-26,12.37,12.37,12.32,12.33,74800,12.017774
2015-10-23,12.34,12.38,12.31,12.36,65000,12.047014
2015-10-22,12.37,12.39,12.34,12.35,134000,12.037268
2015-10-21,12.28,12.38,12.28,12.36,152100,12.047014
2015-10-20,12.21,12.29,12.20,12.27,148200,11.959294
2015-10-19,12.11,12.25,12.11,12.22,137800,11.91056
2015-10-16,12.14,12.18,12.13,12.13,94200,11.822839
2015-10-15,12.18,12.19,12.11,12.14,58300,11.832586
2015-10-14,12.21,12.22,12.16,12.16,50000,11.852079
2015-10-13,12.18,12.20,12.17,12.19,38800,11.881319
2015-10-12,12.17,12.22,12.13,12.18,43900,11.871573
2015-10-09,12.14,12.15,12.11,12.14,44400,11.832586
2015-10-08,12.16,12.17,12.10,12.10,70300,11.793599
2015-10-07,12.19,12.19,12.11,12.16,90600,11.852079
2015-10-06,12.13,12.21,12.11,12.21,123300,11.837459
2015-10-05,12.12,12.12,12.08,12.12,97000,11.750205
2015-10-02,12.02,12.12,11.98,12.10,153200,11.730816
2015-10-01,12.01,12.06,11.96,12.01,89200,11.643561
2015-09-30,12.01,12.08,11.95,12.02,197100,11.653257
2015-09-29,11.99,12.09,11.96,12.07,108300,11.70173
2015-09-28,11.97,11.98,11.93,11.98,90100,11.614476
2015-09-25,12.00,12.01,11.95,11.98,57200,11.614476
2015-09-24,11.98,12.01,11.96,12.00,86400,11.633866
2015-09-23,11.99,12.00,11.93,11.96,56000,11.595087
2015-09-22,11.94,12.01,11.93,11.97,66400,11.604782
2015-09-21,11.96,11.97,11.91,11.95,82600,11.585392
2015-09-18,11.83,12.03,11.83,11.91,147600,11.546612
2015-09-17,11.78,11.95,11.73,11.90,169900,11.536917
2015-09-16,11.80,11.83,11.71,11.75,151100,11.391494
2015-09-15,11.86,11.86,11.79,11.80,102700,11.439969
2015-09-14,11.95,11.97,11.85,11.85,89600,11.488443
2015-09-11,11.91,11.96,11.87,11.93,113700,11.566002
2015-09-10,11.94,11.95,11.87,11.91,108600,11.546612
2015-09-09,11.93,11.93,11.89,11.91,83900,11.546612
2015-09-08,11.96,12.03,11.92,11.97,118400,11.541766
2015-09-04,11.95,11.99,11.91,11.95,121600,11.522481
2015-09-03,11.89,11.96,11.88,11.95,53800,11.522481
2015-09-02,11.85,11.89,11.82,11.87,135800,11.445343
2015-09-01,11.89,11.89,11.80,11.82,82000,11.397131
2015-08-31,11.86,11.89,11.80,11.82,60700,11.397131
2015-08-28,11.85,11.90,11.76,11.81,68500,11.38749
2015-08-27,11.78,11.83,11.73,11.80,70900,11.377847
2015-08-26,11.86,11.86,11.70,11.73,123700,11.310351
2015-08-25,11.81,11.88,11.79,11.82,121900,11.397131
2015-08-24,11.97,11.98,11.75,11.78,183500,11.358562
2015-08-21,11.99,12.03,11.97,11.98,167800,11.551407
2015-08-20,11.95,12.01,11.95,11.99,51600,11.56105
2015-08-19,11.89,11.98,11.89,11.98,54900,11.551407
2015-08-18,11.94,11.95,11.89,11.89,96600,11.464628
2015-08-17,11.93,11.95,11.91,11.93,40100,11.503197
2015-08-14,12.05,12.05,11.90,11.94,193000,11.512838
2015-08-13,12.00,12.04,11.98,12.02,100900,11.589977
2015-08-12,12.00,12.03,11.96,12.02,63800,11.589977
2015-08-11,11.90,11.97,11.90,11.97,55400,11.541766
2015-08-10,11.97,11.98,11.93,11.97,74400,11.479091
2015-08-07,11.94,11.99,11.92,11.99,121200,11.49827
2015-08-06,11.80,11.89,11.78,11.86,65900,11.373602
