Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.73,12.74,12.70,12.73,19400,12.73
2016-03-10,12.74,12.74,12.71,12.73,7200,12.73
2016-03-09,12.77,12.77,12.71,12.73,10800,12.73
2016-03-08,12.80,12.84,12.74,12.80,9900,12.743
2016-03-07,12.67,12.72,12.65,12.72,9300,12.663357
2016-03-04,12.70,12.70,12.55,12.64,21900,12.583713
2016-03-03,12.65,12.75,12.63,12.66,26100,12.603623
2016-03-02,12.69,12.72,12.62,12.68,16800,12.623535
2016-03-01,12.65,12.73,12.64,12.68,29600,12.623535
2016-02-29,12.62,12.69,12.62,12.68,9800,12.623535
2016-02-26,12.70,12.70,12.58,12.58,17800,12.52398
2016-02-25,12.60,12.71,12.58,12.71,30900,12.653401
2016-02-24,12.60,12.63,12.56,12.63,27600,12.573757
2016-02-23,12.52,12.60,12.47,12.58,24200,12.52398
2016-02-22,12.53,12.53,12.49,12.53,15600,12.474202
2016-02-19,12.52,12.55,12.45,12.51,16500,12.454292
2016-02-18,12.44,12.52,12.40,12.47,16200,12.41447
2016-02-17,12.42,12.42,12.30,12.37,27200,12.314915
2016-02-16,12.41,12.43,12.32,12.39,15100,12.334826
2016-02-12,12.49,12.56,12.43,12.44,11100,12.384603
2016-02-11,12.50,12.56,12.45,12.50,16300,12.444336
2016-02-10,12.45,12.50,12.45,12.49,13900,12.43438
2016-02-09,12.29,12.43,12.27,12.43,26900,12.374648
2016-02-08,12.33,12.42,12.30,12.36,17700,12.248213
2016-02-05,12.46,12.46,12.31,12.34,21700,12.228394
2016-02-04,12.50,12.50,12.39,12.43,18700,12.317581
2016-02-03,12.50,12.50,12.43,12.48,23600,12.367128
2016-02-02,12.44,12.52,12.41,12.47,53700,12.357219
2016-02-01,12.25,12.42,12.20,12.42,43000,12.307671
2016-01-29,12.06,12.24,12.06,12.24,5500,12.129298
2016-01-28,12.08,12.11,12.01,12.11,23900,12.000474
2016-01-27,11.93,12.05,11.87,12.04,41300,11.931107
2016-01-26,11.78,11.88,11.78,11.86,30100,11.752735
2016-01-25,11.87,11.87,11.80,11.83,12500,11.723007
2016-01-22,11.89,11.92,11.79,11.84,20300,11.732916
2016-01-21,11.80,11.91,11.80,11.81,26500,11.703188
2016-01-20,11.81,11.94,11.67,11.75,25500,11.64373
2016-01-19,11.99,12.02,11.84,11.87,30900,11.762645
2016-01-15,11.84,11.96,11.84,11.96,27100,11.851831
2016-01-14,11.97,12.00,11.87,11.87,15400,11.762645
2016-01-13,12.06,12.09,11.91,11.92,13200,11.812193
2016-01-12,12.03,12.05,11.97,12.04,19800,11.931107
2016-01-11,12.10,12.10,12.03,12.04,9100,11.874623
