Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.20,13.23,13.03,13.08,24000,13.08
2016-03-10,13.24,13.26,13.13,13.19,10400,13.19
2016-03-09,13.17,13.23,13.17,13.21,14800,13.21
2016-03-08,13.30,13.30,13.21,13.24,8400,13.173999
2016-03-07,13.19,13.26,13.18,13.26,7100,13.1939
2016-03-04,13.30,13.30,13.18,13.18,26700,13.114299
2016-03-03,13.08,13.19,13.08,13.19,21300,13.124249
2016-03-02,13.20,13.23,13.01,13.08,38100,13.014797
2016-03-01,13.18,13.27,13.10,13.21,38300,13.144149
2016-02-29,13.19,13.20,13.16,13.18,36600,13.114299
2016-02-26,13.32,13.32,13.15,13.16,9100,13.094398
2016-02-25,13.26,13.32,13.23,13.31,24700,13.243651
2016-02-24,13.28,13.30,13.23,13.24,16600,13.173999
2016-02-23,13.20,13.30,13.19,13.30,28700,13.233701
2016-02-22,13.22,13.26,13.15,13.23,26200,13.164049
2016-02-19,13.13,13.23,13.13,13.23,7100,13.164049
2016-02-18,13.06,13.13,13.06,13.13,24500,13.064548
2016-02-17,13.21,13.21,13.00,13.06,43300,12.994897
2016-02-16,13.20,13.21,13.11,13.17,33800,13.104349
2016-02-12,13.23,13.32,13.23,13.26,31900,13.1939
2016-02-11,13.23,13.25,13.20,13.24,44200,13.173999
2016-02-10,13.15,13.22,13.08,13.21,22500,13.144149
2016-02-09,13.00,13.14,13.00,13.10,25400,13.034698
2016-02-08,13.07,13.16,13.03,13.15,9700,13.018777
2016-02-05,13.17,13.24,13.00,13.01,30500,12.880175
2016-02-04,13.19,13.19,13.07,13.07,20700,12.939576
2016-02-03,13.07,13.28,13.02,13.19,28200,13.058378
2016-02-02,13.05,13.22,13.01,13.02,28900,12.890075
2016-02-01,13.01,13.16,13.01,13.07,40100,12.939576
2016-01-29,12.92,13.28,12.86,13.08,39700,12.949476
2016-01-28,12.75,12.90,12.72,12.87,11200,12.741572
2016-01-27,12.77,12.77,12.70,12.71,8900,12.583168
2016-01-26,12.71,12.76,12.67,12.76,17800,12.63267
2016-01-25,12.65,12.71,12.59,12.66,14500,12.533667
2016-01-22,12.47,12.65,12.42,12.62,19700,12.494066
2016-01-21,12.51,12.53,12.38,12.44,36800,12.315862
2016-01-20,12.66,12.66,12.40,12.51,31400,12.385164
2016-01-19,12.60,12.70,12.53,12.57,23700,12.444565
2016-01-15,12.30,12.60,12.30,12.57,37400,12.444565
2016-01-14,12.57,12.57,12.47,12.55,19300,12.424765
2016-01-13,12.65,12.65,12.54,12.61,27100,12.484166
2016-01-12,12.61,12.65,12.58,12.62,15700,12.494066
2016-01-11,12.74,12.74,12.63,12.69,28100,12.498026
2016-01-08,12.74,12.77,12.70,12.77,35600,12.576816
2016-01-07,12.54,12.78,12.51,12.73,50600,12.537421
2016-01-06,12.63,12.63,12.40,12.59,19000,12.399539
2016-01-05,12.44,12.55,12.44,12.54,57600,12.350295
2016-01-04,12.37,12.45,12.35,12.39,23600,12.202565
2015-12-31,12.35,12.41,12.31,12.35,18000,12.16317
