Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,59.220001,60.139999,59.220001,60.130001,24900,60.130001
2016-03-10,59.18,59.66,58.450001,58.84,93300,58.84
2016-03-09,58.68,58.82,58.400002,58.82,96600,58.82
2016-03-08,58.580002,58.709999,58.25,58.299999,63600,58.299999
2016-03-07,58.139999,59.110001,57.849998,58.84,42200,58.84
2016-03-04,58.369999,58.619999,58.110001,58.259998,36400,58.259998
2016-03-03,58.259998,58.310001,57.799999,58.25,77700,58.25
2016-03-02,58.349998,58.720001,58.279999,58.68,36300,58.68
2016-03-01,57.889999,58.48,57.50,58.43,38700,58.43
2016-02-29,58.560001,58.560001,57.349998,57.41,46500,57.41
2016-02-26,59.509998,59.66,58.93,58.93,17000,58.93
2016-02-25,58.610001,59.34,58.560001,59.34,16700,59.34
2016-02-24,57.57,58.41,57.09,58.349998,68400,58.349998
2016-02-23,58.369999,58.759998,58.119999,58.130001,39500,58.130001
2016-02-22,58.549999,58.66,58.130001,58.43,33100,58.43
2016-02-19,58.099998,58.360001,57.889999,58.189999,137000,58.189999
2016-02-18,58.959999,59.009998,58.32,58.419998,1660900,58.419998
2016-02-17,58.279999,59.099998,58.279999,59.029999,109000,59.029999
2016-02-16,57.709999,57.959999,57.32,57.959999,53400,57.959999
2016-02-12,56.540001,57.060001,56.169998,57.060001,33800,57.060001
2016-02-11,56.52,56.580002,55.689999,56.220001,204200,56.220001
2016-02-10,57.50,58.169998,57.049999,57.209999,116200,57.209999
2016-02-09,56.389999,57.549999,56.389999,57.07,80700,57.07
2016-02-08,57.290001,57.380001,56.389999,57.080002,50900,57.080002
2016-02-05,58.639999,58.66,58.02,58.169998,69300,58.169998
2016-02-04,59.110001,59.619999,58.490002,58.919998,160300,58.919998
2016-02-03,59.75,59.869999,58.509998,59.669998,76500,59.669998
2016-02-02,60.00,60.400002,59.349998,59.610001,249000,59.610001
2016-02-01,60.509998,60.759998,59.549999,60.549999,37500,60.549999
2016-01-29,59.529999,60.389999,59.529999,60.23,36600,60.23
2016-01-28,61.189999,61.189999,59.00,59.360001,102300,59.360001
2016-01-27,61.709999,62.080002,60.599998,60.939999,29500,60.939999
2016-01-26,61.509998,62.049999,61.139999,61.959999,26500,61.959999
2016-01-25,61.299999,61.98,61.200001,61.259998,77200,61.259998
2016-01-22,61.52,61.77,61.259998,61.470001,61100,61.470001
2016-01-21,60.52,61.060001,59.82,60.59,89900,60.59
2016-01-20,59.650002,61.07,58.790001,60.50,133700,60.50
2016-01-19,61.220001,61.330002,59.98,60.560001,58900,60.560001
2016-01-15,59.639999,60.349998,59.380001,60.27,30400,60.27
2016-01-14,59.950001,61.490002,59.48,61.27,100200,61.27
2016-01-13,61.450001,61.529999,59.619999,59.73,77900,59.73
2016-01-12,61.139999,61.349998,60.23,61.110001,124500,61.110001
2016-01-11,61.59,61.59,59.639999,60.48,422700,60.48
2016-01-08,63.130001,63.130001,61.360001,61.50,44900,61.50
2016-01-07,62.84,63.43,62.549999,62.700001,29600,62.700001
2016-01-06,63.630001,64.43,63.23,63.98,25700,63.98
2016-01-05,64.309998,64.779999,64.040001,64.650002,24400,64.650002
2016-01-04,63.700001,64.309998,63.549999,64.150002,217700,64.150002
2015-12-31,65.690002,65.800003,65.279999,65.309998,58500,65.309998
2015-12-30,66.139999,66.43,65.989998,66.050003,1036200,66.050003
2015-12-29,65.980003,66.25,65.860001,66.160004,43700,66.160004
2015-12-28,65.82,65.889999,65.550003,65.709999,22800,65.505998
2015-12-24,66.169998,66.279999,66.099998,66.150002,7200,65.944634
2015-12-23,65.730003,66.279999,65.730003,66.220001,38300,66.014417
2015-12-22,64.93,65.379997,64.800003,65.330002,22200,65.12718
2015-12-21,65.00,65.120003,64.389999,64.75,58800,64.548979
2015-12-18,64.839996,65.00,64.449997,64.449997,52600,64.249908
2015-12-17,66.019997,66.019997,65.120003,65.120003,52100,64.917833
2015-12-16,65.489998,66.129997,65.089996,66.029999,72700,65.825004
2015-12-15,64.669998,65.260002,64.669998,64.959999,32400,64.758326
2015-12-14,63.799999,64.010002,63.09,64.010002,72800,63.811279
2015-12-11,64.239998,64.25,63.650002,63.77,65800,63.572022
2015-12-10,64.419998,65.019997,64.32,64.699997,106800,64.499131
2015-12-09,64.760002,65.150002,63.970001,64.269997,138500,64.070466
2015-12-08,64.610001,65.110001,64.589996,64.910004,263800,64.708486
2015-12-07,65.620003,65.639999,64.849998,65.139999,104500,64.937768
2015-12-04,64.410004,65.489998,64.330002,65.410004,188600,65.206934
2015-12-03,65.459999,65.459999,63.869999,64.129997,289500,63.930901
2015-12-02,66.019997,66.300003,65.00,65.139999,491000,64.937768
2015-12-01,65.150002,65.959999,64.919998,65.93,160000,65.725316
2015-11-30,65.25,65.25,64.660004,64.720001,46800,64.519074
2015-11-27,65.269997,65.389999,65.199997,65.199997,16200,64.997579
2015-11-25,64.830002,65.309998,64.830002,65.139999,16500,64.937768
2015-11-24,64.269997,64.809998,64.230003,64.760002,108800,64.55895
2015-11-23,65.150002,65.389999,64.589996,64.769997,302100,64.568914
2015-11-20,65.169998,65.550003,65.169998,65.300003,13600,65.097275
2015-11-19,65.059998,65.260002,64.699997,64.889999,9700,64.688544
2015-11-18,64.239998,65.099998,64.139999,65.059998,38900,64.858014
2015-11-17,63.669998,64.459999,63.669998,63.900002,16200,63.70162
2015-11-16,62.82,63.470001,62.790001,63.360001,30700,63.163295
2015-11-13,62.50,63.099998,62.50,62.75,13600,62.555188
2015-11-12,63.509998,63.740002,62.790001,62.799999,24700,62.605032
2015-11-11,64.68,64.68,63.93,63.939999,25400,63.741493
2015-11-10,63.880001,64.449997,63.779999,64.370003,19900,64.170162
2015-11-09,64.410004,64.459999,63.700001,64.07,36700,63.87109
2015-11-06,64.660004,64.900002,64.080002,64.800003,57800,64.598827
2015-11-05,65.93,65.940002,64.739998,65.18,53000,64.977645
2015-11-04,65.970001,66.019997,65.260002,65.50,38200,65.296651
2015-11-03,65.760002,65.889999,65.330002,65.760002,91200,65.555846
2015-11-02,65.150002,65.919998,65.150002,65.830002,65300,65.625628
2015-10-30,65.550003,65.650002,64.860001,64.879997,60700,64.678573
2015-10-29,65.279999,66.00,65.120003,65.269997,85200,65.067362
2015-10-28,64.889999,65.57,64.550003,65.57,49900,65.366433
2015-10-27,63.990002,64.540001,63.990002,64.339996,28800,64.140248
2015-10-26,63.259998,64.120003,63.07,63.700001,61600,63.50224
2015-10-23,62.470001,64.050003,61.700001,63.580002,153400,63.382613
2015-10-22,62.330002,62.330002,61.029999,61.860001,517600,61.667952
2015-10-21,63.73,63.73,60.970001,62.369999,553200,62.176367
2015-10-20,65.00,65.00,63.290001,63.529999,82000,63.332766
2015-10-19,65.300003,65.510002,64.639999,65.230003,23700,65.027492
2015-10-16,64.790001,65.610001,64.790001,65.589996,92300,65.386368
2015-10-15,63.09,64.599998,62.939999,64.589996,131000,64.389472
2015-10-14,63.25,63.810001,63.00,63.330002,60400,63.13339
2015-10-13,63.57,64.220001,62.810001,62.880001,40800,62.684786
2015-10-12,63.720001,64.120003,63.330002,64.019997,45500,63.821242
2015-10-09,63.860001,64.269997,63.75,64.089996,43700,63.891025
2015-10-08,63.290001,63.970001,62.349998,63.849998,40200,63.651772
2015-10-07,63.080002,63.810001,62.549999,63.389999,350500,63.193201
2015-10-06,64.339996,64.349998,62.349998,63.209999,98200,63.013759
2015-10-05,64.82,64.93,63.860001,64.339996,65000,64.140248
2015-10-02,62.540001,64.470001,62.32,64.470001,53000,64.26985
2015-10-01,62.919998,63.32,62.310001,63.259998,45200,63.063603
2015-09-30,62.439999,63.049999,62.040001,62.970001,101600,62.491391
2015-09-29,61.459999,62.389999,60.669998,61.310001,215100,60.844008
2015-09-28,64.110001,64.110001,60.990002,61.490002,147900,61.02264
2015-09-25,66.419998,66.419998,63.68,64.190002,34400,63.70212
2015-09-24,65.75,65.900002,64.849998,65.610001,109000,65.111325
2015-09-23,66.330002,66.529999,65.959999,66.080002,25500,65.577754
2015-09-22,66.370003,66.410004,65.629997,66.260002,215100,65.756386
2015-09-21,68.910004,69.059998,67.00,67.330002,88800,66.818253
2015-09-18,68.559998,68.93,68.370003,68.470001,23700,67.949588
2015-09-17,68.349998,70.010002,68.349998,69.160004,107400,68.634346
2015-09-16,68.220001,68.669998,67.910004,68.550003,125000,68.028982
2015-09-15,67.290001,68.089996,67.269997,68.07,99300,67.552626
2015-09-14,67.339996,67.349998,66.959999,67.209999,24900,66.699162
2015-09-11,66.910004,67.470001,66.800003,67.470001,13700,66.957188
2015-09-10,66.760002,67.660004,66.739998,67.209999,18900,66.699162
2015-09-09,68.510002,68.550003,66.669998,66.68,32400,66.173192
2015-09-08,67.480003,67.849998,67.139999,67.849998,26700,67.334297
2015-09-04,66.349998,66.75,65.720001,66.330002,36700,65.825854
2015-09-03,67.949997,68.239998,66.949997,67.139999,53400,66.629695
2015-09-02,67.169998,67.529999,66.669998,67.529999,35700,67.01673
2015-09-01,67.349998,67.349998,65.43,66.349998,114600,65.845698
2015-08-31,68.82,69.190002,67.889999,68.029999,47100,67.51293
2015-08-28,68.910004,69.050003,68.580002,68.980003,14600,68.455714
2015-08-27,69.459999,69.790001,68.220001,69.290001,42900,68.763355
2015-08-26,66.410004,67.980003,65.830002,67.949997,147900,67.433536
2015-08-25,69.889999,69.889999,65.639999,65.639999,206100,65.141096
2015-08-24,68.629997,68.629997,45.23,66.540001,160700,66.034257
2015-08-21,70.400002,70.839996,69.010002,69.010002,104000,68.485484
2015-08-20,72.400002,72.440002,71.099998,71.120003,36400,70.579448
2015-08-19,72.660004,73.230003,72.32,72.769997,24600,72.216901
2015-08-18,73.160004,73.43,73.040001,73.129997,21000,72.574165
2015-08-17,72.459999,73.239998,72.150002,73.239998,21500,72.68333
2015-08-14,72.440002,72.75,72.099998,72.660004,22300,72.107744
2015-08-13,72.489998,72.830002,72.339996,72.50,51800,71.948956
2015-08-12,72.309998,72.599998,71.510002,72.519997,36900,71.968801
2015-08-11,72.989998,73.089996,72.080002,72.800003,36200,72.246679
2015-08-10,73.110001,73.559998,73.110001,73.389999,21700,72.832191
2015-08-07,72.75,72.830002,71.959999,72.830002,26500,72.27645
2015-08-06,74.379997,74.470001,72.809998,72.889999,80400,72.335991
2015-08-05,74.349998,74.449997,74.190002,74.330002,41100,73.765049
2015-08-04,74.379997,74.389999,73.790001,73.940002,14900,73.378014
2015-08-03,74.419998,74.57,73.900002,74.260002,26800,73.695581
2015-07-31,74.089996,74.370003,73.93,74.190002,39100,73.626114
2015-07-30,74.059998,74.059998,73.470001,73.690002,25300,73.129914
2015-07-29,74.190002,74.419998,74.07,74.18,39100,73.616187
2015-07-28,73.50,73.980003,73.07,73.940002,90300,73.378014
2015-07-27,73.00,73.190002,72.800003,73.190002,69200,72.633714
2015-07-24,73.610001,73.629997,72.529999,72.690002,61700,72.137514
2015-07-23,73.989998,74.029999,73.620003,73.769997,20600,73.2093
2015-07-22,73.449997,73.730003,73.199997,73.730003,18500,73.169611
2015-07-21,74.120003,74.169998,73.57,73.690002,30100,73.129914
2015-07-20,74.209999,74.330002,74.059998,74.199997,73300,73.636032
2015-07-17,73.980003,73.980003,73.660004,73.860001,32800,73.29862
2015-07-16,74.120003,74.120003,73.980003,74.040001,76000,73.477252
2015-07-15,74.129997,74.150002,73.489998,73.639999,43200,73.080291
2015-07-14,73.720001,74.120003,73.610001,74.07,143500,73.507023
2015-07-13,73.510002,74.970001,73.269997,73.470001,32800,72.911585
2015-07-10,72.610001,72.870003,72.489998,72.790001,18000,72.236753
2015-07-09,71.32,71.82,71.220001,71.379997,30400,70.837466
2015-07-08,71.25,71.25,70.610001,70.610001,28200,70.073322
2015-07-07,71.309998,71.650002,70.470001,71.599998,52200,71.055795
2015-07-06,70.870003,71.559998,70.510002,71.239998,27100,70.698531
2015-07-02,71.650002,71.650002,71.269997,71.519997,32500,70.976401
2015-07-01,71.169998,72.260002,71.00,71.419998,132600,70.877163
2015-06-30,71.449997,71.709999,70.440002,70.75,123100,69.937362
2015-06-29,71.809998,71.900002,70.68,70.75,60900,69.937362
2015-06-26,72.760002,72.93,72.169998,72.400002,112400,71.568411
2015-06-25,72.720001,73.18,72.419998,73.169998,25200,72.329564
2015-06-24,73.00,73.110001,72.519997,72.529999,40500,71.696915
2015-06-23,73.120003,73.449997,73.040001,73.199997,30500,72.359218
2015-06-22,72.970001,73.349998,72.940002,73.050003,174000,72.210947
2015-06-19,72.540001,72.669998,72.239998,72.239998,13200,71.410245
2015-06-18,72.010002,72.970001,72.010002,72.690002,33400,71.855081
2015-06-17,71.970001,72.080002,71.629997,71.910004,32000,71.084042
2015-06-16,71.730003,71.970001,71.639999,71.959999,38700,71.133463
2015-06-15,71.589996,71.790001,71.32,71.720001,25600,70.896221
2015-06-12,72.739998,72.739998,72.139999,72.260002,193000,71.43002
2015-06-11,72.830002,73.849998,72.699997,73.050003,26700,72.210947
2015-06-10,72.18,72.669998,72.099998,72.599998,31800,71.766111
2015-06-09,71.660004,71.82,71.389999,71.809998,49500,70.985184
2015-06-08,72.129997,72.190002,71.809998,71.82,33000,70.995071
2015-06-05,72.379997,72.379997,71.830002,72.290001,35800,71.459674
2015-06-04,72.900002,73.309998,72.449997,72.599998,48800,71.766111
2015-06-03,73.150002,73.239998,73.010002,73.150002,37500,72.309797
2015-06-02,73.029999,73.220001,72.610001,72.900002,42000,72.062668
2015-06-01,73.269997,73.32,72.879997,73.099998,37500,72.260368
2015-05-29,73.419998,73.580002,72.779999,72.949997,47200,72.112089
2015-05-28,73.18,73.57,73.160004,73.559998,94700,72.715083
2015-05-27,72.639999,73.330002,72.639999,73.269997,49400,72.428414
2015-05-26,72.800003,72.879997,72.239998,72.370003,176200,71.538757
