Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,6.97,7.04,6.92,6.94,2613500,6.94
2016-03-10,7.12,7.13,6.83,6.90,3698100,6.90
2016-03-09,7.15,7.20,6.95,7.07,2003900,7.07
2016-03-08,7.37,7.37,7.10,7.12,2985600,7.12
2016-03-07,7.30,7.50,7.28,7.40,1661200,7.40
2016-03-04,7.47,7.57,7.32,7.34,3152500,7.34
2016-03-03,7.45,7.56,7.33,7.48,3491800,7.48
2016-03-02,7.29,7.51,7.26,7.44,3645200,7.44
2016-03-01,7.22,7.37,7.20,7.28,4133200,7.28
2016-02-29,7.05,7.27,7.04,7.20,4067400,7.20
2016-02-26,6.91,7.08,6.84,7.02,3957700,7.02
2016-02-25,7.00,7.09,6.85,6.88,3888600,6.88
2016-02-24,6.99,7.10,6.76,7.06,3030700,6.977
2016-02-23,6.93,7.05,6.88,7.00,2851300,6.917705
2016-02-22,6.99,7.00,6.77,6.95,4761900,6.868293
2016-02-19,6.74,6.97,6.70,6.83,4414900,6.749704
2016-02-18,6.82,6.85,6.71,6.81,5431300,6.729939
2016-02-17,6.46,6.89,6.46,6.59,5721300,6.512526
2016-02-16,6.25,6.46,6.24,6.38,4235400,6.304995
2016-02-12,6.00,6.24,5.95,6.17,5456700,6.097463
2016-02-11,5.60,5.95,5.50,5.90,7117400,5.830638
2016-02-10,5.87,5.99,5.69,5.82,8228400,5.751578
2016-02-09,5.62,5.65,5.21,5.26,9697500,5.198162
2016-02-08,5.89,5.93,5.53,5.68,8269400,5.613224
2016-02-05,6.10,6.11,5.97,5.99,3161400,5.919579
2016-02-04,6.01,6.15,6.01,6.10,1865200,6.028286
2016-02-03,6.05,6.10,5.91,6.06,2038700,5.988756
2016-02-02,6.06,6.07,5.96,6.03,2328100,5.959109
2016-02-01,6.05,6.19,5.95,6.13,3040300,6.057934
2016-01-29,6.06,6.16,6.04,6.07,2310200,5.998639
2016-01-28,6.14,6.21,6.02,6.05,2149400,5.978874
2016-01-27,6.11,6.22,6.01,6.06,2760700,5.988756
2016-01-26,6.08,6.24,6.03,6.23,1986200,6.074734
2016-01-25,6.27,6.30,6.00,6.01,3786000,5.860217
2016-01-22,6.14,6.39,6.11,6.28,4732400,6.123488
2016-01-21,5.90,6.21,5.87,5.99,4669000,5.840715
