Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.47,9.91,8.62,8.96,65900,8.96
2016-03-10,11.87,12.80,9.40,9.54,245700,9.54
2016-03-09,8.30,13.99,8.30,11.75,357500,11.75
2016-03-08,7.38,8.49,6.75,8.32,90400,8.32
2016-03-07,5.94,8.13,5.90,7.24,231500,7.24
2016-03-04,5.66,5.799,5.53,5.56,23900,5.56
2016-03-03,5.72,5.72,5.35,5.55,28500,5.55
2016-03-02,5.80,5.80,5.45,5.66,79700,5.66
2016-03-01,6.00,6.30,5.70,5.85,232100,5.85
2016-02-29,6.10,6.45,5.91,6.00,60600,6.00
2016-02-26,6.02,6.475,5.78,6.08,60700,6.08
2016-02-25,6.29,6.35,6.00,6.00,13000,6.00
2016-02-24,6.16,6.30,5.70,6.115,181600,6.115
2016-02-23,6.50,6.50,6.17,6.50,11700,6.50
2016-02-22,6.10,6.72,5.63,6.38,261500,6.38
2016-02-19,5.75,6.255,5.67,5.92,211800,5.92
2016-02-18,5.55,5.948,5.55,5.65,9500,5.65
2016-02-17,5.69,5.75,5.55,5.75,77800,5.75
2016-02-16,5.93,5.98,5.65,5.75,273800,5.75
2016-02-12,6.55,6.55,5.85,6.18,191600,6.18
2016-02-11,8.00,8.00,5.27,6.64,2110500,6.64
