Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.23,13.51,13.23,13.49,209200,13.49
2016-03-10,13.37,13.40,13.17,13.19,200900,13.19
2016-03-09,13.50,13.51,13.30,13.30,284600,13.30
2016-03-08,13.63,13.63,13.50,13.52,149300,13.390001
2016-03-07,13.67,13.67,13.56,13.62,210700,13.489039
2016-03-04,13.49,13.69,13.46,13.67,295700,13.538558
2016-03-03,13.17,13.49,13.15,13.47,229500,13.340481
2016-03-02,13.09,13.18,13.04,13.16,237100,13.033462
2016-03-01,12.96,13.10,12.88,13.05,239800,12.92452
2016-02-29,12.95,12.96,12.91,12.95,128100,12.825481
2016-02-26,12.95,12.99,12.88,12.95,122500,12.825481
2016-02-25,12.79,12.94,12.71,12.93,129700,12.805674
2016-02-24,12.64,12.70,12.59,12.69,92400,12.567981
2016-02-23,12.61,12.73,12.54,12.66,129300,12.538269
2016-02-22,12.66,12.69,12.56,12.68,224200,12.558078
2016-02-19,12.59,12.66,12.49,12.60,111600,12.478847
2016-02-18,12.68,12.68,12.53,12.60,144100,12.478847
2016-02-17,12.38,12.69,12.28,12.69,286700,12.567981
2016-02-16,12.21,12.39,12.12,12.35,217100,12.231251
2016-02-12,12.08,12.23,12.00,12.17,280300,12.052981
2016-02-11,12.14,12.20,11.97,12.03,381000,11.914327
2016-02-10,12.42,12.44,12.30,12.30,178100,12.181731
2016-02-09,12.38,12.51,12.31,12.41,219400,12.290673
2016-02-08,12.73,12.81,12.55,12.58,335400,12.330288
2016-02-05,13.20,13.24,12.89,12.95,238400,12.692944
2016-02-04,13.18,13.22,13.09,13.16,154900,12.898775
2016-02-03,13.18,13.24,13.05,13.15,216100,12.888973
2016-02-02,13.19,13.29,13.08,13.18,312000,12.918379
2016-02-01,13.14,13.22,13.06,13.22,195900,12.957585
2016-01-29,13.15,13.32,13.04,13.10,196500,12.839967
2016-01-28,13.08,13.22,12.95,13.15,176500,12.888973
2016-01-27,12.90,13.09,12.84,12.97,263700,12.712547
2016-01-26,12.57,12.87,12.57,12.87,282800,12.614532
2016-01-25,12.46,12.59,12.43,12.52,142200,12.27148
2016-01-22,12.27,12.57,12.26,12.49,302700,12.242075
2016-01-21,12.11,12.32,12.05,12.16,295000,11.918625
2016-01-20,12.15,12.23,11.81,12.14,499400,11.899023
2016-01-19,12.50,12.60,12.22,12.31,452200,12.065648
2016-01-15,12.53,12.57,12.27,12.51,417300,12.261678
2016-01-14,12.77,12.85,12.61,12.69,407800,12.438104
2016-01-13,13.11,13.18,12.73,12.77,322800,12.516517
2016-01-12,13.12,13.22,13.01,13.08,161400,12.820363
2016-01-11,13.33,13.34,13.12,13.22,288900,12.830165
2016-01-08,13.48,13.53,13.25,13.27,217800,12.878691
2016-01-07,13.61,13.71,13.35,13.38,284700,12.985447
2016-01-06,13.55,13.89,13.52,13.75,537600,13.344536
2016-01-05,13.81,13.85,13.57,13.72,799600,13.315421
2016-01-04,13.22,13.80,13.16,13.77,790700,13.363947
2015-12-31,13.22,13.39,13.16,13.34,395100,12.946627
2015-12-30,13.30,13.35,13.19,13.22,320500,12.830165
2015-12-29,13.41,13.42,13.16,13.30,409900,12.907806
2015-12-28,13.32,13.37,13.15,13.30,404100,12.907806
2015-12-24,13.35,13.42,13.35,13.35,93200,12.956332
2015-12-23,13.56,13.58,13.35,13.37,277800,12.975742
2015-12-22,13.46,13.54,13.31,13.50,358600,13.101908
2015-12-21,13.45,13.50,13.40,13.45,357100,13.053383
2015-12-18,13.23,13.43,13.23,13.35,266100,12.956332
2015-12-17,13.20,13.38,13.06,13.35,293800,12.956332
2015-12-16,13.11,13.43,13.07,13.20,450200,12.781639
2015-12-15,12.95,13.26,12.94,13.01,316700,12.597661
2015-12-14,13.18,13.25,12.80,12.89,824000,12.481465
2015-12-11,13.54,13.55,13.24,13.29,585100,12.868787
2015-12-10,13.85,13.85,13.58,13.65,181600,13.217377
2015-12-09,13.81,13.94,13.73,13.84,257300,13.401355
2015-12-08,13.78,13.95,13.71,13.95,248300,13.381989
2015-12-07,13.86,14.03,13.76,13.94,321100,13.372396
2015-12-04,13.84,14.00,13.77,13.98,155300,13.410767
2015-12-03,13.94,13.94,13.72,13.80,213000,13.238097
2015-12-02,13.95,14.04,13.91,13.96,249200,13.391582
2015-12-01,13.93,14.00,13.85,13.94,233600,13.372396
2015-11-30,13.83,13.88,13.79,13.88,186100,13.31484
2015-11-27,13.80,13.85,13.75,13.81,66400,13.24769
2015-11-25,13.81,13.85,13.63,13.80,157900,13.238097
2015-11-24,13.73,13.83,13.71,13.78,109500,13.218911
2015-11-23,13.76,13.84,13.71,13.74,187100,13.18054
2015-11-20,13.81,13.93,13.69,13.70,205000,13.142169
2015-11-19,13.70,13.84,13.68,13.80,167500,13.238097
2015-11-18,13.71,13.95,13.60,13.75,209700,13.190133
2015-11-17,13.72,13.72,13.57,13.68,202500,13.122984
2015-11-16,13.54,13.65,13.40,13.64,185400,13.084612
2015-11-13,13.64,13.77,13.45,13.52,244600,12.969498
2015-11-12,13.78,13.79,13.55,13.60,287200,13.046241
2015-11-11,13.93,13.95,13.82,13.84,116300,13.276469
2015-11-10,13.90,14.00,13.86,13.90,190600,13.334025
2015-11-09,14.12,14.12,13.91,13.92,204500,13.353211
2015-11-06,14.23,14.27,14.15,14.22,271000,13.516289
2015-11-05,14.22,14.34,14.19,14.28,218900,13.57332
2015-11-04,14.30,14.30,14.20,14.29,201500,13.582825
2015-11-03,14.19,14.32,14.18,14.31,326800,13.601836
2015-11-02,14.15,14.25,14.13,14.24,246200,13.535299
2015-10-30,14.11,14.12,14.05,14.07,122500,13.373712
2015-10-29,14.11,14.14,14.02,14.05,158100,13.354702
2015-10-28,14.19,14.19,14.12,14.12,147800,13.421238
2015-10-27,14.14,14.15,14.05,14.10,177800,13.402228
2015-10-26,14.10,14.20,14.06,14.17,232600,13.468763
2015-10-23,14.06,14.19,14.05,14.05,257500,13.354702
2015-10-22,13.97,14.03,13.95,14.00,102800,13.307176
2015-10-21,13.97,14.03,13.86,13.89,129600,13.20262
2015-10-20,14.08,14.30,13.81,13.97,342300,13.278661
2015-10-19,14.10,14.11,14.03,14.10,174500,13.402228
2015-10-16,13.94,14.10,13.86,14.08,151600,13.383217
2015-10-15,13.80,13.95,13.74,13.94,166600,13.250145
2015-10-14,13.95,14.00,13.73,13.81,130900,13.126579
2015-10-13,13.93,14.05,13.92,13.93,190200,13.240641
2015-10-12,13.90,13.95,13.87,13.93,165200,13.240641
2015-10-09,13.91,13.93,13.81,13.87,158700,13.183609
2015-10-08,13.74,13.88,13.53,13.85,256700,13.1646
2015-10-07,13.56,13.72,13.45,13.71,188700,13.031528
2015-10-06,13.59,13.78,13.55,13.68,195800,12.879446
2015-10-05,13.31,13.65,13.31,13.55,316900,12.757053
2015-10-02,13.01,13.29,13.01,13.27,335600,12.493439
2015-10-01,13.25,13.26,12.97,13.10,176800,12.333387
2015-09-30,12.98,13.30,12.91,13.30,293400,12.521683
2015-09-29,13.08,13.15,12.89,12.94,331700,12.18275
2015-09-28,13.30,13.37,13.09,13.12,242100,12.352216
2015-09-25,13.34,13.40,13.24,13.32,172000,12.540512
2015-09-24,13.31,13.36,13.19,13.31,189000,12.531098
2015-09-23,13.35,13.46,13.30,13.39,162200,12.606416
2015-09-22,13.27,13.40,13.20,13.40,212000,12.615831
2015-09-21,13.47,13.55,13.32,13.32,205500,12.540512
2015-09-18,13.20,13.48,13.17,13.47,293400,12.681735
2015-09-17,13.03,13.29,12.98,13.24,242400,12.465194
2015-09-16,12.95,13.07,12.91,13.02,298800,12.258069
