Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,8.70,8.73,8.65,8.69,95600,8.69
2016-03-10,8.80,8.89,8.62,8.63,127400,8.63
2016-03-09,8.64,8.80,8.62,8.77,94200,8.77
2016-03-08,8.70,8.75,8.70,8.74,130400,8.66
2016-03-07,8.72,8.77,8.70,8.70,129900,8.620366
2016-03-04,8.67,8.71,8.65,8.70,70800,8.620366
2016-03-03,8.65,8.69,8.54,8.65,106700,8.570824
2016-03-02,8.58,8.71,8.47,8.71,104500,8.630275
2016-03-01,8.43,8.58,8.40,8.58,153000,8.501465
2016-02-29,8.30,8.43,8.28,8.34,112600,8.263662
2016-02-26,8.40,8.40,8.29,8.30,100000,8.224028
2016-02-25,8.30,8.36,8.25,8.33,108200,8.253753
2016-02-24,8.19,8.34,8.15,8.30,111900,8.224028
2016-02-23,8.22,8.26,8.13,8.21,117900,8.134851
2016-02-22,8.28,8.33,8.24,8.27,117300,8.194303
2016-02-19,8.23,8.32,8.20,8.24,157500,8.164577
2016-02-18,8.20,8.27,8.19,8.22,45200,8.14476
2016-02-17,8.20,8.26,8.16,8.21,220000,8.134851
2016-02-16,8.17,8.30,8.15,8.27,101700,8.194303
2016-02-12,8.21,8.31,8.17,8.17,96000,8.095218
2016-02-11,8.25,8.37,8.20,8.21,171900,8.134851
2016-02-10,8.31,8.36,8.30,8.35,69800,8.27357
2016-02-09,8.33,8.44,8.31,8.31,87600,8.233936
2016-02-08,8.57,8.57,8.45,8.50,115500,8.342929
2016-02-05,8.50,8.60,8.50,8.58,55500,8.421451
2016-02-04,8.47,8.60,8.47,8.51,75800,8.352745
2016-02-03,8.52,8.55,8.45,8.50,83400,8.342929
2016-02-02,8.65,8.65,8.52,8.52,139400,8.36256
2016-02-01,8.66,8.71,8.52,8.62,125800,8.460712
2016-01-29,8.65,8.65,8.56,8.61,112900,8.450896
2016-01-28,8.36,8.62,8.34,8.60,140500,8.441082
2016-01-27,8.33,8.38,8.27,8.32,102300,8.166255
2016-01-26,8.32,8.43,8.29,8.36,121200,8.205516
2016-01-25,8.26,8.30,8.25,8.27,103400,8.11718
2016-01-22,8.20,8.32,8.07,8.30,160000,8.146625
2016-01-21,8.08,8.28,7.97,8.04,331500,7.891429
2016-01-20,8.37,8.38,8.00,8.12,511400,7.969951
2016-01-19,8.65,8.74,8.45,8.48,190500,8.323298
2016-01-15,8.53,8.63,8.48,8.59,127200,8.431266
2016-01-14,8.75,8.78,8.61,8.64,228000,8.480342
2016-01-13,8.89,8.92,8.66,8.78,200100,8.617755
2016-01-12,8.90,8.96,8.79,8.85,97600,8.686462
2016-01-11,9.05,9.09,8.87,8.93,165100,8.686462
2016-01-08,8.96,9.18,8.90,8.99,124400,8.744825
2016-01-07,9.17,9.18,8.85,8.89,237900,8.647553
2016-01-06,9.15,9.25,9.12,9.20,130300,8.949098
2016-01-05,8.98,9.18,8.98,9.16,130400,8.910189
2016-01-04,8.98,9.05,8.83,9.02,194300,8.774008
2015-12-31,8.86,8.96,8.82,8.95,190800,8.705916
2015-12-30,8.98,8.98,8.89,8.90,87800,8.657279
2015-12-29,9.00,9.00,8.91,8.97,105200,8.725371
2015-12-28,8.93,9.03,8.92,8.96,129800,8.715644
2015-12-24,9.02,9.07,9.00,9.00,57900,8.754553
2015-12-23,9.00,9.09,8.96,9.02,108800,8.774008
2015-12-22,9.10,9.14,8.86,9.00,181800,8.754553
2015-12-21,9.17,9.19,9.06,9.09,99800,8.842098
2015-12-18,9.03,9.13,9.03,9.11,117000,8.861552
2015-12-17,9.00,9.06,8.94,9.03,85200,8.783734
2015-12-16,8.92,9.04,8.78,9.00,199000,8.715643
2015-12-15,8.80,8.92,8.76,8.85,137800,8.570383
2015-12-14,8.77,8.80,8.60,8.76,468100,8.483227
2015-12-11,9.25,9.30,8.77,8.84,315300,8.560699
2015-12-10,9.39,9.44,9.26,9.29,101700,8.996481
2015-12-09,9.32,9.42,9.31,9.35,178800,9.054586
2015-12-08,9.35,9.39,9.27,9.37,116300,8.99648
2015-12-07,9.31,9.42,9.25,9.39,149900,9.015683
2015-12-04,9.32,9.37,9.28,9.31,129800,8.938873
2015-12-03,9.46,9.46,9.22,9.29,251000,8.919669
2015-12-02,9.42,9.47,9.31,9.43,255300,9.054089
2015-12-01,9.31,9.37,9.27,9.35,244600,8.977278
2015-11-30,9.25,9.30,9.21,9.25,159300,8.881264
2015-11-27,9.22,9.25,9.18,9.19,51500,8.823655
2015-11-25,9.13,9.21,9.04,9.15,127800,8.78525
2015-11-24,9.13,9.22,9.08,9.10,117500,8.737244
