Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.54,10.63,10.38,10.47,33700,10.47
2016-03-10,10.48,10.61,10.48,10.55,19900,10.55
2016-03-09,10.43,10.50,10.43,10.50,15900,10.50
2016-03-08,10.39,10.47,10.39,10.47,28900,10.47
2016-03-07,10.42,10.49,10.41,10.49,17500,10.49
2016-03-04,10.42,10.45,10.39,10.39,6200,10.39
2016-03-03,10.42,10.48,10.39,10.46,6500,10.46
2016-03-02,10.39,10.47,10.36,10.42,20400,10.42
2016-03-01,10.35,10.38,10.35,10.36,13600,10.36
2016-02-29,10.40,10.40,10.31,10.36,53200,10.36
2016-02-26,10.37,10.46,10.34,10.36,25900,10.36
2016-02-25,10.32,10.43,10.32,10.37,48900,10.37
2016-02-24,10.32,10.36,10.29,10.29,28200,10.29
2016-02-23,10.41,10.45,10.28,10.31,39700,10.31
2016-02-22,10.41,10.42,10.37,10.37,10500,10.37
2016-02-19,10.36,10.41,10.36,10.39,10800,10.39
2016-02-18,10.45,10.45,10.36,10.40,34100,10.40
2016-02-17,10.45,10.45,10.40,10.40,5100,10.40
2016-02-16,10.43,10.53,10.37,10.49,28700,10.45
2016-02-12,10.52,10.53,10.42,10.42,22700,10.380267
2016-02-11,10.48,10.54,10.48,10.49,28300,10.45
2016-02-10,10.51,10.53,10.42,10.43,31800,10.390229
2016-02-09,10.45,10.50,10.42,10.50,33300,10.459962
2016-02-08,10.54,10.54,10.38,10.42,56500,10.380267
2016-02-05,10.59,10.59,10.49,10.50,20000,10.459962
2016-02-04,10.55,10.60,10.51,10.60,27100,10.559581
2016-02-03,10.50,10.58,10.49,10.50,30500,10.459962
2016-02-02,10.63,10.66,10.50,10.51,22100,10.469924
2016-02-01,10.57,10.69,10.47,10.60,37000,10.559581
2016-01-29,10.48,10.59,10.46,10.57,22500,10.529695
2016-01-28,10.41,10.45,10.34,10.40,13800,10.360343
2016-01-27,10.44,10.47,10.37,10.38,14600,10.34042
2016-01-26,10.33,10.41,10.33,10.38,7200,10.34042
2016-01-25,10.35,10.35,10.30,10.30,9400,10.260725
2016-01-22,10.28,10.35,10.27,10.32,22100,10.280648
2016-01-21,10.32,10.35,10.24,10.24,27700,10.200953
2016-01-20,10.36,10.36,10.22,10.23,9100,10.190991
2016-01-19,10.40,10.48,10.35,10.35,16100,10.270687
2016-01-15,10.40,10.40,10.34,10.35,9400,10.270687
2016-01-14,10.40,10.44,10.32,10.44,22600,10.359996
2016-01-13,10.35,10.39,10.27,10.39,32700,10.31038
2016-01-12,10.27,10.32,10.21,10.32,27700,10.240916
