Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,31.35,32.139999,31.35,31.92,25300,31.92
2016-03-10,32.919998,33.330002,31.200001,31.41,104800,31.271999
2016-03-09,32.200001,33.150002,32.049999,32.669998,37700,32.526462
2016-03-08,33.509998,33.599998,32.00,32.25,20400,32.108309
2016-03-07,33.080002,34.400002,33.080002,34.00,60500,33.85062
2016-03-04,32.990002,33.799999,32.599998,33.349998,23600,33.203475
2016-03-03,32.23,33.349998,32.23,32.849998,25700,32.705671
2016-03-02,32.080002,32.68,31.77,32.540001,33600,32.397036
2016-03-01,32.369999,32.369999,31.200001,31.870001,21500,31.729979
2016-02-29,32.48,32.990002,31.639999,31.98,33400,31.839495
2016-02-26,32.299999,33.00,31.90,32.200001,31700,32.058529
2016-02-25,32.279999,32.279999,31.50,32.099998,15400,31.958967
2016-02-24,31.200001,32.389999,31.200001,32.279999,29700,32.138176
2016-02-23,31.92,32.50,31.35,31.450001,16400,31.311825
2016-02-22,32.52,32.84,31.719999,32.25,29300,32.108309
2016-02-19,32.48,32.790001,31.700001,31.860001,24300,31.720023
2016-02-18,33.66,33.869999,32.389999,33.18,36100,33.034223
2016-02-17,31.780001,33.91,31.26,33.34,97400,33.19352
2016-02-16,32.439999,32.439999,30.040001,31.16,55700,31.023098
2016-02-12,30.92,31.90,30.51,31.32,36100,31.182395
2016-02-11,29.75,30.690001,28.860001,30.40,20200,30.266437
2016-02-10,30.620001,32.830002,30.10,30.99,43200,30.720434
2016-02-09,31.48,31.48,30.00,30.540001,36600,30.27435
2016-02-08,30.02,31.98,29.98,31.700001,20400,31.424259
2016-02-05,31.780001,32.099998,31.219999,31.629999,39500,31.354867
2016-02-04,33.150002,34.75,32.00,32.09,58900,31.810866
2016-02-03,32.259998,33.860001,32.00,33.450001,65900,33.159037
2016-02-02,31.129999,32.23,30.139999,32.080002,26700,31.800955
2016-02-01,31.42,31.809999,30.16,31.809999,83900,31.533301
2016-01-29,30.99,32.990002,30.639999,32.799999,93500,32.51469
2016-01-28,29.52,30.50,28.540001,30.43,81600,30.165306
2016-01-27,27.75,28.99,27.34,28.790001,31000,28.539572
2016-01-26,26.139999,27.91,26.00,27.709999,30900,27.468965
2016-01-25,26.77,26.799999,25.74,25.74,17500,25.516101
2016-01-22,27.00,28.110001,26.85,27.01,35200,26.775055
2016-01-21,25.68,27.24,25.18,26.76,95200,26.527229
2016-01-20,23.450001,26.00,22.75,25.719999,110200,25.496275
2016-01-19,26.25,26.25,24.00,24.219999,82700,24.009323
2016-01-15,25.809999,26.73,25.51,26.629999,47600,26.398359
2016-01-14,26.059999,26.950001,25.799999,26.629999,90600,26.398359
2016-01-13,26.719999,27.00,25.90,26.059999,51200,25.833318
2016-01-12,27.23,27.23,26.50,26.76,49100,26.253629
2016-01-11,27.309999,27.35,26.51,26.92,47500,26.410601
2016-01-08,26.440001,27.629999,26.42,27.309999,23100,26.793221
2016-01-07,26.00,26.91,25.93,26.190001,49900,25.694415
2016-01-06,26.360001,26.780001,26.00,26.07,24700,25.576685
2016-01-05,26.00,26.85,25.709999,26.690001,51900,26.184954
2016-01-04,26.43,26.700001,26.00,26.01,53400,25.517821
2015-12-31,26.50,27.51,25.84,26.26,137300,25.76309
2015-12-30,26.25,26.889999,25.65,26.42,55400,25.920063
2015-12-29,26.870001,27.110001,26.33,26.690001,44700,26.184954
2015-12-28,26.57,26.58,25.93,26.43,39700,25.929874
2015-12-24,28.00,28.00,27.40,27.530001,19100,27.009059
2015-12-23,26.27,28.15,26.00,27.969999,82700,27.440732
2015-12-22,25.75,26.83,25.50,26.16,148800,25.664982
2015-12-21,25.90,26.120001,25.52,25.540001,44000,25.056715
2015-12-18,27.10,27.50,25.530001,25.92,93800,25.429524
2015-12-17,27.57,27.75,27.110001,27.17,79100,26.655871
2015-12-16,27.43,28.200001,27.200001,27.75,25400,27.224895
2015-12-15,27.190001,27.66,27.10,27.66,34000,27.136598
2015-12-14,28.299999,28.299999,27.129999,27.450001,37200,26.930573
2015-12-11,28.309999,28.860001,28.110001,28.549999,31200,28.009757
2015-12-10,28.450001,29.870001,28.25,28.950001,36100,28.360003
2015-12-09,28.16,28.99,28.16,28.469999,21700,27.889784
2015-12-08,28.01,28.719999,28.00,28.219999,41800,27.644879
2015-12-07,29.469999,29.469999,27.85,28.50,71600,27.919173
2015-12-04,30.50,30.50,29.33,29.73,68300,29.124105
2015-12-03,32.689999,32.779999,30.57,30.76,93100,30.133114
2015-12-02,33.200001,33.27,32.560001,32.650002,39500,31.984598
2015-12-01,32.990002,33.50,32.970001,33.259998,26900,32.582163
2015-11-30,32.360001,33.00,32.200001,32.939999,44900,32.268685
2015-11-27,32.130001,32.50,32.009998,32.16,5600,31.504582
2015-11-25,32.009998,32.490002,31.74,32.00,11600,31.347843
2015-11-24,31.23,32.43,31.23,32.169998,28800,31.514377
2015-11-23,31.559999,31.65,31.110001,31.17,15500,30.534759
2015-11-20,31.540001,31.74,31.01,31.50,21200,30.858033
2015-11-19,31.43,31.809999,30.799999,31.66,23900,31.014772
2015-11-18,31.459999,31.549999,30.790001,31.549999,13100,30.907013
2015-11-17,31.82,31.959999,30.74,31.10,27600,30.466185
2015-11-16,31.209999,31.77,31.209999,31.68,13000,31.034365
2015-11-13,31.629999,31.719999,30.799999,31.40,39100,30.760071
2015-11-12,31.219999,32.189999,31.110001,31.629999,39700,30.985383
2015-11-11,31.90,32.50,31.73,32.18,38200,31.254781
2015-11-10,31.66,32.299999,31.549999,31.780001,25500,30.866282
2015-11-09,32.299999,32.299999,31.639999,31.799999,23200,30.885706
2015-11-06,32.060001,32.290001,31.799999,31.959999,23300,31.041105
2015-11-05,32.040001,32.360001,31.549999,32.150002,18800,31.225645
2015-11-04,32.50,32.50,31.60,32.470001,33600,31.536444
2015-11-03,32.459999,32.950001,32.029999,32.48,27400,31.546155
2015-11-02,32.400002,33.099998,32.169998,32.470001,40500,31.536444
2015-10-30,32.709999,32.709999,31.27,32.150002,19000,31.225645
