Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.78,13.93,13.71,13.76,2100,13.76
2016-03-10,13.61,13.75,13.61,13.75,1400,13.75
2016-03-09,14.00,14.00,13.64,13.67,4500,13.67
2016-03-08,14.20,14.65,13.61,13.61,3000,13.61
2016-03-07,14.25,14.79,14.25,14.31,4400,14.31
2016-03-04,14.75,15.15,14.75,15.15,1700,15.15
2016-03-03,14.50,14.50,14.49,14.50,2100,14.50
2016-03-02,14.20,14.20,14.20,14.20,400,14.10
2016-03-01,14.50,14.50,14.50,14.50,400,14.397888
2016-02-29,14.49,14.49,14.40,14.40,400,14.298592
2016-02-26,14.51,14.56,14.41,14.41,6900,14.308521
2016-02-25,14.20,14.20,14.20,14.20,000,14.10
2016-02-24,14.50,14.52,14.20,14.20,3600,14.10
2016-02-23,14.25,14.25,14.25,14.25,700,14.149648
2016-02-22,14.84,14.84,14.68,14.68,800,14.57662
2016-02-19,14.38,14.87,14.33,14.87,2000,14.765282
2016-02-18,13.88,13.88,13.88,13.88,000,13.782254
2016-02-17,13.88,13.88,13.88,13.88,000,13.782254
2016-02-16,13.27,13.89,13.27,13.88,1000,13.782254
2016-02-12,13.64,13.65,13.64,13.65,1600,13.553873
2016-02-11,13.40,13.67,13.40,13.67,2800,13.573733
2016-02-10,13.50,13.98,13.50,13.65,7900,13.553873
2016-02-09,13.50,14.14,13.50,13.90,5000,13.802113
2016-02-08,13.60,14.10,13.55,13.98,9400,13.881549
2016-02-05,13.81,14.00,13.70,13.75,4300,13.653169
2016-02-04,13.80,14.15,13.70,14.15,3900,14.050352
2016-02-03,14.32,14.32,14.24,14.25,1700,14.149648
2016-02-02,14.53,14.53,14.53,14.53,000,14.427676
2016-02-01,14.53,14.53,14.53,14.53,000,14.427676
2016-01-29,14.15,14.73,14.15,14.53,1500,14.427676
2016-01-28,14.11,14.11,14.11,14.11,100,14.010634
2016-01-27,14.25,14.86,14.25,14.50,1500,14.397888
2016-01-26,14.00,14.00,14.00,14.00,000,13.901409
2016-01-25,13.98,14.00,13.51,14.00,12300,13.901409
2016-01-22,13.77,14.00,13.77,13.98,10900,13.881549
2016-01-21,13.50,14.00,13.50,13.83,1300,13.732606
2016-01-20,14.19,14.19,14.19,14.19,000,14.09007
2016-01-19,14.19,14.19,14.19,14.19,500,14.09007
2016-01-15,14.00,14.00,14.00,14.00,1400,13.901409
2016-01-14,13.85,14.10,13.51,13.51,2300,13.41486
2016-01-13,14.42,14.42,14.00,14.25,3300,14.149648
2016-01-12,14.17,14.17,14.17,14.17,800,14.070212
2016-01-11,14.13,14.53,14.13,14.53,800,14.427676
2016-01-08,14.65,14.65,13.81,14.14,14100,14.040423
2016-01-07,15.00,15.24,15.00,15.24,1600,15.132676
2016-01-06,15.50,15.55,15.50,15.55,500,15.440494
2016-01-05,15.59,15.59,15.59,15.59,000,15.480212
2016-01-04,15.95,15.95,15.59,15.59,400,15.480212
2015-12-31,15.50,15.95,15.50,15.95,1100,15.837676
2015-12-30,15.45,15.45,15.45,15.45,600,15.341197
2015-12-29,15.00,15.00,15.00,15.00,000,14.894367
2015-12-28,15.50,15.51,15.00,15.00,1000,14.894367
2015-12-24,15.00,15.00,15.00,15.00,100,14.894367
2015-12-23,15.52,15.52,15.52,15.52,000,15.410705
2015-12-22,15.51,15.52,15.50,15.52,1800,15.410705
2015-12-21,15.75,15.75,15.75,15.75,000,15.639085
2015-12-18,15.39,15.75,15.20,15.75,800,15.639085
2015-12-17,14.64,15.35,14.62,15.35,900,15.241902
2015-12-16,15.25,15.25,15.05,15.05,900,14.944015
2015-12-15,15.25,15.25,15.25,15.25,000,15.142606
2015-12-14,15.25,15.25,15.25,15.25,000,15.142606
2015-12-11,15.25,15.31,15.25,15.25,3100,15.142606
2015-12-10,15.30,15.30,15.30,15.30,200,15.192254
2015-12-09,15.40,15.50,15.40,15.45,1400,15.341197
2015-12-08,15.35,15.35,15.35,15.35,000,15.241902
2015-12-07,15.35,15.35,15.35,15.35,400,15.241902
2015-12-04,15.30,15.30,15.30,15.30,000,15.192254
2015-12-03,15.30,15.30,15.30,15.30,200,15.192254
2015-12-02,15.13,15.13,15.13,15.13,000,15.023451
2015-12-01,15.29,15.29,15.13,15.13,400,15.023451
2015-11-30,14.85,14.85,14.85,14.85,000,14.745423
2015-11-27,14.85,14.85,14.85,14.85,000,14.745423
2015-11-25,14.85,14.85,14.85,14.85,300,14.646127
2015-11-24,14.87,15.05,14.87,15.05,1000,14.843381
2015-11-23,14.80,14.80,14.80,14.80,000,14.596813
2015-11-20,14.80,14.80,14.80,14.80,000,14.596813
2015-11-19,14.80,14.80,14.80,14.80,000,14.596813
2015-11-18,14.66,14.80,14.66,14.80,800,14.596813
2015-11-17,14.70,14.70,14.60,14.66,4100,14.458735
2015-11-16,14.62,14.62,14.62,14.62,000,14.419284
2015-11-13,14.62,14.62,14.62,14.62,000,14.419284
2015-11-12,14.75,14.75,14.50,14.62,2000,14.419284
2015-11-11,14.75,14.75,14.75,14.75,400,14.547499
2015-11-10,14.75,14.75,14.72,14.75,600,14.547499
2015-11-09,14.80,14.80,14.64,14.75,1400,14.547499
2015-11-06,14.65,14.67,14.65,14.67,200,14.468598
2015-11-05,14.70,14.70,14.70,14.70,000,14.498186
2015-11-04,14.70,14.70,14.70,14.70,200,14.498186
2015-11-03,14.75,14.75,14.51,14.70,1500,14.498186
2015-11-02,14.25,14.52,14.24,14.50,1400,14.300932
2015-10-30,14.63,14.63,14.63,14.63,000,14.429147
2015-10-29,14.63,14.63,14.63,14.63,000,14.429147
2015-10-28,15.29,15.30,14.63,14.63,700,14.429147
2015-10-27,14.94,14.94,14.94,14.94,000,14.73489
2015-10-26,14.94,14.94,14.94,14.94,400,14.73489
2015-10-23,15.24,15.24,15.24,15.24,000,15.030772
2015-10-22,15.20,15.24,15.20,15.24,400,15.030772
2015-10-21,14.62,14.62,14.60,14.61,500,14.409421
2015-10-20,15.50,15.50,15.50,15.50,000,15.287203
2015-10-19,15.75,15.75,14.94,15.50,1500,15.287203
2015-10-16,15.06,15.06,14.40,14.62,2600,14.419284
2015-10-15,15.00,15.75,15.00,15.75,1100,15.533771
2015-10-14,15.04,15.04,15.04,15.04,200,14.833518
2015-10-13,15.11,15.11,15.11,15.11,000,14.902557
2015-10-12,15.11,15.11,15.11,15.11,600,14.902557
2015-10-09,15.76,15.76,15.76,15.76,000,15.543633
2015-10-08,15.76,15.76,15.76,15.76,100,15.543633
2015-10-07,15.60,15.75,15.60,15.75,800,15.533771
2015-10-06,15.50,15.68,15.06,15.68,1300,15.464732
