Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,18.23,18.32,18.120001,18.290001,713700,18.290001
2016-03-10,18.02,18.139999,17.82,17.99,638100,17.916
2016-03-09,18.049999,18.25,18.030001,18.040001,485900,17.965796
2016-03-08,18.139999,18.33,17.959999,17.98,579800,17.906041
2016-03-07,17.540001,18.35,17.51,18.280001,1113800,18.204808
2016-03-04,17.370001,17.68,17.309999,17.59,603800,17.517646
2016-03-03,17.26,17.360001,17.16,17.34,834100,17.268674
2016-03-02,17.629999,17.629999,17.18,17.27,620000,17.198962
2016-03-01,17.440001,17.809999,17.440001,17.75,856000,17.676988
2016-02-29,17.280001,17.469999,17.23,17.290001,812600,17.218881
2016-02-26,17.190001,17.34,17.15,17.27,785100,17.198962
2016-02-25,17.290001,17.35,17.040001,17.09,673100,17.019703
2016-02-24,16.68,17.200001,16.51,17.18,669300,17.109333
2016-02-23,17.18,17.33,16.85,16.91,441200,16.840443
2016-02-22,17.34,17.35,17.209999,17.26,328700,17.189003
2016-02-19,17.16,17.200001,16.99,17.120001,469700,17.04958
2016-02-18,17.17,17.33,17.059999,17.27,432700,17.198962
2016-02-17,16.98,17.25,16.98,17.120001,770500,17.04958
2016-02-16,16.559999,16.91,16.48,16.85,697800,16.78069
2016-02-12,16.309999,16.42,16.200001,16.370001,945000,16.302665
2016-02-11,16.389999,16.48,16.10,16.209999,438300,16.143321
2016-02-10,16.969999,17.049999,16.57,16.58,420500,16.5118
2016-02-09,16.93,17.10,16.60,16.809999,830400,16.670146
2016-02-08,17.15,17.15,16.889999,16.950001,768400,16.808982
2016-02-05,17.67,17.68,17.27,17.309999,449400,17.165986
2016-02-04,17.780001,17.950001,17.49,17.57,531100,17.423823
2016-02-03,17.610001,17.68,17.24,17.65,914600,17.503157
2016-02-02,17.059999,17.33,16.889999,17.26,493300,17.116403
2016-02-01,17.24,17.32,16.870001,17.27,707100,17.12632
2016-01-29,17.139999,17.360001,17.040001,17.280001,780600,17.136237
2016-01-28,16.940001,17.129999,16.84,17.059999,592600,16.918066
2016-01-27,16.82,16.99,16.67,16.75,810200,16.610645
2016-01-26,16.719999,16.98,16.700001,16.870001,466500,16.729648
2016-01-25,16.91,17.030001,16.49,16.540001,473500,16.402393
2016-01-22,16.77,16.98,16.65,16.969999,706800,16.828814
2016-01-21,16.23,16.440001,15.98,16.42,746900,16.283391
2016-01-20,16.01,16.219999,15.66,16.15,581700,16.015637
2016-01-19,16.51,16.620001,16.15,16.35,785400,16.213974
2016-01-15,16.700001,16.74,16.27,16.50,614200,16.362725
2016-01-14,16.83,17.48,16.83,17.18,1257500,17.037068
2016-01-13,17.129999,18.15,17.129999,17.219999,1215000,17.076734
2016-01-12,16.690001,16.879999,16.43,16.530001,496000,16.32405
2016-01-11,16.57,16.700001,16.48,16.59,554000,16.383302
2016-01-08,16.780001,16.780001,16.40,16.48,569500,16.274672
2016-01-07,16.629999,17.00,16.559999,16.639999,529000,16.432678
2016-01-06,16.82,16.969999,16.709999,16.879999,314700,16.669688
2016-01-05,17.32,17.33,16.92,17.030001,516300,16.81782
2016-01-04,17.200001,17.290001,16.93,17.25,625800,17.035078
2015-12-31,17.309999,17.309999,17.139999,17.190001,238200,16.975827
2015-12-30,17.280001,17.40,17.209999,17.309999,334500,17.09433
2015-12-29,17.27,17.370001,17.190001,17.370001,391600,17.153584
2015-12-28,17.040001,17.25,17.01,17.18,346300,16.965951
2015-12-24,17.209999,17.290001,17.139999,17.209999,225600,16.995576
2015-12-23,17.129999,17.40,17.049999,17.200001,716400,16.985702
2015-12-22,17.040001,17.09,16.75,17.02,508800,16.807945
2015-12-21,17.129999,17.219999,16.90,17.00,492900,16.788193
2015-12-18,17.73,17.799999,16.92,16.959999,1021500,16.748691
2015-12-17,18.24,18.290001,17.52,17.84,975900,17.617728
2015-12-16,19.559999,19.610001,19.299999,19.58,343800,19.336048
2015-12-15,19.299999,19.620001,19.200001,19.540001,403800,19.296548
2015-12-14,19.35,19.559999,19.110001,19.18,563500,18.941032
2015-12-11,19.389999,19.530001,19.24,19.360001,249100,19.11879
2015-12-10,19.75,19.889999,19.469999,19.65,383100,19.334073
2015-12-09,19.77,19.879999,19.40,19.780001,426800,19.461984
2015-12-08,20.02,20.07,19.690001,19.76,404700,19.442305
2015-12-07,20.549999,20.629999,20.200001,20.24,443000,19.914587
2015-12-04,20.610001,20.76,20.48,20.700001,342200,20.367192
2015-12-03,20.959999,20.959999,20.540001,20.610001,307000,20.278639
2015-12-02,21.00,21.08,20.82,20.870001,331300,20.534459
2015-12-01,20.75,21.049999,20.68,21.040001,369700,20.701726
2015-11-30,20.60,20.85,20.549999,20.74,433800,20.406548
2015-11-27,20.360001,20.620001,20.35,20.58,86200,20.249121
2015-11-25,20.57,20.709999,20.41,20.50,296000,20.170407
2015-11-24,20.610001,20.700001,20.389999,20.57,354000,20.239281
2015-11-23,20.709999,21.00,20.58,20.610001,443100,20.278639
2015-11-20,20.59,20.879999,20.450001,20.83,361900,20.495101
2015-11-19,20.50,20.60,20.41,20.50,300500,20.170407
2015-11-18,20.440001,20.50,20.16,20.469999,335900,20.140889
