Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.85,9.88,9.78,9.80,11400,9.80
2016-03-10,9.82,9.88,9.80,9.83,20900,9.83
2016-03-09,9.70,9.75,9.62,9.70,8800,9.70
2016-03-08,9.90,9.90,9.73,9.75,13100,9.75
2016-03-07,9.79,9.87,9.79,9.86,4400,9.86
2016-03-04,9.68,9.90,9.68,9.78,22200,9.78
2016-03-03,9.55,9.60,9.55,9.60,8500,9.60
2016-03-02,9.40,9.52,9.40,9.51,1600,9.51
2016-03-01,9.53,9.53,9.37,9.45,4000,9.45
2016-02-29,9.40,9.50,9.39,9.48,9400,9.48
2016-02-26,9.59,9.59,9.33,9.36,11000,9.36
2016-02-25,9.60,9.60,9.55,9.55,4200,9.55
2016-02-24,9.68,9.74,9.57,9.57,13000,9.57
2016-02-23,9.63,9.63,9.56,9.61,17300,9.61
2016-02-22,9.50,9.61,9.48,9.59,6200,9.59
2016-02-19,9.65,9.71,9.55,9.61,8000,9.61
2016-02-18,9.69,9.76,9.63,9.71,19900,9.71
2016-02-17,9.71,9.78,9.71,9.78,2500,9.650999
2016-02-16,10.00,10.00,9.70,9.72,21100,9.591791
2016-02-12,9.78,9.93,9.78,9.87,15100,9.739813
2016-02-11,9.80,9.95,9.80,9.83,24300,9.70034
2016-02-10,9.78,9.78,9.72,9.77,18800,9.641132
2016-02-09,9.82,9.83,9.75,9.76,14900,9.631264
2016-02-08,9.75,9.80,9.70,9.78,10100,9.650999
2016-02-05,9.58,9.69,9.58,9.69,22100,9.562186
2016-02-04,9.69,9.74,9.68,9.72,8800,9.591791
2016-02-03,9.52,9.68,9.52,9.65,15200,9.522714
2016-02-02,9.53,9.53,9.44,9.44,2200,9.315484
2016-02-01,9.47,9.53,9.47,9.53,5800,9.404297
2016-01-29,9.47,9.48,9.42,9.43,7300,9.305617
2016-01-28,9.45,9.53,9.35,9.40,7500,9.276012
2016-01-27,9.57,9.57,9.50,9.55,3000,9.424034
2016-01-26,9.43,9.57,9.43,9.57,13100,9.443769
2016-01-25,9.43,9.43,9.35,9.42,5100,9.295748
2016-01-22,9.35,9.44,9.32,9.32,4500,9.197067
2016-01-21,9.25,9.34,9.24,9.34,12700,9.216804
