Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,24.92,24.950001,24.91,24.93,49200,24.93
2016-03-10,24.99,25.030001,24.85,24.870001,173300,24.870001
2016-03-09,24.950001,24.99,24.882999,24.950001,52300,24.950001
2016-03-08,24.879999,24.92,24.82,24.90,88300,24.90
2016-03-07,24.889999,24.93,24.82,24.85,83300,24.85
2016-03-04,24.93,24.93,24.83,24.84,117600,24.84
2016-03-03,24.870001,24.92,24.799999,24.872999,116400,24.872999
2016-03-02,24.940001,24.950001,24.719999,24.84,179000,24.84
2016-03-01,25.00,25.00,24.809999,24.879999,117200,24.879999
2016-02-29,24.85,25.02,24.360001,25.02,398300,25.02
2016-02-26,24.90,24.90,24.82,24.85,65800,24.85
2016-02-25,24.870001,24.90,24.74,24.90,118500,24.90
2016-02-24,24.700001,24.870001,24.65,24.870001,271300,24.870001
2016-02-23,24.790001,24.82,24.66,24.700001,317700,24.700001
