Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.20,13.42,13.20,13.25,4200,13.25
2016-03-10,13.25,13.83,13.20,13.30,7200,13.30
2016-03-09,13.44,13.98,13.00,13.26,14200,13.26
2016-03-08,13.10,13.43,12.95,13.39,2800,13.39
2016-03-07,14.00,14.10,13.42,13.49,9400,13.49
2016-03-04,13.66,14.28,13.60,14.27,8100,14.27
2016-03-03,13.70,13.80,13.40,13.60,8600,13.60
2016-03-02,13.56,13.56,13.09,13.44,900,13.44
2016-03-01,13.77,14.35,13.10,13.10,8000,13.10
2016-02-29,13.25,13.70,13.04,13.40,10000,13.40
2016-02-26,12.35,13.10,12.35,13.09,10600,13.09
2016-02-25,12.25,12.48,11.76,11.95,11600,11.95
2016-02-24,13.18,13.48,12.50,12.70,14100,12.70
2016-02-23,13.25,13.60,12.90,13.26,9000,13.26
2016-02-22,13.01,13.50,13.00,13.00,2300,13.00
2016-02-19,13.45,14.00,13.10,14.00,16900,14.00
2016-02-18,13.49,13.80,13.24,13.47,7900,13.47
2016-02-17,13.99,13.99,13.99,13.99,000,13.99
2016-02-16,13.67,14.13,13.67,13.99,9400,13.584
2016-02-12,14.20,14.20,13.86,13.89,900,13.486902
2016-02-11,12.79,14.36,12.57,13.05,13200,12.67128
2016-02-10,13.11,13.70,12.70,13.29,21900,12.904315
2016-02-09,13.45,13.45,13.45,13.45,000,13.059671
2016-02-08,13.61,13.96,13.15,13.45,19300,13.059671
2016-02-05,12.80,13.46,12.80,13.16,8500,12.778087
2016-02-04,12.50,13.54,12.50,13.00,18900,12.622731
2016-02-03,13.54,13.96,12.60,12.60,19000,12.234339
2016-02-02,13.49,13.86,13.16,13.55,17500,13.156769
2016-02-01,13.39,14.09,13.00,13.75,17400,13.350965
2016-01-29,13.82,14.09,13.24,13.95,11000,13.545161
2016-01-28,14.10,14.73,13.54,14.15,19400,13.739356
2016-01-27,12.97,15.10,12.36,13.25,68900,12.865475
2016-01-26,12.84,13.73,12.70,13.17,14100,12.787797
2016-01-25,12.56,13.25,12.56,13.00,17200,12.622731
2016-01-22,11.92,12.95,11.92,12.95,15200,12.574181
2016-01-21,11.81,12.00,11.76,11.92,10300,11.574073
2016-01-20,11.92,12.15,11.39,11.40,16900,11.069163
2016-01-19,12.34,12.42,11.80,12.25,16300,11.894496
2016-01-15,11.49,12.48,10.93,12.15,11800,11.797398
2016-01-14,12.25,12.35,11.19,12.10,13600,11.74885
2016-01-13,13.38,13.75,12.75,12.75,17700,12.379986
2016-01-12,13.98,13.98,12.90,13.40,19600,13.011122
2016-01-11,13.22,14.30,12.77,13.98,30500,13.57429
2016-01-08,13.78,14.31,13.72,13.85,29700,13.448063
2016-01-07,12.89,14.00,12.89,13.68,25400,13.282997
2016-01-06,13.10,13.70,12.86,13.38,26700,12.991703
2016-01-05,13.99,13.99,13.15,13.30,18800,12.914025
2016-01-04,13.90,14.22,12.90,13.54,21800,13.147059
2015-12-31,13.96,15.10,13.78,14.22,73300,13.807326
2015-12-30,14.00,14.86,13.80,13.96,56100,13.554871
2015-12-29,11.80,14.23,11.80,13.61,50100,13.215028
2015-12-28,11.91,12.46,11.15,11.50,23700,11.166262
2015-12-24,11.54,12.16,11.54,12.16,1800,11.807108
2015-12-23,10.13,12.45,10.13,12.20,57000,11.845947
2015-12-22,10.54,11.20,10.06,10.60,29100,10.292381
2015-12-21,13.50,13.56,10.03,10.59,28000,10.282671
2015-12-18,13.87,13.87,12.25,12.53,13500,12.16637
2015-12-17,13.50,14.37,13.23,13.23,95100,12.846055
