Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.08,14.10,13.84,14.00,22300,14.00
2016-03-10,14.03,14.14,13.90,14.05,18800,14.05
2016-03-09,13.86,14.09,13.78,14.00,9400,14.00
2016-03-08,14.01,14.05,13.77,13.79,28700,13.79
2016-03-07,13.89,14.16,13.89,14.12,40500,14.12
2016-03-04,14.03,14.15,14.01,14.01,24700,14.01
2016-03-03,14.06,14.19,14.00,14.09,22700,14.09
2016-03-02,14.07,14.19,13.93,14.12,8600,14.12
2016-03-01,14.18,14.28,14.06,14.15,34400,14.15
2016-02-29,13.72,14.16,13.69,14.10,29700,14.10
2016-02-26,13.65,13.77,13.59,13.69,15300,13.69
2016-02-25,13.49,13.81,13.40,13.70,11700,13.70
2016-02-24,13.25,13.50,13.25,13.37,6600,13.37
2016-02-23,13.48,13.53,13.31,13.40,12100,13.40
2016-02-22,13.28,13.49,13.04,13.46,21600,13.46
2016-02-19,13.32,13.37,13.06,13.24,15500,13.24
2016-02-18,13.23,13.35,13.23,13.35,16700,13.35
2016-02-17,13.16,13.45,13.06,13.22,29000,13.22
2016-02-16,13.21,13.32,13.03,13.04,20300,13.04
2016-02-12,13.42,13.56,13.03,13.15,48800,13.032
2016-02-11,13.30,13.41,13.21,13.30,25600,13.180655
2016-02-10,13.41,13.58,13.40,13.44,10100,13.319398
2016-02-09,13.15,13.33,12.99,13.24,12600,13.121192
2016-02-08,13.23,13.37,12.80,13.26,40000,13.141013
2016-02-05,13.41,13.54,13.09,13.19,48800,13.071641
2016-02-04,13.55,13.61,13.29,13.34,36100,13.220296
2016-02-03,13.82,13.93,13.52,13.55,20300,13.428411
2016-02-02,13.90,14.11,13.50,13.68,55500,13.557245
2016-02-01,13.97,14.12,13.66,13.86,31900,13.735629
2016-01-29,13.73,14.10,13.73,13.98,20500,13.854552
2016-01-28,13.79,13.87,13.52,13.71,10900,13.586975
2016-01-27,13.85,13.92,13.23,13.65,24300,13.527513
2016-01-26,13.67,13.90,13.45,13.83,25600,13.705898
2016-01-25,14.08,14.23,13.43,13.66,52300,13.537424
2016-01-22,13.99,14.13,13.95,14.11,16900,13.983386
2016-01-21,13.71,13.92,13.62,13.78,28800,13.656347
2016-01-20,14.11,14.13,13.02,13.67,74800,13.547334
2016-01-19,14.00,14.38,13.87,14.19,21300,14.062668
2016-01-15,13.74,13.97,13.65,13.97,29500,13.727701
2016-01-14,14.22,14.50,13.75,13.78,51200,13.540996
2016-01-13,14.57,14.75,14.07,14.07,31700,13.825966
2016-01-12,14.77,14.93,14.50,14.50,32100,14.248509
2016-01-11,14.80,14.95,14.65,14.67,14400,14.41556
2016-01-08,14.69,15.11,14.69,14.84,13400,14.582612
2016-01-07,15.07,15.07,14.70,14.70,15600,14.44504
2016-01-06,15.06,15.36,14.95,15.16,15700,14.897061
2016-01-05,15.12,15.20,14.86,15.20,19900,14.936367
2016-01-04,14.88,15.14,14.88,15.01,11300,14.749663
2015-12-31,15.37,15.54,14.83,14.90,35100,14.641571
2015-12-30,15.45,15.57,15.29,15.40,24400,15.132898
2015-12-29,15.43,15.56,15.32,15.32,12700,15.054286
2015-12-28,15.22,15.50,15.21,15.33,14300,15.064113
2015-12-24,15.07,15.31,14.77,15.23,12100,14.965847
2015-12-23,14.89,15.16,14.89,15.01,17600,14.749663
2015-12-22,15.01,15.13,14.65,14.77,29200,14.513826
2015-12-21,15.06,15.13,14.89,14.93,20800,14.671051
2015-12-18,15.10,15.23,14.91,14.92,10900,14.661224
2015-12-17,15.10,15.33,15.10,15.17,14500,14.906888
2015-12-16,15.00,15.40,14.80,15.20,33000,14.936367
2015-12-15,14.69,14.99,14.61,14.93,26300,14.671051
2015-12-14,14.64,14.98,14.55,14.69,61700,14.319259
2015-12-11,14.89,14.94,14.56,14.62,32500,14.251026
2015-12-10,14.94,15.04,14.90,14.92,14400,14.543455
2015-12-09,15.28,15.45,14.90,14.91,25500,14.533707
2015-12-08,15.44,15.68,15.22,15.22,11500,14.835884
2015-12-07,16.00,16.01,15.46,15.50,33900,15.108817
2015-12-04,15.85,16.02,15.73,15.97,29000,15.566955
2015-12-03,15.88,15.95,15.82,15.88,33400,15.479227
2015-12-02,15.65,15.85,15.63,15.79,28300,15.391498
