Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,28.34,28.58,28.219999,28.51,30000,28.51
2016-03-10,28.59,28.99,27.969999,28.25,49100,28.25
2016-03-09,27.879999,28.450001,27.83,28.389999,34700,28.389999
2016-03-08,28.440001,28.440001,27.75,27.809999,38700,27.809999
2016-03-07,27.66,28.24,27.66,28.18,56800,28.18
2016-03-04,27.959999,28.10,27.459999,27.610001,34300,27.610001
2016-03-03,28.110001,28.389999,27.809999,27.959999,47600,27.959999
2016-03-02,27.790001,28.24,27.450001,28.110001,54800,28.110001
2016-03-01,27.799999,27.799999,27.129999,27.469999,61400,27.469999
2016-02-29,27.860001,28.00,27.370001,27.52,54600,27.52
2016-02-26,27.700001,28.110001,27.16,27.620001,44600,27.620001
2016-02-25,27.129999,27.450001,26.50,27.440001,43000,27.440001
2016-02-24,26.200001,27.25,26.08,27.10,75300,27.10
2016-02-23,26.290001,26.780001,26.120001,26.379999,75900,26.379999
2016-02-22,25.50,26.469999,25.50,26.23,72900,26.23
2016-02-19,24.799999,25.799999,24.799999,25.459999,61300,25.459999
2016-02-18,27.129999,27.129999,24.65,24.799999,159500,24.799999
2016-02-17,27.10,27.639999,26.879999,27.00,55100,27.00
2016-02-16,26.780001,26.91,26.08,26.90,53100,26.90
2016-02-12,26.700001,27.139999,26.139999,26.33,46300,26.33
2016-02-11,25.60,26.389999,25.23,26.25,51100,26.25
2016-02-10,26.60,27.15,26.07,26.309999,58100,25.96
2016-02-09,26.639999,27.309999,26.299999,26.629999,59900,26.275742
2016-02-08,26.780001,27.040001,26.02,26.98,56500,26.621087
2016-02-05,27.549999,27.549999,26.190001,27.200001,99300,26.838161
2016-02-04,27.25,28.059999,25.299999,27.940001,379500,27.568317
2016-02-03,29.74,30.049999,28.969999,29.01,49200,28.624082
2016-02-02,29.790001,29.950001,29.42,29.629999,44400,29.235834
2016-02-01,29.540001,30.25,29.02,29.85,112500,29.452908
2016-01-29,28.08,29.59,28.08,29.50,80600,29.107564
2016-01-28,28.059999,28.780001,27.83,28.01,40800,27.637385
2016-01-27,27.59,28.16,27.379999,27.85,49400,27.479514
2016-01-26,27.120001,27.99,26.75,27.77,51000,27.400578
2016-01-25,27.74,27.76,26.879999,27.120001,81200,26.759226
2016-01-22,27.50,27.879999,27.219999,27.620001,61500,27.252574
2016-01-21,27.799999,27.799999,26.969999,27.07,75800,26.70989
2016-01-20,27.290001,27.959999,26.08,27.50,94200,27.13417
2016-01-19,28.360001,29.24,27.049999,27.540001,105400,27.173638
2016-01-15,28.02,28.25,27.040001,27.73,107600,27.36111
2016-01-14,28.48,28.799999,27.00,28.299999,89700,27.923527
2016-01-13,29.16,29.389999,28.049999,28.17,60600,27.795257
2016-01-12,29.290001,29.75,27.809999,29.16,91500,28.772087
2016-01-11,30.00,30.190001,29.01,29.290001,78300,28.900358
2016-01-08,30.51,30.51,29.83,29.85,100500,29.452908
2016-01-07,30.00,30.59,29.780001,30.32,73600,29.916655
2016-01-06,30.00,30.90,30.00,30.540001,85800,30.13373
2016-01-05,30.17,30.43,29.700001,30.27,81700,29.867321
2016-01-04,30.50,30.50,29.309999,29.860001,106500,29.462775
2015-12-31,32.209999,32.220001,30.76,30.92,119200,30.508674
2015-12-30,31.440001,32.50,31.360001,32.040001,102900,31.613775
2015-12-29,32.049999,32.27,30.530001,31.209999,59600,30.794815
2015-12-28,32.00,32.240002,31.559999,32.099998,69400,31.672975
2015-12-24,30.719999,31.950001,30.41,31.82,77500,31.396701
2015-12-23,31.00,31.200001,30.799999,30.93,40500,30.518541
2015-12-22,30.690001,30.860001,30.40,30.860001,51500,30.449472
2015-12-21,30.50,30.50,29.76,30.469999,36900,30.064659
2015-12-18,29.40,30.58,29.40,30.58,140200,30.173197
2015-12-17,29.559999,29.90,29.549999,29.60,22000,29.206234
2015-12-16,28.969999,29.559999,28.879999,29.540001,27400,29.147033
2015-12-15,27.93,29.040001,27.93,29.040001,24400,28.653684
2015-12-14,28.450001,28.68,27.83,28.049999,48500,27.676852
2015-12-11,28.24,28.75,28.01,28.290001,26000,27.913661
2015-12-10,28.68,29.07,28.68,28.68,19800,28.298472
2015-12-09,28.719999,29.41,28.50,28.85,25000,28.466211
2015-12-08,28.860001,29.83,28.41,28.959999,19700,28.574746
2015-12-07,29.15,29.42,28.879999,29.040001,30400,28.653684
2015-12-04,28.52,29.52,28.34,29.18,42000,28.791821
2015-12-03,29.42,30.030001,28.68,28.709999,28100,28.328072
2015-12-02,30.00,30.360001,29.33,29.459999,28100,29.068095
