Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,11.00,11.00,10.68,10.90,5400,10.90
2016-03-10,11.00,11.00,10.89,11.00,4500,11.00
2016-03-09,11.29,11.29,10.805,11.00,5400,11.00
2016-03-08,11.16,11.25,10.99,11.19,13400,11.19
2016-03-07,10.90,11.20,10.90,11.12,5900,11.12
2016-03-04,11.107,11.25,11.00,11.03,10100,11.03
2016-03-03,11.15,11.15,10.815,11.05,21300,11.05
2016-03-02,11.23,11.23,10.798,11.05,2100,11.05
2016-03-01,11.02,11.02,10.85,10.96,8800,10.96
2016-02-29,10.98,11.00,10.78,10.78,600,10.78
2016-02-26,11.02,11.02,10.68,10.68,400,10.68
2016-02-25,11.05,11.05,10.88,10.88,7300,10.88
2016-02-24,11.46,11.46,11.25,11.25,500,11.10
2016-02-23,11.578,11.74,11.25,11.63,16600,11.474934
2016-02-22,11.75,11.75,11.61,11.61,2700,11.4552
2016-02-19,11.74,11.74,11.74,11.74,200,11.583467
2016-02-18,10.96,11.40,10.96,11.28,30300,11.1296
2016-02-17,9.76,11.16,9.63,10.75,39800,10.606667
2016-02-16,9.26,10.02,9.10,9.70,22500,9.570667
2016-02-12,9.70,9.70,9.25,9.51,1800,9.3832
2016-02-11,9.29,9.75,9.26,9.50,1500,9.373333
2016-02-10,9.26,9.44,9.25,9.44,1000,9.314133
2016-02-09,9.17,9.33,9.15,9.15,800,9.028
2016-02-08,9.15,9.15,9.15,9.15,100,9.028
2016-02-05,9.04,9.16,9.04,9.15,600,9.028
2016-02-04,9.41,9.46,9.03,9.04,24100,8.919467
2016-02-03,9.82,9.82,9.24,9.24,9700,9.1168
2016-02-02,10.02,10.20,9.76,9.76,16900,9.629867
2016-02-01,10.41,10.60,10.175,10.20,7900,10.064
2016-01-29,10.88,10.88,10.52,10.52,4000,10.379734
2016-01-28,11.35,11.35,10.89,10.89,2100,10.7448
2016-01-27,11.45,11.60,11.45,11.50,1300,11.346667
2016-01-26,11.20,11.66,11.20,11.66,8900,11.504533
2016-01-25,11.26,11.26,11.05,11.21,3000,11.060534
2016-01-22,11.45,11.45,11.45,11.45,200,11.297333
2016-01-21,11.00,11.29,10.96,10.96,3500,10.813867
2016-01-20,11.13,11.13,10.90,10.90,3600,10.754666
2016-01-19,11.15,11.50,11.15,11.50,1000,11.346667
2016-01-15,11.54,11.54,11.05,11.15,3800,11.001333
2016-01-14,11.652,11.875,11.65,11.66,2400,11.504533
2016-01-13,11.63,11.63,11.63,11.63,000,11.474934
2016-01-12,11.63,11.63,11.63,11.63,000,11.474934
2016-01-11,11.60,11.64,11.60,11.63,5300,11.474934
2016-01-08,12.05,12.05,11.901,11.97,1300,11.8104
2016-01-07,11.87,11.89,11.66,11.845,4800,11.687067
2016-01-06,12.00,12.00,11.87,11.87,1500,11.711733
2016-01-05,12.21,12.30,12.20,12.21,5200,12.0472
2016-01-04,12.30,12.34,12.21,12.21,4100,12.0472
2015-12-31,12.27,12.40,12.27,12.36,3200,12.1952
2015-12-30,12.33,12.33,12.33,12.33,000,12.1656
2015-12-29,12.21,12.33,12.20,12.33,1300,12.1656
2015-12-28,12.34,12.34,12.17,12.17,500,12.007734
2015-12-24,12.35,12.35,12.35,12.35,000,12.185334
2015-12-23,12.35,12.35,12.35,12.35,1400,12.185334
