Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.32,15.33,15.29,15.33,3800,15.33
2016-03-10,15.29,15.30,15.29,15.30,1500,15.30
2016-03-09,15.29,15.29,15.23,15.28,3600,15.28
2016-03-08,15.26,15.38,15.26,15.29,13300,15.23
2016-03-07,15.30,15.30,15.26,15.30,900,15.239961
2016-03-04,15.25,15.35,15.25,15.27,8900,15.210079
2016-03-03,15.57,15.65,15.22,15.26,14200,15.200118
2016-03-02,15.44,15.87,15.40,15.79,18700,15.728038
2016-03-01,15.35,15.46,15.35,15.39,2700,15.329608
2016-02-29,15.35,15.35,15.24,15.35,11000,15.289765
2016-02-26,15.35,15.35,15.16,15.35,8500,15.289765
2016-02-25,15.10,15.35,15.08,15.35,9500,15.289765
2016-02-24,15.05,15.10,14.94,15.10,6000,15.040746
2016-02-23,14.91,15.10,14.81,15.10,17700,15.040746
2016-02-22,14.90,14.90,14.73,14.80,6100,14.741923
2016-02-19,14.86,15.10,14.76,14.89,6900,14.83157
2016-02-18,14.78,14.79,14.67,14.79,9500,14.731962
2016-02-17,14.70,14.81,14.62,14.77,22800,14.712041
2016-02-16,14.69,14.77,14.69,14.70,8300,14.642315
2016-02-12,14.98,14.98,14.81,14.86,5900,14.801687
2016-02-11,14.84,15.00,14.84,15.00,300,14.941138
2016-02-10,14.87,14.87,14.87,14.87,100,14.751883
2016-02-09,14.75,14.93,14.75,14.84,2400,14.722122
2016-02-08,14.80,14.85,14.72,14.85,21800,14.732043
2016-02-05,14.63,14.74,14.63,14.73,2700,14.612995
2016-02-04,14.86,14.86,14.73,14.73,2300,14.612995
2016-02-03,14.70,14.92,14.70,14.92,3500,14.801486
2016-02-02,14.72,14.84,14.72,14.72,7000,14.603075
2016-02-01,14.56,14.84,14.56,14.72,6600,14.603075
2016-01-29,14.75,14.75,14.57,14.63,6800,14.51379
2016-01-28,14.45,14.66,14.45,14.65,3600,14.533631
2016-01-27,14.39,14.57,14.31,14.55,13500,14.434426
2016-01-26,14.48,14.56,14.31,14.32,4500,14.206252
2016-01-25,14.31,14.40,14.31,14.40,3900,14.285616
2016-01-22,14.29,14.45,14.29,14.40,10100,14.285616
2016-01-21,14.30,14.40,14.21,14.29,13600,14.176491
2016-01-20,14.45,14.45,14.30,14.32,12900,14.206252
2016-01-19,14.51,14.53,14.39,14.39,10700,14.275697
2016-01-15,14.51,14.58,14.50,14.50,5700,14.384823
2016-01-14,14.29,14.53,14.29,14.43,13100,14.315379
2016-01-13,14.55,14.58,14.45,14.45,4600,14.33522
2016-01-12,14.62,14.63,14.59,14.61,2100,14.434425
2016-01-11,14.66,14.70,14.62,14.65,2400,14.473944
2016-01-08,14.59,14.70,14.59,14.63,4600,14.454185
2016-01-07,14.70,14.70,14.64,14.64,1800,14.464065
2016-01-06,14.60,14.70,14.60,14.67,9500,14.493704
2016-01-05,14.50,14.64,14.50,14.59,12600,14.414666
2016-01-04,14.57,14.64,14.50,14.50,1600,14.325747
2015-12-31,14.56,14.64,14.49,14.59,11100,14.414666
2015-12-30,14.57,14.57,14.50,14.54,6900,14.365267
2015-12-29,14.60,14.60,14.45,14.45,6400,14.276348
2015-12-28,14.56,14.65,14.56,14.62,2800,14.444305
2015-12-24,14.52,14.67,14.42,14.67,1500,14.493704
2015-12-23,14.49,14.50,14.39,14.40,15500,14.226949
2015-12-22,14.61,14.62,14.42,14.42,8200,14.246709
2015-12-21,14.56,14.61,14.46,14.57,5300,14.394906
2015-12-18,14.52,14.52,14.43,14.45,7500,14.276348
2015-12-17,14.29,14.48,14.28,14.47,4500,14.296108
2015-12-16,14.22,14.29,14.18,14.24,7100,14.068872
2015-12-15,14.20,14.23,14.18,14.23,2400,14.058992
2015-12-14,14.25,14.25,14.18,14.20,3800,14.029352
2015-12-11,14.28,14.33,14.22,14.26,8800,14.088632
2015-12-10,14.36,14.40,14.36,14.36,4200,14.187429
2015-12-09,14.40,14.45,14.39,14.40,1800,14.226949
2015-12-08,14.38,14.51,14.38,14.48,3400,14.246709
2015-12-07,14.63,14.64,14.36,14.36,6100,14.128642
2015-12-04,14.75,14.75,14.56,14.62,14000,14.384453
2015-12-03,14.89,14.89,14.69,14.83,4300,14.59107
2015-12-02,14.75,14.92,14.70,14.91,4900,14.669781
2015-12-01,14.60,14.75,14.60,14.75,6700,14.512359
2015-11-30,14.56,14.66,14.53,14.53,700,14.295903
2015-11-27,14.75,14.75,14.54,14.56,2500,14.325421
2015-11-25,14.64,14.75,14.59,14.71,13000,14.473003
2015-11-24,14.59,14.75,14.54,14.75,3500,14.512359
2015-11-23,14.68,14.68,14.56,14.68,1200,14.443487
2015-11-20,14.64,14.72,14.57,14.65,3000,14.41397
2015-11-19,14.72,14.72,14.72,14.72,100,14.482843
2015-11-18,14.58,14.73,14.47,14.73,5200,14.492681
2015-11-17,14.39,14.66,14.36,14.66,8200,14.423809
2015-11-16,14.23,14.50,14.20,14.50,4600,14.266387
2015-11-13,14.50,14.50,14.20,14.20,12900,13.97122
2015-11-12,14.59,14.64,14.59,14.60,4800,14.364776
2015-11-11,14.60,15.08,14.49,14.75,12200,14.512359
2015-11-10,14.76,14.76,14.59,14.60,1400,14.364776
2015-11-09,14.45,15.28,14.45,14.95,9100,14.650103
2015-11-06,14.60,14.60,14.60,14.60,300,14.307124
2015-11-05,14.52,14.75,14.52,14.75,2900,14.454115
2015-11-04,14.40,14.58,14.40,14.57,18300,14.277725
2015-11-03,14.49,14.50,14.46,14.46,8200,14.169932
2015-11-02,14.50,14.50,14.37,14.49,6000,14.19933
2015-10-30,14.37,14.45,14.31,14.42,12000,14.130735
2015-10-29,14.27,14.33,14.27,14.33,3400,14.04254
2015-10-28,14.34,14.34,14.20,14.27,6600,13.983744
2015-10-27,14.10,14.50,14.10,14.40,15800,14.111136
2015-10-26,14.09,14.21,14.09,14.11,3500,13.826953
2015-10-23,14.25,14.28,14.15,14.23,5800,13.944546
2015-10-22,14.62,15.26,14.14,14.14,40000,13.856352
2015-10-21,14.80,14.80,14.76,14.76,3100,14.463915
2015-10-20,14.80,14.80,14.69,14.69,2100,14.395318
2015-10-19,14.64,14.82,14.46,14.75,23400,14.454115
2015-10-16,14.63,14.68,14.63,14.68,2600,14.385519
2015-10-15,14.78,14.79,14.63,14.63,4900,14.336522
2015-10-14,14.79,14.79,14.65,14.79,11000,14.493313
2015-10-13,14.12,14.82,14.12,14.82,9600,14.463914
2015-10-12,14.12,14.13,14.12,14.13,1800,13.790494
2015-10-09,14.02,14.11,14.02,14.11,5000,13.770974
2015-10-08,14.02,14.08,14.02,14.03,7100,13.692896
2015-10-07,14.02,14.02,13.92,14.02,1800,13.683137
2015-10-06,14.07,14.07,14.07,14.07,3100,13.731935
2015-10-05,14.07,14.07,14.07,14.07,800,13.731935
2015-10-02,13.91,14.02,13.85,14.00,5100,13.663617
2015-10-01,13.98,14.05,13.98,14.00,1100,13.663617
2015-09-30,13.98,14.05,13.98,14.05,2700,13.712416
2015-09-29,14.05,14.05,13.92,14.05,4100,13.712416
2015-09-28,14.03,14.08,14.02,14.05,6600,13.712416
2015-09-25,13.92,14.03,13.91,14.01,8400,13.673377
2015-09-24,13.66,13.85,13.64,13.85,17900,13.517222
2015-09-23,13.80,13.80,13.80,13.80,800,13.468423
2015-09-22,13.70,13.90,13.70,13.88,1800,13.546501
2015-09-21,13.60,13.70,13.60,13.70,7000,13.370825
2015-09-18,13.71,13.71,13.61,13.61,2000,13.282987
2015-09-17,13.62,13.66,13.49,13.66,1300,13.331786
2015-09-16,13.79,13.79,13.56,13.57,6900,13.243949
2015-09-15,13.82,13.82,13.71,13.72,4600,13.390345
2015-09-14,13.98,13.98,13.81,13.93,1900,13.595299
2015-09-11,13.99,13.99,13.94,13.96,6400,13.624578
2015-09-10,13.86,13.99,13.86,13.99,4400,13.653857
2015-09-09,13.84,13.86,13.81,13.86,5400,13.526981
2015-09-08,13.93,13.93,13.80,13.81,4400,13.419625
2015-09-04,13.79,13.85,13.79,13.81,7300,13.419625
2015-09-03,13.70,13.80,13.68,13.80,14000,13.409907
2015-09-02,13.72,13.84,13.72,13.77,4100,13.380755
2015-09-01,13.68,13.79,13.61,13.75,23800,13.36132
2015-08-31,13.65,13.69,13.65,13.68,700,13.293299
2015-08-28,13.75,13.75,13.60,13.66,4700,13.273864
2015-08-27,13.67,13.70,13.44,13.65,21500,13.264147
2015-08-26,13.63,13.74,13.55,13.60,4900,13.215561
2015-08-25,13.70,13.70,13.58,13.69,5400,13.303016
2015-08-24,13.75,13.75,13.58,13.58,9400,13.196126
2015-08-21,13.88,13.88,13.54,13.65,28700,13.264147
2015-08-20,13.75,13.78,13.67,13.75,21200,13.36132
2015-08-19,13.72,13.73,13.65,13.67,4400,13.283582
2015-08-18,13.73,13.73,13.68,13.73,4800,13.341885
2015-08-17,13.63,13.72,13.62,13.71,9200,13.322451
2015-08-14,13.64,13.75,13.64,13.75,7300,13.36132
2015-08-13,13.64,13.67,13.64,13.67,1200,13.283582
2015-08-12,13.59,13.67,13.58,13.65,3000,13.264147
2015-08-11,13.51,13.74,13.51,13.65,9800,13.205842
2015-08-10,13.52,13.56,13.49,13.56,7000,13.118771
2015-08-07,13.50,13.55,13.42,13.53,12800,13.089747
2015-08-06,13.47,13.56,13.47,13.48,2600,13.041374
2015-08-05,13.52,13.58,13.44,13.46,9300,13.022025
2015-08-04,13.53,13.69,13.53,13.59,6100,13.147795
2015-08-03,13.56,13.64,13.56,13.61,8600,13.167144
2015-07-31,13.55,13.59,13.55,13.55,8400,13.109097
2015-07-30,13.50,13.52,13.48,13.51,6800,13.070398
2015-07-29,13.50,13.59,13.50,13.50,4300,13.060723
2015-07-28,13.48,13.49,13.45,13.48,9200,13.041374
2015-07-27,13.49,13.49,13.48,13.48,7900,13.041374
2015-07-24,13.52,13.54,13.35,13.48,20300,13.041374
2015-07-23,13.53,13.54,13.42,13.51,5400,13.070398
2015-07-22,13.47,13.52,13.44,13.45,2200,13.01235
2015-07-21,13.39,13.52,13.39,13.39,10600,12.954303
2015-07-20,13.49,13.51,13.43,13.47,6100,13.0317
2015-07-17,13.52,13.57,13.50,13.50,3000,13.060723
2015-07-16,13.62,13.62,13.55,13.55,5500,13.109097
2015-07-15,13.60,13.61,13.53,13.53,5400,13.089747
2015-07-14,13.74,13.74,13.56,13.60,13700,13.099423
2015-07-13,13.62,13.66,13.55,13.65,8800,13.147582
2015-07-10,13.67,13.69,13.53,13.64,9600,13.13795
2015-07-09,13.67,13.75,13.67,13.67,5400,13.166846
2015-07-08,13.77,13.77,13.68,13.68,2400,13.176478
2015-07-07,13.76,13.76,13.67,13.69,9900,13.186109
2015-07-06,13.96,13.96,13.63,13.64,9500,13.13795
2015-07-02,13.67,13.87,13.66,13.87,3400,13.359484
2015-07-01,13.94,13.94,13.70,13.75,5500,13.243901
2015-06-30,13.99,13.99,13.79,13.85,4200,13.340221
2015-06-29,13.89,14.03,13.79,13.92,12400,13.407644
2015-06-26,13.70,13.97,13.63,13.90,6000,13.38838
2015-06-25,13.68,13.76,13.63,13.63,3600,13.128318
2015-06-24,13.73,13.80,13.73,13.80,1400,13.292061
2015-06-23,13.77,13.82,13.72,13.77,6500,13.263166
2015-06-22,13.71,13.76,13.71,13.76,1500,13.253533
