Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.48,13.48,13.45,13.45,3100,13.45
2016-03-10,13.48,13.49,13.44,13.44,5400,13.44
2016-03-09,13.55,13.55,13.43,13.49,3100,13.49
2016-03-08,13.48,13.54,13.46,13.52,7100,13.460001
2016-03-07,13.46,13.48,13.42,13.43,6000,13.3704
2016-03-04,13.50,13.50,13.42,13.42,5600,13.360444
2016-03-03,13.42,13.50,13.42,13.48,4600,13.420177
2016-03-02,13.49,13.49,13.45,13.45,4100,13.390311
2016-03-01,13.47,13.49,13.43,13.49,8200,13.430133
2016-02-29,13.45,13.45,13.42,13.42,1200,13.360444
2016-02-26,13.41,13.41,13.32,13.35,9300,13.290755
2016-02-25,13.37,13.44,13.37,13.44,13200,13.380355
2016-02-24,13.41,13.46,13.39,13.39,19100,13.330577
2016-02-23,13.37,13.46,13.37,13.44,12000,13.380355
2016-02-22,13.46,13.46,13.39,13.39,3200,13.330577
2016-02-19,13.41,13.47,13.41,13.41,4800,13.350488
2016-02-18,13.43,13.44,13.37,13.41,4700,13.350488
2016-02-17,13.37,13.45,13.37,13.45,4000,13.390311
2016-02-16,13.50,13.50,13.39,13.39,13600,13.330577
2016-02-12,13.62,13.62,13.46,13.46,12800,13.400266
2016-02-11,13.62,13.65,13.52,13.52,8800,13.460001
2016-02-10,13.73,13.76,13.71,13.71,7000,13.589423
2016-02-09,13.58,13.71,13.56,13.71,20800,13.589423
2016-02-08,13.72,13.72,13.58,13.59,9400,13.470478
2016-02-05,13.74,13.74,13.62,13.62,1600,13.500214
2016-02-04,13.65,13.70,13.63,13.67,7700,13.549775
2016-02-03,13.59,13.69,13.56,13.69,9300,13.569598
2016-02-02,13.52,13.58,13.52,13.53,2600,13.411005
2016-02-01,13.40,13.51,13.33,13.51,8900,13.391182
2016-01-29,13.49,13.55,13.49,13.49,4000,13.371357
2016-01-28,13.32,13.47,13.30,13.47,20000,13.351534
2016-01-27,13.27,13.31,13.26,13.29,16800,13.173116
2016-01-26,13.24,13.28,13.24,13.27,20200,13.153293
2016-01-25,13.18,13.24,13.12,13.23,30900,13.113644
2016-01-22,13.12,13.20,13.10,13.20,6300,13.083908
2016-01-21,13.06,13.09,12.94,13.09,16200,12.974876
2016-01-20,13.16,13.22,12.99,12.99,8600,12.875755
2016-01-19,13.19,13.25,13.18,13.18,7800,13.064084
2016-01-15,13.17,13.25,13.16,13.16,16600,13.04426
2016-01-14,13.10,13.22,13.10,13.22,2500,13.103732
2016-01-13,13.24,13.26,13.08,13.10,6800,12.984788
2016-01-12,13.23,13.32,13.23,13.31,5100,13.133469
2016-01-11,13.23,13.30,13.19,13.28,16700,13.103866
2016-01-08,13.25,13.30,13.25,13.29,1700,13.113734
2016-01-07,13.25,13.33,13.25,13.30,4700,13.123602
2016-01-06,13.27,13.27,13.12,13.22,6400,13.044663
2016-01-05,13.11,13.21,13.11,13.17,8800,12.995326
2016-01-04,13.14,13.14,13.10,13.11,6600,12.936121
2015-12-31,13.13,13.19,12.99,12.99,18100,12.817713
2015-12-30,13.06,13.11,13.03,13.08,8300,12.906519
2015-12-29,13.13,13.13,13.04,13.04,2500,12.86705
2015-12-28,13.08,13.08,13.05,13.08,5000,12.906519
2015-12-24,13.01,13.10,13.01,13.10,4900,12.926254
2015-12-23,12.99,13.04,12.96,13.00,12200,12.82758
2015-12-22,13.00,13.00,12.95,12.98,5700,12.807845
2015-12-21,13.00,13.04,12.96,12.96,4800,12.788111
2015-12-18,12.95,12.99,12.93,12.97,13800,12.797979
2015-12-17,12.89,12.95,12.89,12.94,7200,12.768376
2015-12-16,12.80,12.89,12.79,12.87,10100,12.699304
2015-12-15,12.79,12.83,12.79,12.80,9300,12.630233
2015-12-14,12.94,12.96,12.79,12.83,12200,12.659835
2015-12-11,13.04,13.07,12.94,13.01,9400,12.837448
2015-12-10,12.99,13.07,12.99,13.07,7100,12.896652
2015-12-09,13.09,13.09,13.03,13.04,2300,12.86705
2015-12-08,13.07,13.12,13.07,13.12,3300,12.886784
2015-12-07,13.11,13.12,13.06,13.09,7000,12.857318
2015-12-04,13.05,13.10,13.05,13.10,7400,12.86714
2015-12-03,13.03,13.10,12.94,13.09,30900,12.857318
2015-12-02,13.07,13.09,13.07,13.09,10800,12.857318
2015-12-01,13.08,13.08,13.08,13.08,1900,12.847495
2015-11-30,12.98,13.03,12.98,13.02,4600,12.788562
2015-11-27,13.02,13.02,12.96,13.02,2800,12.788562
2015-11-25,13.00,13.00,12.95,12.97,4000,12.739451
2015-11-24,12.94,12.95,12.93,12.93,13300,12.700162
2015-11-23,12.94,12.97,12.92,12.94,2100,12.709983
2015-11-20,12.96,13.00,12.90,12.93,20300,12.700162
2015-11-19,12.95,12.98,12.94,12.94,5700,12.709983
2015-11-18,12.85,12.93,12.85,12.93,8200,12.700162
2015-11-17,12.89,12.91,12.89,12.91,11100,12.680517
2015-11-16,12.89,12.91,12.89,12.89,3500,12.660873
2015-11-13,12.81,12.86,12.81,12.86,4800,12.631406
2015-11-12,12.79,12.81,12.76,12.80,7100,12.572473
2015-11-11,12.71,12.80,12.69,12.80,6500,12.572473
2015-11-10,12.62,12.78,12.62,12.78,8400,12.552828
2015-11-09,12.80,12.80,12.75,12.77,6500,12.479161
2015-11-06,12.97,12.97,12.82,12.85,4300,12.557339
2015-11-05,13.00,13.00,12.95,12.99,38500,12.69415
2015-11-04,12.99,13.02,12.99,13.00,1500,12.703923
2015-11-03,13.01,13.05,12.99,12.99,11800,12.69415
2015-11-02,13.02,13.02,13.00,13.00,13700,12.703923
2015-10-30,13.03,13.03,12.91,12.97,60400,12.674606
2015-10-29,12.97,13.00,12.86,13.00,67400,12.703923
2015-10-28,13.00,13.04,12.98,13.04,6500,12.743012
2015-10-27,13.02,13.02,12.97,12.98,5000,12.684378
2015-10-26,13.02,13.03,13.02,13.02,12200,12.723468
2015-10-23,13.01,13.02,12.93,13.02,3300,12.723468
2015-10-22,12.99,13.00,12.92,12.99,9100,12.69415
2015-10-21,12.93,12.98,12.93,12.98,2000,12.684378
2015-10-20,12.95,12.97,12.86,12.86,1300,12.567111
2015-10-19,12.92,12.94,12.90,12.94,3500,12.645289
2015-10-16,12.89,12.90,12.88,12.90,4600,12.6062
2015-10-15,12.93,12.93,12.90,12.90,2400,12.6062
2015-10-14,12.93,12.93,12.91,12.92,5000,12.625745
2015-10-13,12.84,12.94,12.84,12.87,6600,12.513364
2015-10-12,12.82,12.89,12.81,12.85,7200,12.493919
2015-10-09,12.77,12.83,12.77,12.83,300,12.474473
2015-10-08,12.81,12.82,12.81,12.82,2300,12.46475
2015-10-07,12.76,12.80,12.73,12.79,5400,12.435581
2015-10-06,12.74,12.80,12.74,12.74,2000,12.386967
2015-10-05,12.82,12.82,12.76,12.77,5800,12.416136
2015-10-02,12.85,12.87,12.79,12.79,5000,12.435581
2015-10-01,12.81,12.86,12.81,12.81,4000,12.455027
2015-09-30,12.80,12.81,12.75,12.80,6100,12.445304
2015-09-29,12.73,12.76,12.69,12.74,7700,12.386967
2015-09-28,12.81,12.81,12.66,12.68,18200,12.32863
2015-09-25,12.78,12.82,12.77,12.80,4600,12.445304
2015-09-24,12.80,12.80,12.76,12.78,3000,12.425858
2015-09-23,12.78,12.79,12.77,12.77,3700,12.416136
2015-09-22,12.73,12.83,12.67,12.77,14400,12.416136
2015-09-21,12.87,12.87,12.79,12.80,6600,12.445304
2015-09-18,12.81,12.85,12.81,12.85,5600,12.493919
2015-09-17,12.66,12.76,12.66,12.76,5300,12.406413
2015-09-16,12.61,12.71,12.61,12.71,5900,12.357798
2015-09-15,12.66,12.76,12.58,12.60,6200,12.250847
2015-09-14,12.76,12.80,12.67,12.67,3000,12.318907
2015-09-11,12.76,12.79,12.74,12.74,3800,12.386967
2015-09-10,12.77,12.81,12.72,12.72,8300,12.367521
2015-09-09,12.86,12.86,12.76,12.76,6000,12.406413
2015-09-08,12.74,12.96,12.74,12.86,24300,12.440442
2015-09-04,12.67,12.72,12.67,12.72,5300,12.30501
2015-09-03,12.68,12.69,12.65,12.69,4400,12.275988
2015-09-02,12.62,12.65,12.62,12.65,1800,12.237293
2015-09-01,12.58,12.70,12.58,12.67,10200,12.256641
2015-08-31,12.67,12.72,12.62,12.62,10800,12.208272
2015-08-28,12.71,12.72,12.65,12.65,6200,12.237293
2015-08-27,12.70,12.72,12.56,12.64,7500,12.22762
2015-08-26,12.75,12.77,12.65,12.65,1800,12.237293
2015-08-25,12.73,12.84,12.70,12.70,2900,12.285662
2015-08-24,12.50,12.75,12.50,12.75,7400,12.334031
2015-08-21,12.84,12.91,12.83,12.86,11800,12.440442
2015-08-20,12.89,12.92,12.86,12.92,3800,12.498485
2015-08-19,12.89,12.92,12.89,12.92,8800,12.498485
2015-08-18,12.98,12.98,12.89,12.93,5800,12.508159
2015-08-17,12.90,12.99,12.87,12.99,4600,12.566201
2015-08-14,12.93,12.97,12.89,12.97,5600,12.546854
2015-08-13,12.81,12.92,12.81,12.90,16600,12.479137
2015-08-12,12.86,12.88,12.82,12.85,25000,12.430769
2015-08-11,12.85,12.99,12.85,12.89,3400,12.406585
2015-08-10,12.70,12.85,12.70,12.85,55300,12.368085
2015-08-07,12.71,12.79,12.71,12.73,4100,12.252585
2015-08-06,12.73,12.74,12.73,12.74,1000,12.26221
2015-08-05,12.78,12.78,12.78,12.78,000,12.30071
2015-08-04,12.79,12.83,12.76,12.78,3700,12.30071
2015-08-03,12.75,12.80,12.75,12.79,1600,12.310335
2015-07-31,12.76,12.76,12.72,12.73,9500,12.252585
2015-07-30,12.63,12.70,12.58,12.70,17200,12.22371
2015-07-29,12.62,12.66,12.59,12.65,16000,12.175585
