Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.59,13.76,13.58,13.64,50100,13.64
2016-03-10,13.55,13.60,13.50,13.55,52300,13.55
2016-03-09,13.58,13.58,13.41,13.50,72800,13.50
2016-03-08,13.62,13.69,13.60,13.61,27200,13.454
2016-03-07,13.53,13.72,13.46,13.62,53800,13.463885
2016-03-04,13.42,13.58,13.39,13.58,54600,13.424344
2016-03-03,13.23,13.34,13.18,13.33,24900,13.177209
2016-03-02,13.21,13.26,13.17,13.24,35300,13.088241
2016-03-01,13.07,13.30,13.07,13.26,40000,13.108012
2016-02-29,13.02,13.13,13.01,13.10,43400,12.949846
2016-02-26,13.01,13.04,12.96,12.99,27000,12.841106
2016-02-25,12.89,12.97,12.85,12.94,64900,12.791679
2016-02-24,12.84,12.84,12.75,12.84,55300,12.692826
2016-02-23,12.81,12.87,12.75,12.81,35800,12.66317
2016-02-22,12.81,12.84,12.68,12.81,100600,12.66317
2016-02-19,12.59,12.68,12.56,12.67,29500,12.524775
2016-02-18,12.69,12.71,12.62,12.68,39100,12.53466
2016-02-17,12.55,12.67,12.52,12.64,167100,12.495119
2016-02-16,12.52,12.54,12.41,12.48,24500,12.336952
2016-02-12,12.41,12.48,12.35,12.44,24600,12.29741
2016-02-11,12.39,12.40,12.16,12.36,52800,12.218327
2016-02-10,12.54,12.54,12.44,12.47,33600,12.327067
2016-02-09,12.54,12.68,12.33,12.48,48100,12.336952
2016-02-08,12.80,13.15,12.66,12.70,39400,12.400219
2016-02-05,13.00,13.06,12.90,12.97,28800,12.663846
2016-02-04,12.99,13.10,12.93,13.02,28400,12.712666
2016-02-03,13.00,13.05,12.88,12.96,38400,12.654082
2016-02-02,13.04,13.08,12.94,12.94,18900,12.634553
2016-02-01,13.02,13.11,13.01,13.08,16100,12.771249
2016-01-29,12.95,13.09,12.94,13.09,45100,12.781013
2016-01-28,12.88,12.95,12.78,12.94,77400,12.634553
2016-01-27,12.84,12.87,12.73,12.82,36100,12.517386
2016-01-26,12.71,12.90,12.69,12.90,27300,12.595498
2016-01-25,12.71,12.78,12.53,12.63,55700,12.331871
2016-01-22,12.76,12.80,12.67,12.74,30200,12.439274
2016-01-21,12.55,12.82,12.34,12.62,74300,12.322107
2016-01-20,12.52,12.55,12.14,12.52,63200,12.224468
2016-01-19,12.96,12.96,12.53,12.71,98200,12.409983
2016-01-15,13.03,13.04,12.72,12.98,80200,12.673609
2016-01-14,13.25,13.25,13.10,13.19,59000,12.878652
2016-01-13,13.64,13.71,13.26,13.27,65400,12.956765
2016-01-12,13.73,13.82,13.47,13.67,77700,13.347322
2016-01-11,13.80,13.82,13.54,13.73,62300,13.405906
2016-01-08,13.94,13.99,13.77,13.83,45900,13.503545
2016-01-07,13.88,13.98,13.85,13.98,35500,13.650004
2016-01-06,13.97,14.10,13.95,14.04,44500,13.708588
2016-01-05,14.03,14.21,14.03,14.20,29800,13.712493
2016-01-04,13.94,14.12,13.91,14.07,29900,13.586956
2015-12-31,13.97,14.17,13.94,14.13,59900,13.644897
2015-12-30,14.02,14.04,13.90,14.00,57400,13.51936
2015-12-29,13.95,14.05,13.89,14.04,80700,13.557987
2015-12-28,14.12,14.14,13.87,13.88,67400,13.40348
2015-12-24,14.18,14.24,14.09,14.10,39000,13.615927
2015-12-23,14.15,14.26,14.09,14.14,85000,13.654554
2015-12-22,14.05,14.15,13.97,14.12,44900,13.63524
2015-12-21,14.04,14.10,13.99,14.09,28400,13.60627
2015-12-18,14.00,14.10,13.91,14.03,44100,13.54833
2015-12-17,13.92,14.00,13.92,13.95,43200,13.471076
2015-12-16,13.65,13.91,13.65,13.89,63100,13.413137
2015-12-15,13.50,13.68,13.45,13.61,123100,13.142749
2015-12-14,13.63,13.66,13.17,13.43,74300,12.968929
