Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,79.339996,79.339996,78.400002,78.400002,69000,78.400002
2016-03-10,79.660004,79.730003,78.800003,79.25,48700,79.25
2016-03-09,79.519997,79.82,79.309998,79.57,66600,79.57
2016-03-08,80.199997,80.589996,80.00,80.089996,43900,80.089996
2016-03-07,79.129997,79.199997,78.910004,79.18,45200,79.18
2016-03-04,79.309998,79.540001,78.709999,79.239998,82400,79.239998
2016-03-03,79.510002,79.940002,79.32,79.690002,42600,79.690002
2016-03-02,79.059998,79.480003,79.010002,79.389999,125100,79.389999
2016-03-01,80.540001,80.540001,79.099998,79.209999,124900,79.209999
2016-02-29,80.330002,80.699997,80.330002,80.57,190100,80.409001
2016-02-26,80.260002,80.510002,80.110001,80.349998,90900,80.189439
2016-02-25,80.959999,81.57,80.839996,81.120003,101800,80.957905
2016-02-24,81.489998,82.00,80.599998,80.839996,126400,80.678458
2016-02-23,79.959999,81.00,79.940002,80.93,67300,80.768282
2016-02-22,80.709999,80.730003,80.480003,80.599998,44500,80.43894
2016-02-19,80.620003,81.099998,80.50,80.660004,527100,80.498825
2016-02-18,79.730003,80.620003,79.730003,80.620003,45000,80.458904
2016-02-17,79.889999,79.949997,79.339996,79.709999,86400,79.550719
2016-02-16,80.360001,80.440002,79.949997,80.239998,207700,80.079659
2016-02-12,81.599998,81.910004,80.599998,81.040001,216700,80.878063
2016-02-11,82.629997,83.050003,81.860001,82.32,176100,82.155504
2016-02-10,81.00,81.68,80.709999,81.68,189600,81.516784
2016-02-09,81.269997,81.269997,80.760002,81.089996,125700,80.927959
2016-02-08,79.910004,81.00,79.910004,80.989998,124000,80.82816
2016-02-05,78.879997,79.489998,78.709999,79.449997,77500,79.291236
2016-02-04,79.029999,79.360001,78.75,79.360001,545300,79.20142
2016-02-03,79.059998,80.00,78.93,79.019997,94300,78.862095
2016-02-02,78.980003,79.480003,78.93,79.459999,160500,79.301218
2016-02-01,78.209999,78.400002,77.980003,78.190002,171700,78.03376
2016-01-29,78.580002,78.849998,78.349998,78.519997,100700,78.219381
2016-01-28,77.510002,77.959999,77.470001,77.910004,57200,77.611723
2016-01-27,77.639999,77.900002,77.260002,77.82,28400,77.522064
2016-01-26,77.739998,77.970001,77.620003,77.900002,124800,77.601759
2016-01-25,77.739998,77.93,77.57,77.860001,39400,77.561912
2016-01-22,77.099998,77.50,76.900002,77.43,628800,77.133558
2016-01-21,78.290001,78.419998,77.57,77.639999,161800,77.342753
2016-01-20,78.32,78.860001,78.010002,78.160004,150600,77.860766
2016-01-19,77.25,77.75,77.169998,77.459999,190300,77.163441
2016-01-15,77.410004,77.709999,77.199997,77.57,200200,77.273021
2016-01-14,76.919998,77.160004,76.25,76.519997,95500,76.227038
2016-01-13,76.360001,77.410004,76.169998,77.199997,49600,76.904435
2016-01-12,75.620003,76.75,75.519997,76.480003,49400,76.187198
2016-01-11,75.470001,75.809998,75.370003,75.470001,59400,75.181062
2016-01-08,75.68,76.300003,75.519997,76.18,100700,75.888343
2016-01-07,75.800003,75.949997,75.339996,75.910004,26600,75.61938
2016-01-06,75.57,75.839996,75.400002,75.68,42600,75.390257
2016-01-05,74.779999,75.050003,74.650002,74.809998,37300,74.523586
2016-01-04,75.269997,75.709999,75.010002,75.589996,61400,75.300598
2015-12-31,74.510002,74.910004,74.290001,74.620003,20500,74.334318
2015-12-30,74.18,74.529999,74.099998,74.230003,35900,73.945812
2015-12-29,75.220001,75.220001,74.269997,74.339996,38900,74.055384
2015-12-28,75.309998,75.75,75.300003,75.440002,19100,75.151178
2015-12-24,75.040001,75.239998,74.959999,75.220001,13700,74.93202
2015-12-23,74.790001,74.980003,74.599998,74.830002,137900,74.543513
2015-12-22,75.800003,75.82,75.419998,75.57,33200,75.080447
2015-12-21,76.279999,76.389999,75.949997,76.059998,24300,75.567271
2015-12-18,76.080002,76.300003,75.919998,76.099998,34800,75.607013
2015-12-17,75.309998,75.860001,75.279999,75.730003,42400,75.239414
2015-12-16,74.870003,75.419998,74.599998,75.040001,71600,74.553882
