Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.70,13.78,13.70,13.72,80000,13.72
2016-03-10,13.78,13.78,13.70,13.70,113100,13.70
2016-03-09,13.82,13.85,13.77,13.77,107000,13.697001
2016-03-08,13.79,13.84,13.77,13.77,132000,13.697001
2016-03-07,13.75,13.79,13.73,13.79,161800,13.716894
2016-03-04,13.81,13.87,13.71,13.71,259900,13.637318
2016-03-03,13.79,13.81,13.76,13.78,113900,13.706947
2016-03-02,13.73,13.80,13.68,13.77,183900,13.697001
2016-03-01,13.67,13.74,13.63,13.74,179100,13.667159
2016-02-29,13.74,13.74,13.61,13.61,172800,13.537848
2016-02-26,13.72,13.72,13.63,13.65,175500,13.577636
2016-02-25,13.77,13.79,13.73,13.74,122900,13.667159
2016-02-24,13.67,13.75,13.67,13.75,240900,13.677106
2016-02-23,13.58,13.69,13.58,13.66,116400,13.587583
2016-02-22,13.73,13.73,13.56,13.56,146100,13.488114
2016-02-19,13.64,13.67,13.61,13.67,103000,13.597531
2016-02-18,13.56,13.63,13.54,13.62,222900,13.547795
2016-02-17,13.54,13.57,13.49,13.55,257300,13.478167
2016-02-16,13.60,13.62,13.48,13.49,231400,13.418484
2016-02-12,13.74,13.77,13.57,13.59,226800,13.517955
2016-02-11,13.75,13.79,13.71,13.71,165700,13.637318
2016-02-10,13.72,13.78,13.71,13.72,90500,13.647266
2016-02-09,13.80,13.82,13.73,13.73,164300,13.584599
2016-02-08,13.75,13.83,13.74,13.75,185700,13.604387
2016-02-05,13.72,13.75,13.68,13.70,166200,13.554917
2016-02-04,13.74,13.74,13.65,13.65,73800,13.505446
2016-02-03,13.74,13.77,13.67,13.68,132700,13.535129
2016-02-02,13.70,13.76,13.69,13.69,104200,13.545022
2016-02-01,13.69,13.70,13.64,13.66,161900,13.51534
2016-01-29,13.60,13.66,13.57,13.66,221500,13.51534
2016-01-28,13.51,13.57,13.48,13.57,239400,13.426293
2016-01-27,13.49,13.52,13.45,13.45,232000,13.307564
2016-01-26,13.53,13.56,13.46,13.48,214500,13.337246
2016-01-25,13.50,13.50,13.43,13.49,175900,13.34714
2016-01-22,13.51,13.52,13.41,13.47,120400,13.327353
2016-01-21,13.41,13.47,13.35,13.38,110600,13.238306
2016-01-20,13.51,13.51,13.29,13.37,279000,13.228411
2016-01-19,13.47,13.54,13.45,13.46,176300,13.317458
2016-01-15,13.41,13.56,13.41,13.46,279700,13.317458
2016-01-14,13.40,13.49,13.40,13.48,175300,13.337246
2016-01-13,13.53,13.54,13.40,13.40,138700,13.258093
2016-01-12,13.56,13.60,13.53,13.60,147300,13.383749
2016-01-11,13.49,13.58,13.47,13.56,282700,13.344385
2016-01-08,13.52,13.52,13.44,13.49,205300,13.275497
2016-01-07,13.54,13.63,13.53,13.54,135900,13.324702
2016-01-06,13.55,13.59,13.50,13.52,142300,13.305021
2016-01-05,13.41,13.53,13.41,13.49,230000,13.275497
2016-01-04,13.28,13.42,13.28,13.42,118100,13.206611
2015-12-31,13.40,13.43,13.33,13.33,133900,13.118042
2015-12-30,13.30,13.37,13.30,13.36,76200,13.147564
2015-12-29,13.31,13.36,13.31,13.35,135100,13.137724
2015-12-28,13.30,13.35,13.27,13.32,168300,13.1082
