Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,60.900002,60.950001,60.900002,60.950001,41800,60.950001
2016-03-10,60.950001,60.990002,60.939999,60.939999,166700,60.939999
2016-03-09,60.959999,61.009998,60.959999,60.970001,31000,60.970001
2016-03-08,61.029999,61.040001,60.990002,61.00,157700,61.00
2016-03-07,60.990002,61.00,60.939999,60.98,125500,60.98
2016-03-04,61.029999,61.060001,61.00,61.02,51900,61.02
2016-03-03,61.029999,61.060001,61.00,61.060001,175600,61.060001
2016-03-02,61.029999,61.049999,60.990002,61.02,180500,61.02
2016-03-01,61.119999,61.139999,61.02,61.049999,144000,61.049999
2016-02-29,61.119999,61.169998,61.099998,61.139999,117900,61.102001
2016-02-26,61.169998,61.18,61.099998,61.130001,31300,61.092009
2016-02-25,61.169998,61.220001,61.169998,61.209999,123600,61.171957
2016-02-24,61.189999,61.25,61.150002,61.189999,77200,61.151969
2016-02-23,61.130001,61.18,61.110001,61.18,69700,61.141977
2016-02-22,61.150002,61.169998,61.110001,61.169998,209600,61.131981
2016-02-19,61.169998,61.189999,61.139999,61.150002,117300,61.111997
2016-02-18,61.130001,61.209999,61.130001,61.209999,59700,61.171957
2016-02-17,61.130001,61.169998,61.099998,61.169998,170000,61.131981
2016-02-16,61.119999,61.200001,61.119999,61.150002,179800,61.111997
2016-02-12,61.23,61.23,61.16,61.18,78400,61.141977
2016-02-11,61.259998,61.290001,61.220001,61.240002,106900,61.201941
2016-02-10,61.169998,61.200001,61.16,61.200001,89900,61.161965
2016-02-09,61.23,61.240002,61.169998,61.189999,103200,61.151969
2016-02-08,61.189999,61.240002,61.16,61.209999,229000,61.171957
2016-02-05,61.110001,61.16,61.099998,61.139999,133700,61.102001
2016-02-04,61.169998,61.18,61.130001,61.139999,52900,61.102001
2016-02-03,61.150002,61.200001,61.110001,61.150002,114900,61.111997
2016-02-02,61.099998,61.139999,61.060001,61.139999,87900,61.102001
2016-02-01,61.07,61.07,61.009998,61.029999,115300,60.992069
2016-01-29,61.060001,61.150002,61.049999,61.110001,431600,61.046036
2016-01-28,61.040001,61.07,61.009998,61.07,42500,61.006077
2016-01-27,61.009998,61.049999,60.98,61.049999,65000,60.986097
2016-01-26,61.00,61.029999,60.98,61.00,394400,60.93615
2016-01-25,60.970001,61.00,60.959999,60.959999,88800,60.896191
2016-01-22,60.970001,61.00,60.93,61.00,107800,60.93615
2016-01-21,61.02,61.029999,60.98,61.00,115700,60.93615
2016-01-20,61.029999,61.07,60.98,61.029999,347800,60.966118
2016-01-19,60.970001,60.990002,60.919998,60.970001,184300,60.906183
2016-01-15,61.00,61.029999,60.970001,61.00,357900,60.93615
2016-01-14,60.91,60.950001,60.889999,60.939999,97600,60.876212
2016-01-13,60.889999,60.950001,60.869999,60.93,183000,60.866224
2016-01-12,60.860001,60.93,60.84,60.869999,181300,60.806285
2016-01-11,60.860001,60.900002,60.830002,60.860001,239200,60.796297
2016-01-08,60.860001,60.880001,60.82,60.880001,200300,60.816277
2016-01-07,60.810001,60.84,60.790001,60.84,159500,60.776318
2016-01-06,60.759998,60.799999,60.75,60.799999,63800,60.736359
2016-01-05,60.740002,60.77,60.700001,60.740002,119800,60.676424
2016-01-04,60.790001,60.799999,60.73,60.73,170800,60.666432
2015-12-31,60.77,60.77,60.709999,60.759998,70800,60.6964
2015-12-30,60.709999,60.75,60.68,60.73,260400,60.666432
2015-12-29,60.720001,60.75,60.700001,60.700001,52900,60.636465
2015-12-28,60.740002,60.759998,60.700001,60.740002,111700,60.676424
2015-12-24,60.720001,60.75,60.709999,60.740002,25200,60.676424
2015-12-23,60.75,60.77,60.720001,60.75,154400,60.686412
2015-12-22,60.84,60.860001,60.810001,60.810001,176400,60.666433
2015-12-21,60.860001,60.860001,60.82,60.84,35400,60.696361
2015-12-18,60.84,60.880001,60.799999,60.860001,173400,60.716314
2015-12-17,60.799999,60.810001,60.790001,60.810001,142700,60.666433
2015-12-16,60.810001,60.84,60.77,60.77,122500,60.626526
2015-12-15,60.82,60.860001,60.810001,60.830002,105100,60.686386
2015-12-14,60.880001,60.900002,60.830002,60.849998,154900,60.706335
2015-12-11,60.860001,60.950001,60.860001,60.950001,35600,60.806101
2015-12-10,60.869999,60.900002,60.830002,60.830002,35200,60.686386
2015-12-09,60.830002,60.880001,60.830002,60.869999,19500,60.726289
2015-12-08,60.880001,60.880001,60.830002,60.849998,35200,60.706335
2015-12-07,60.869999,60.880001,60.849998,60.860001,39600,60.716314
2015-12-04,60.84,60.889999,60.830002,60.849998,52900,60.706335
2015-12-03,60.849998,60.869999,60.779999,60.849998,79900,60.706335
2015-12-02,60.849998,60.880001,60.830002,60.860001,35800,60.716314
2015-12-01,60.889999,60.93,60.860001,60.900002,57800,60.75622
2015-11-30,60.91,60.93,60.889999,60.91,116200,60.733273
2015-11-27,60.900002,60.93,60.889999,60.919998,4400,60.743243
2015-11-25,60.919998,60.93,60.880001,60.919998,70500,60.743243
2015-11-24,60.889999,60.959999,60.889999,60.93,22800,60.753216
2015-11-23,60.91,60.91,60.869999,60.91,36200,60.733273
2015-11-20,60.91,60.950001,60.900002,60.900002,22300,60.723304
2015-11-19,60.919998,60.950001,60.91,60.91,35800,60.733273
2015-11-18,60.93,60.959999,60.919998,60.919998,879100,60.743243
2015-11-17,60.919998,60.98,60.919998,60.970001,923600,60.793101
2015-11-16,60.990002,61.00,60.959999,60.959999,41900,60.783128
2015-11-13,60.939999,60.98,60.939999,60.970001,83500,60.793101
2015-11-12,60.900002,60.950001,60.880001,60.91,20000,60.733273
2015-11-11,60.93,60.93,60.869999,60.91,33900,60.733273
2015-11-10,60.919998,60.939999,60.889999,60.93,50400,60.753216
2015-11-09,60.889999,60.91,60.869999,60.880001,88300,60.703362
2015-11-06,60.900002,60.91,60.869999,60.91,71000,60.733273
2015-11-05,60.950001,60.98,60.919998,60.950001,79000,60.773158
2015-11-04,61.00,61.029999,60.959999,60.970001,87900,60.793101
2015-11-03,61.029999,61.040001,61.00,61.02,47500,60.842955
2015-11-02,61.009998,61.040001,61.00,61.02,527700,60.842955
2015-10-30,61.080002,61.119999,61.060001,61.080002,59900,60.902782
2015-10-29,61.130001,61.130001,61.09,61.110001,34000,60.932694
2015-10-28,61.209999,61.23,61.099998,61.130001,31600,60.952636
2015-10-27,61.220001,61.240002,61.189999,61.209999,46900,61.032402
2015-10-26,61.200001,61.209999,61.18,61.189999,150500,61.01246
2015-10-23,61.200001,61.23,61.169998,61.200001,66500,61.022433
2015-10-22,61.240002,61.25,61.209999,61.220001,91500,61.042375
