Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.30,12.30,12.20,12.20,63000,12.20
2016-03-10,12.26,12.30,12.22,12.27,106400,12.27
2016-03-09,12.35,12.39,12.30,12.32,130100,12.255
2016-03-08,12.26,12.34,12.26,12.30,92900,12.235106
2016-03-07,12.27,12.32,12.21,12.32,135600,12.255
2016-03-04,12.22,12.30,12.20,12.24,189200,12.175422
2016-03-03,12.16,12.23,12.14,12.22,101000,12.155528
2016-03-02,12.10,12.18,12.07,12.13,111100,12.066003
2016-03-01,12.19,12.24,12.10,12.10,189400,12.036161
2016-02-29,12.20,12.20,12.12,12.12,93600,12.056055
2016-02-26,12.24,12.24,12.13,12.13,74300,12.066003
2016-02-25,12.26,12.30,12.19,12.24,134400,12.175422
2016-02-24,12.25,12.35,12.25,12.25,264600,12.185369
2016-02-23,12.13,12.26,12.10,12.25,161000,12.185369
2016-02-22,12.21,12.21,12.07,12.10,106300,12.036161
2016-02-19,12.09,12.22,12.07,12.13,149300,12.066003
2016-02-18,12.02,12.16,12.02,12.06,198500,11.996372
2016-02-17,12.06,12.12,11.95,12.04,256900,11.976477
2016-02-16,12.03,12.08,11.96,12.03,151100,11.96653
2016-02-12,12.21,12.25,12.06,12.07,101100,12.006319
2016-02-11,12.26,12.32,12.17,12.17,74600,12.105792
2016-02-10,12.22,12.29,12.18,12.25,63300,12.185369
2016-02-09,12.29,12.30,12.23,12.23,130500,12.100818
2016-02-08,12.28,12.29,12.22,12.29,94300,12.160184
2016-02-05,12.16,12.28,12.16,12.22,83300,12.090924
2016-02-04,12.26,12.26,12.16,12.16,119800,12.031557
2016-02-03,12.20,12.24,12.18,12.24,109800,12.110712
2016-02-02,12.14,12.22,12.12,12.16,139600,12.031557
2016-02-01,12.09,12.14,12.07,12.14,99400,12.011769
2016-01-29,12.07,12.11,12.00,12.08,99200,11.952402
2016-01-28,12.02,12.02,11.94,11.98,121900,11.853458
2016-01-27,12.05,12.05,11.96,11.96,129000,11.83367
2016-01-26,12.01,12.08,11.97,12.02,146000,11.893037
2016-01-25,11.96,12.06,11.91,11.96,150200,11.83367
2016-01-22,11.91,11.94,11.87,11.94,64100,11.813881
2016-01-21,11.77,11.86,11.76,11.83,162200,11.705043
2016-01-20,11.94,11.96,11.68,11.75,241100,11.625888
2016-01-19,11.93,11.99,11.89,11.89,106400,11.76441
2016-01-15,11.75,11.99,11.75,11.90,177600,11.774303
2016-01-14,11.82,11.89,11.78,11.79,115800,11.665466
2016-01-13,12.00,12.00,11.79,11.80,212800,11.67536
2016-01-12,12.00,12.05,11.98,12.03,96400,11.838616
2016-01-11,11.99,12.04,11.93,11.96,164700,11.76973
2016-01-08,11.92,12.01,11.92,12.00,214300,11.809094
2016-01-07,12.00,12.00,11.91,11.92,159000,11.730367
2016-01-06,11.90,11.96,11.87,11.91,177100,11.720526
2016-01-05,11.81,11.88,11.80,11.84,143400,11.65164
2016-01-04,11.78,11.84,11.74,11.77,128600,11.582753
2015-12-31,11.82,11.86,11.76,11.78,105800,11.592594
2015-12-30,11.74,11.79,11.68,11.77,130000,11.582753
2015-12-29,11.66,11.73,11.64,11.71,159200,11.523708
2015-12-28,11.60,11.66,11.58,11.63,145100,11.44498
2015-12-24,11.59,11.61,11.55,11.57,58100,11.385934
2015-12-23,11.65,11.70,11.40,11.56,362100,11.376094
2015-12-22,11.63,11.65,11.60,11.62,118200,11.435139
2015-12-21,11.56,11.65,11.56,11.61,117600,11.425298
2015-12-18,11.54,11.64,11.54,11.55,181900,11.366253
2015-12-17,11.52,11.59,11.47,11.57,199100,11.385934
2015-12-16,11.40,11.45,11.39,11.44,211300,11.258002
2015-12-15,11.40,11.48,11.40,11.43,200700,11.248162
2015-12-14,11.53,11.53,11.36,11.36,200000,11.179275
2015-12-11,11.51,11.55,11.47,11.49,123800,11.307207
2015-12-10,11.47,11.52,11.45,11.52,79300,11.336731
2015-12-09,11.47,11.52,11.43,11.47,74800,11.287526
2015-12-08,11.49,11.55,11.49,11.53,85900,11.282605
2015-12-07,11.50,11.51,11.45,11.45,141900,11.204322
2015-12-04,11.42,11.52,11.41,11.49,129400,11.243463
2015-12-03,11.48,11.48,11.40,11.45,114700,11.204322
2015-12-02,11.57,11.57,11.48,11.48,125400,11.233678
2015-12-01,11.52,11.56,11.52,11.52,90200,11.27282
2015-11-30,11.49,11.54,11.47,11.47,140300,11.223893
2015-11-27,11.49,11.49,11.47,11.49,29400,11.243463
2015-11-25,11.48,11.49,11.44,11.49,47600,11.243463
2015-11-24,11.48,11.51,11.39,11.46,107800,11.214107
2015-11-23,11.36,11.50,11.36,11.46,112400,11.214107
2015-11-20,11.42,11.42,11.32,11.34,190000,11.096682
2015-11-19,11.32,11.39,11.31,11.38,57300,11.135824
2015-11-18,11.33,11.35,11.32,11.32,28500,11.077111
2015-11-17,11.32,11.34,11.29,11.31,64900,11.067326
2015-11-16,11.35,11.39,11.32,11.32,64500,11.077111
2015-11-13,11.31,11.38,11.28,11.36,61900,11.116253
2015-11-12,11.36,11.36,11.28,11.28,105400,11.037969
2015-11-11,11.34,11.40,11.29,11.40,161400,11.091789
2015-11-10,11.28,11.32,11.24,11.32,116200,11.013952
2015-11-09,11.25,11.25,11.14,11.25,109500,10.945845
2015-11-06,11.38,11.38,11.25,11.25,188300,10.945845
2015-11-05,11.49,11.54,11.40,11.40,105600,11.091789
2015-11-04,11.47,11.53,11.45,11.49,162400,11.179356
2015-11-03,11.56,11.57,11.50,11.53,94200,11.218275
2015-11-02,11.50,11.53,11.47,11.53,126600,11.218275
2015-10-30,11.44,11.48,11.39,11.48,76400,11.169626
2015-10-29,11.33,11.41,11.30,11.39,77200,11.08206
2015-10-28,11.32,11.35,11.28,11.34,189200,11.033412
2015-10-27,11.41,11.43,11.28,11.29,231800,10.984763
2015-10-26,11.42,11.44,11.32,11.32,160200,11.013952
2015-10-23,11.36,11.40,11.34,11.40,41700,11.091789
2015-10-22,11.32,11.41,11.31,11.33,182600,11.023682
2015-10-21,11.35,11.40,11.31,11.33,279800,11.023682
2015-10-20,11.37,11.43,11.36,11.37,117600,11.0626
2015-10-19,11.38,11.50,11.35,11.36,129700,11.052871
2015-10-16,11.40,11.43,11.35,11.35,81000,11.043142
2015-10-15,11.39,11.43,11.35,11.35,64400,11.043142
2015-10-14,11.35,11.50,11.33,11.37,88800,11.0626
2015-10-13,11.36,11.38,11.32,11.32,40100,11.013952
2015-10-12,11.43,11.48,11.40,11.41,77500,11.038276
2015-10-09,11.42,11.42,11.38,11.40,44900,11.028602
2015-10-08,11.42,11.44,11.38,11.44,31900,11.067299
2015-10-07,11.41,11.45,11.38,11.39,100800,11.018928
2015-10-06,11.42,11.44,11.40,11.41,48300,11.038276
2015-10-05,11.43,11.44,11.39,11.40,111200,11.028602
2015-10-02,11.40,11.45,11.37,11.41,109000,11.038276
2015-10-01,11.35,11.39,11.34,11.37,47800,10.999579
2015-09-30,11.30,11.35,11.27,11.35,79500,10.980231
2015-09-29,11.22,11.32,11.22,11.30,73100,10.93186
2015-09-28,11.27,11.31,11.19,11.19,52300,10.825443
2015-09-25,11.22,11.31,11.20,11.29,96700,10.922186
2015-09-24,11.32,11.32,11.23,11.24,40600,10.873814
2015-09-23,11.29,11.31,11.25,11.29,50200,10.922186
2015-09-22,11.18,11.28,11.17,11.28,34100,10.912511
2015-09-21,11.17,11.22,11.17,11.19,30200,10.825443
2015-09-18,11.13,11.29,11.12,11.21,55500,10.844792
2015-09-17,11.05,11.16,11.00,11.13,84500,10.767398
2015-09-16,11.00,11.05,10.99,11.03,54800,10.670656
2015-09-15,11.08,11.08,11.00,11.02,48800,10.660982
2015-09-14,11.10,11.12,11.08,11.08,80500,10.719027
2015-09-11,11.08,11.09,11.05,11.06,45300,10.699679
2015-09-10,11.12,11.13,11.05,11.05,82300,10.690005
2015-09-09,11.13,11.18,11.13,11.18,60200,10.752887
2015-09-08,11.11,11.16,11.10,11.12,60400,10.695179
2015-09-04,11.03,11.11,11.02,11.11,74900,10.685561
2015-09-03,11.02,11.04,10.98,11.03,95100,10.608617
2015-09-02,11.02,11.02,10.98,10.98,103900,10.560527
2015-09-01,11.02,11.04,10.99,11.04,70800,10.618236
2015-08-31,11.05,11.06,10.98,11.01,74000,10.589382
2015-08-28,11.02,11.03,10.99,11.00,66700,10.579764
2015-08-27,11.05,11.05,11.00,11.02,90200,10.599
2015-08-26,11.08,11.08,10.96,11.01,134900,10.589382
2015-08-25,11.05,11.06,11.03,11.04,61800,10.618236
2015-08-24,11.06,11.11,10.93,11.05,101500,10.627854
2015-08-21,11.24,11.24,11.16,11.16,59200,10.733651
2015-08-20,11.26,11.26,11.19,11.20,43200,10.772123
2015-08-19,11.24,11.24,11.18,11.23,26000,10.800977
2015-08-18,11.21,11.24,11.16,11.24,63100,10.810595
2015-08-17,11.23,11.25,11.20,11.24,58900,10.810595
2015-08-14,11.20,11.24,11.17,11.22,65100,10.791359
2015-08-13,11.22,11.24,11.14,11.24,57900,10.810595
2015-08-12,11.16,11.22,11.16,11.22,78300,10.791359
2015-08-11,11.07,11.16,11.06,11.16,44900,10.733651
2015-08-10,11.12,11.13,11.08,11.08,70700,10.594191
2015-08-07,11.10,11.13,11.08,11.12,85900,10.632437
2015-08-06,11.01,11.08,10.99,11.03,81900,10.546383
2015-08-05,11.10,11.10,11.00,11.00,52500,10.517698
2015-08-04,11.14,11.14,11.10,11.10,53600,10.613314
2015-08-03,11.10,11.16,11.09,11.14,73400,10.65156
2015-07-31,11.09,11.12,11.07,11.07,68700,10.584629
2015-07-30,11.09,11.10,11.04,11.04,69800,10.555945
2015-07-29,11.10,11.12,11.04,11.08,106500,10.594191
2015-07-28,11.07,11.12,11.04,11.08,90700,10.594191
2015-07-27,11.06,11.10,11.06,11.07,41700,10.584629
2015-07-24,11.04,11.06,11.03,11.04,33200,10.555945
2015-07-23,11.03,11.03,11.00,11.02,56800,10.536822
2015-07-22,11.03,11.03,11.00,11.02,57200,10.536822
