Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.08,13.09,13.03,13.03,125400,13.03
2016-03-10,13.08,13.09,13.02,13.09,136800,13.09
2016-03-09,13.12,13.15,13.10,13.10,214900,13.032
2016-03-08,13.11,13.16,13.10,13.10,137700,13.032
2016-03-07,13.07,13.10,13.03,13.10,214800,13.032
2016-03-04,13.10,13.12,13.03,13.03,232100,12.962363
2016-03-03,13.05,13.10,13.04,13.08,225900,13.012104
2016-03-02,13.02,13.02,12.97,13.02,156300,12.952416
2016-03-01,13.06,13.08,12.97,12.98,286300,12.912622
2016-02-29,13.09,13.11,13.02,13.02,348200,12.952416
2016-02-26,13.05,13.05,13.00,13.00,143300,12.932519
2016-02-25,13.05,13.09,13.01,13.05,112000,12.98226
2016-02-24,13.04,13.06,12.98,13.03,182200,12.962363
2016-02-23,12.98,12.99,12.95,12.98,153100,12.912622
2016-02-22,13.02,13.02,12.90,12.94,172100,12.87283
2016-02-19,13.02,13.02,12.95,12.99,123200,12.922571
2016-02-18,12.97,12.98,12.95,12.98,172300,12.912622
2016-02-17,12.97,12.98,12.88,12.92,119100,12.852934
2016-02-16,13.03,13.03,12.91,12.91,124800,12.842986
2016-02-12,13.09,13.12,13.01,13.03,128000,12.962363
2016-02-11,13.14,13.17,13.05,13.05,145800,12.98226
2016-02-10,13.09,13.12,13.06,13.09,100500,13.022052
2016-02-09,13.07,13.13,13.03,13.12,199300,12.984249
2016-02-08,13.15,13.15,13.07,13.07,113900,12.934766
2016-02-05,13.09,13.11,13.08,13.10,111100,12.964456
2016-02-04,13.15,13.15,13.05,13.05,269400,12.914973
2016-02-03,13.10,13.15,13.08,13.12,161600,12.984249
2016-02-02,13.09,13.11,13.07,13.07,121900,12.934766
2016-02-01,13.04,13.10,13.04,13.08,226400,12.944663
2016-01-29,13.04,13.07,13.02,13.04,302700,12.905077
2016-01-28,12.99,13.01,12.94,12.97,182100,12.835801
2016-01-27,12.88,12.98,12.88,12.98,68700,12.845697
2016-01-26,12.89,12.97,12.89,12.93,158700,12.796215
2016-01-25,12.97,12.97,12.89,12.89,50500,12.756629
2016-01-22,12.94,12.97,12.88,12.93,102200,12.796215
2016-01-21,12.85,12.89,12.85,12.87,78200,12.736835
2016-01-20,12.95,12.95,12.70,12.79,182200,12.657663
2016-01-19,13.04,13.04,12.89,12.92,159500,12.786318
2016-01-15,12.87,13.08,12.87,13.02,145400,12.885284
2016-01-14,12.91,12.94,12.87,12.93,70700,12.796215
2016-01-13,13.01,13.01,12.89,12.91,150200,12.776422
2016-01-12,13.05,13.09,13.01,13.07,167800,12.86747
2016-01-11,13.05,13.06,12.99,13.05,225800,12.84778
