Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.23,13.31,13.22,13.28,23000,13.28
2016-03-10,13.04,13.12,13.01,13.10,16000,13.10
2016-03-09,13.16,13.16,13.05,13.07,27200,12.972
2016-03-08,13.10,13.16,13.03,13.09,35800,12.99185
2016-03-07,13.03,13.10,13.03,13.08,54300,12.981925
2016-03-04,12.90,13.12,12.90,13.06,60000,12.962075
2016-03-03,12.90,13.00,12.86,12.96,41600,12.862825
2016-03-02,13.01,13.01,12.80,12.99,44700,12.8926
2016-03-01,12.67,13.07,12.59,12.98,83400,12.882674
2016-02-29,12.50,12.64,12.50,12.61,26000,12.515449
2016-02-26,12.40,12.47,12.40,12.46,14600,12.366574
2016-02-25,12.32,12.39,12.27,12.39,8800,12.297099
2016-02-24,12.30,12.35,12.23,12.33,21000,12.237549
2016-02-23,12.31,12.31,12.25,12.29,19100,12.197848
2016-02-22,12.20,12.34,12.20,12.30,23200,12.207774
2016-02-19,12.16,12.20,12.09,12.20,18000,12.108523
2016-02-18,12.14,12.18,12.11,12.16,8600,12.068823
2016-02-17,12.00,12.14,11.96,12.11,13400,12.019198
2016-02-16,11.90,12.00,11.90,11.95,17200,11.860398
2016-02-12,11.91,12.03,11.88,12.00,9400,11.910023
2016-02-11,11.87,11.87,11.75,11.85,32600,11.761148
2016-02-10,11.88,11.96,11.86,11.91,28300,11.820698
2016-02-09,12.00,12.10,12.00,12.10,17700,11.912008
2016-02-08,12.22,12.22,12.07,12.11,23300,11.921852
2016-02-05,12.35,12.37,12.28,12.30,58300,12.108901
2016-02-04,12.30,12.42,12.30,12.39,13100,12.197503
2016-02-03,12.42,12.46,12.32,12.38,14600,12.187658
2016-02-02,12.36,12.43,12.35,12.36,17400,12.167968
2016-02-01,12.49,12.58,12.44,12.49,14600,12.295948
2016-01-29,12.59,12.61,12.53,12.56,10100,12.364861
2016-01-28,12.55,12.65,12.46,12.50,18400,12.305793
2016-01-27,12.33,12.51,12.33,12.41,8700,12.217191
2016-01-26,12.25,12.46,12.25,12.38,17900,12.187658
2016-01-25,12.29,12.34,12.10,12.16,11900,11.971075
2016-01-22,12.30,12.44,12.30,12.38,21700,12.187658
2016-01-21,11.95,12.24,11.93,12.12,50000,11.931697
2016-01-20,12.10,12.10,11.72,12.00,39900,11.813561
2016-01-19,12.23,12.29,12.05,12.20,54600,12.010454
2016-01-15,12.23,12.33,12.20,12.23,39600,12.039988
2016-01-14,12.39,12.50,12.19,12.50,69400,12.305793
2016-01-13,12.70,12.70,12.39,12.39,31100,12.197503
2016-01-12,12.84,12.88,12.64,12.71,33800,12.410147
2016-01-11,12.93,12.94,12.79,12.84,76800,12.53708
2016-01-08,12.87,12.88,12.75,12.87,48200,12.566372
2016-01-07,12.86,12.89,12.72,12.86,85000,12.556607
2016-01-06,12.87,12.94,12.83,12.86,38000,12.556607
2016-01-05,12.79,12.89,12.79,12.87,17900,12.566372
2016-01-04,12.83,12.83,12.63,12.83,21400,12.527315
2015-12-31,12.95,13.00,12.71,12.85,41300,12.546844
2015-12-30,12.84,12.93,12.80,12.93,36800,12.624957
2015-12-29,12.86,12.89,12.82,12.89,21700,12.5859
2015-12-28,12.95,12.95,12.81,12.85,17600,12.546844
2015-12-24,12.94,12.97,12.88,12.94,10200,12.63472
2015-12-23,12.84,12.98,12.69,12.96,24700,12.654249
2015-12-22,12.62,12.80,12.62,12.79,17300,12.488259
2015-12-21,12.70,12.77,12.65,12.66,26500,12.361326
2015-12-18,12.65,12.73,12.55,12.65,29400,12.351562
2015-12-17,12.56,12.66,12.43,12.60,52500,12.302742
2015-12-16,12.32,12.61,12.32,12.57,32600,12.273449
2015-12-15,12.19,12.37,12.14,12.32,54300,12.029347
2015-12-14,12.33,12.33,12.04,12.07,74800,11.785245
2015-12-11,12.53,12.53,12.29,12.34,86000,12.048876
2015-12-10,12.83,12.84,12.55,12.56,86500,12.263686
2015-12-09,12.98,12.99,12.83,12.86,36300,12.556607
2015-12-08,13.00,13.05,12.92,12.98,43800,12.57223
2015-12-07,13.21,13.21,13.00,13.02,11300,12.610974
2015-12-04,13.18,13.22,13.12,13.14,19700,12.727204
2015-12-03,13.30,13.30,13.15,13.21,35500,12.795005
2015-12-02,13.25,13.25,13.16,13.19,34300,12.775633
2015-12-01,13.20,13.21,13.13,13.21,46500,12.795005
2015-11-30,13.14,13.14,13.05,13.09,20000,12.678775
2015-11-27,13.07,13.10,13.05,13.09,7400,12.678775
2015-11-25,13.09,13.09,13.04,13.05,11000,12.640032
2015-11-24,13.06,13.07,13.01,13.07,12200,12.659403
2015-11-23,13.07,13.07,12.99,13.02,27500,12.610974
2015-11-20,13.07,13.07,13.03,13.06,11500,12.649718
2015-11-19,13.06,13.07,12.99,13.02,19000,12.610974
2015-11-18,13.12,13.12,13.07,13.09,14200,12.678775
2015-11-17,13.20,13.20,13.06,13.07,16500,12.659403
2015-11-16,13.15,13.24,13.12,13.15,35100,12.736889
2015-11-13,13.28,13.28,13.19,13.24,14700,12.824062
2015-11-12,13.44,13.44,13.22,13.26,20900,12.843434
2015-11-11,13.50,13.57,13.50,13.50,18400,12.975161
2015-11-10,13.51,13.58,13.50,13.50,23800,12.975161
2015-11-09,13.68,13.88,13.50,13.56,21400,13.032829
2015-11-06,13.78,13.81,13.64,13.67,13900,13.138552
2015-11-05,13.83,13.83,13.79,13.79,6000,13.253887
2015-11-04,13.80,13.83,13.80,13.83,9600,13.292332
2015-11-03,13.87,13.87,13.80,13.81,20900,13.27311
2015-11-02,13.79,13.84,13.74,13.81,27100,13.27311
2015-10-30,13.68,13.94,13.64,13.76,17100,13.225053
2015-10-29,13.63,13.75,13.63,13.67,35700,13.138552
2015-10-28,13.57,13.75,13.57,13.66,21500,13.128941
2015-10-27,13.65,13.72,13.60,13.62,22500,13.090496
2015-10-26,13.71,13.73,13.65,13.66,13300,13.128941
2015-10-23,13.59,13.70,13.59,13.65,11600,13.119329
2015-10-22,13.54,13.69,13.53,13.62,25000,13.090496
2015-10-21,13.59,13.60,13.54,13.58,18300,13.052051
2015-10-20,13.38,13.53,13.38,13.53,13500,13.003995
2015-10-19,13.41,13.48,13.41,13.45,16500,12.927105
2015-10-16,13.31,13.49,13.31,13.41,36500,12.88866
2015-10-15,13.29,13.39,13.29,13.35,17000,12.830993
2015-10-14,13.27,13.40,13.26,13.36,32000,12.840604
2015-10-13,13.29,13.36,13.27,13.34,25600,12.821382
2015-10-12,13.35,13.48,13.35,13.48,19000,12.855982
2015-10-09,13.22,13.44,13.22,13.44,36900,12.817833
2015-10-08,13.07,13.29,13.06,13.27,22700,12.655704
2015-10-07,13.01,13.13,13.01,13.13,29600,12.522184
2015-10-06,12.86,12.98,12.86,12.97,49900,12.369591
2015-10-05,12.80,12.96,12.80,12.91,26700,12.312369
2015-10-02,12.72,12.81,12.62,12.81,41200,12.216998
2015-10-01,12.82,12.88,12.80,12.81,32200,12.216998
2015-09-30,12.85,12.94,12.84,12.87,46000,12.27422
2015-09-29,13.05,13.05,12.85,12.88,27200,12.283758
2015-09-28,13.32,13.33,13.00,13.00,27200,12.398202
2015-09-25,13.42,13.46,13.28,13.29,21400,12.674778
2015-09-24,13.47,13.47,13.41,13.44,18700,12.817833
2015-09-23,13.40,13.50,13.40,13.44,17500,12.817833
2015-09-22,13.53,13.56,13.40,13.40,17600,12.779685
2015-09-21,13.55,13.60,13.54,13.55,9300,12.922742
2015-09-18,13.50,13.59,13.50,13.59,20300,12.96089
2015-09-17,13.47,13.56,13.47,13.53,14600,12.903667
2015-09-16,13.51,13.58,13.50,13.50,10000,12.875056
2015-09-15,13.57,13.57,13.54,13.54,8300,12.913205
2015-09-14,13.70,13.71,13.59,13.60,15200,12.970427
2015-09-11,13.60,13.74,13.57,13.72,24000,13.084872
2015-09-10,13.50,13.57,13.49,13.55,17800,12.922742
2015-09-09,13.65,13.68,13.57,13.58,32800,12.852168
2015-09-08,13.58,13.64,13.55,13.61,20700,12.880559
2015-09-04,13.55,13.60,13.53,13.53,25800,12.804847
2015-09-03,13.53,13.58,13.53,13.56,20400,12.83324
2015-09-02,13.40,13.50,13.40,13.50,15900,12.776455
2015-09-01,13.34,13.44,13.26,13.40,20300,12.681815
2015-08-31,13.32,13.41,13.31,13.41,16600,12.691279
2015-08-28,13.34,13.42,13.34,13.40,10500,12.681815
2015-08-27,13.29,13.41,13.28,13.34,24600,12.625031
2015-08-26,13.27,13.32,13.15,13.23,32800,12.520926
2015-08-25,13.20,13.27,13.20,13.21,34300,12.501998
