Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.35,14.42,14.21,14.29,21600,14.29
2016-03-10,14.18,14.48,14.18,14.35,25600,14.35
2016-03-09,14.26,14.26,14.17,14.20,7500,14.20
2016-03-08,14.41,14.41,14.21,14.35,10500,14.297
2016-03-07,14.16,14.29,14.14,14.24,17400,14.187406
2016-03-04,14.11,14.22,14.11,14.11,12800,14.057886
2016-03-03,14.13,14.24,14.13,14.21,12900,14.157517
2016-03-02,14.28,14.30,14.04,14.12,25800,14.067849
2016-03-01,14.40,14.40,14.21,14.26,33300,14.207332
2016-02-29,14.19,14.41,14.15,14.41,16600,14.356778
2016-02-26,14.20,14.22,14.16,14.16,67800,14.107701
2016-02-25,14.18,14.20,14.12,14.20,40600,14.147554
2016-02-24,14.14,14.20,14.07,14.15,23200,14.097738
2016-02-23,14.04,14.20,14.01,14.20,30100,14.147554
2016-02-22,13.98,14.09,13.95,14.02,19700,13.968219
2016-02-19,13.95,14.04,13.90,13.93,23000,13.878551
2016-02-18,13.87,13.91,13.80,13.91,11000,13.858625
2016-02-17,13.82,13.86,13.80,13.80,11000,13.749031
2016-02-16,13.89,13.93,13.77,13.83,26000,13.77892
2016-02-12,13.84,13.89,13.76,13.84,8800,13.788883
2016-02-11,13.90,13.92,13.81,13.82,13400,13.768957
2016-02-10,13.85,13.93,13.85,13.91,9200,13.805821
2016-02-09,13.81,13.97,13.81,13.86,16200,13.756195
2016-02-08,13.90,14.00,13.90,13.91,16200,13.805821
2016-02-05,13.85,13.99,13.85,13.99,30100,13.885222
2016-02-04,13.81,13.89,13.78,13.89,19300,13.785971
2016-02-03,13.72,13.80,13.72,13.75,13700,13.647019
2016-02-02,13.66,13.76,13.64,13.69,31500,13.587468
2016-02-01,13.62,13.70,13.55,13.61,12300,13.508068
2016-01-29,13.60,13.66,13.58,13.64,8600,13.537844
2016-01-28,13.48,13.60,13.48,13.60,9400,13.498143
2016-01-27,13.50,13.60,13.46,13.46,20000,13.359191
2016-01-26,13.45,13.46,13.36,13.46,20600,13.359191
2016-01-25,13.38,13.42,13.38,13.40,13000,13.29964
2016-01-22,13.37,13.40,13.32,13.38,20600,13.279791
2016-01-21,13.27,13.38,13.27,13.34,23200,13.24009
2016-01-20,13.52,13.52,13.25,13.25,47800,13.150764
2016-01-19,13.51,13.52,13.45,13.50,11000,13.398892
2016-01-15,13.44,13.49,13.37,13.46,32300,13.359191
2016-01-14,13.48,13.48,13.36,13.39,11000,13.289716
2016-01-13,13.49,13.52,13.40,13.41,24200,13.309566
2016-01-12,13.59,13.62,13.53,13.62,11600,13.46539
2016-01-11,13.65,13.65,13.54,13.54,34200,13.386298
2016-01-08,13.53,13.54,13.51,13.53,10100,13.376411
2016-01-07,13.52,13.63,13.52,13.58,12200,13.425844
2016-01-06,13.46,13.64,13.46,13.59,19000,13.43573
2016-01-05,13.40,13.51,13.39,13.43,36800,13.277547
2016-01-04,13.25,13.40,13.25,13.40,18800,13.247887
2015-12-31,13.40,13.40,13.30,13.33,12700,13.178682
2015-12-30,13.27,13.34,13.22,13.34,12300,13.188568
2015-12-29,13.35,13.35,13.23,13.24,41600,13.089703
2015-12-28,13.30,13.37,13.22,13.35,41100,13.198455
2015-12-24,13.24,13.29,13.20,13.27,14400,13.119363
2015-12-23,13.22,13.35,13.20,13.23,37400,13.079816
2015-12-22,13.29,13.34,13.21,13.24,12200,13.089703
2015-12-21,13.16,13.28,13.16,13.25,11300,13.09959
2015-12-18,13.28,13.28,13.17,13.19,23200,13.040271
2015-12-17,13.11,13.21,13.11,13.21,16400,13.060044
2015-12-16,13.05,13.15,13.05,13.11,9000,12.961179
2015-12-15,13.06,13.16,13.05,13.09,7700,12.941406
2015-12-14,13.21,13.21,13.05,13.05,12400,12.90186
2015-12-11,13.15,13.29,13.13,13.19,25900,13.040271
2015-12-10,13.11,13.23,13.11,13.22,9900,13.069931
2015-12-09,13.09,13.22,13.09,13.12,16700,12.971066
2015-12-08,13.21,13.25,13.18,13.21,6500,13.007646
2015-12-07,13.32,13.36,13.16,13.21,23400,13.007646
2015-12-04,13.21,13.35,13.21,13.31,6500,13.106114
