Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.79,13.79,13.74,13.76,111100,13.76
2016-03-10,13.83,13.83,13.74,13.76,172800,13.76
2016-03-09,13.77,13.86,13.77,13.85,164100,13.777
2016-03-08,13.77,13.80,13.75,13.75,134000,13.677527
2016-03-07,13.75,13.79,13.72,13.77,175200,13.697422
2016-03-04,13.79,13.84,13.76,13.77,195500,13.697422
2016-03-03,13.75,13.83,13.74,13.82,203400,13.747158
2016-03-02,13.66,13.77,13.63,13.75,182800,13.677527
2016-03-01,13.72,13.77,13.66,13.68,243500,13.607896
2016-02-29,13.71,13.72,13.65,13.65,185400,13.578053
2016-02-26,13.63,13.68,13.60,13.65,136100,13.578053
2016-02-25,13.67,13.69,13.63,13.64,198000,13.568107
2016-02-24,13.70,13.75,13.65,13.65,269600,13.578053
2016-02-23,13.57,13.69,13.56,13.69,218400,13.617843
2016-02-22,13.52,13.59,13.48,13.57,190600,13.498475
2016-02-19,13.43,13.55,13.43,13.53,140400,13.458686
2016-02-18,13.40,13.43,13.38,13.38,274200,13.309477
2016-02-17,13.38,13.47,13.34,13.40,199300,13.329371
2016-02-16,13.43,13.47,13.34,13.35,170900,13.279635
2016-02-12,13.48,13.55,13.39,13.42,279000,13.349266
2016-02-11,13.57,13.64,13.48,13.48,363000,13.408949
2016-02-10,13.47,13.55,13.47,13.52,292000,13.44874
2016-02-09,13.58,13.59,13.53,13.54,266900,13.396019
2016-02-08,13.64,13.65,13.55,13.55,195800,13.405913
2016-02-05,13.65,13.69,13.56,13.57,336300,13.425699
2016-02-04,13.55,13.62,13.55,13.55,107100,13.405913
2016-02-03,13.59,13.66,13.53,13.54,273600,13.396019
2016-02-02,13.49,13.60,13.49,13.57,292200,13.425699
2016-02-01,13.46,13.52,13.42,13.47,223600,13.326763
2016-01-29,13.43,13.44,13.39,13.44,203700,13.297082
2016-01-28,13.25,13.34,13.25,13.32,163500,13.178358
2016-01-27,13.30,13.31,13.25,13.25,136200,13.109103
2016-01-26,13.23,13.24,13.19,13.24,204700,13.099209
2016-01-25,13.21,13.24,13.16,13.18,404800,13.039847
2016-01-22,13.12,13.20,13.11,13.17,238200,13.029953
2016-01-21,13.12,13.14,13.05,13.06,223300,12.921123
2016-01-20,13.20,13.23,13.03,13.05,271100,12.91123
2016-01-19,13.23,13.30,13.15,13.15,168600,13.010166
2016-01-15,13.16,13.30,13.16,13.23,341600,13.089315
2016-01-14,13.18,13.21,13.15,13.19,439500,13.04974
2016-01-13,13.27,13.30,13.19,13.19,448700,13.04974
2016-01-12,13.33,13.39,13.32,13.33,184600,13.116028
2016-01-11,13.39,13.41,13.31,13.34,265900,13.125868
2016-01-08,13.35,13.45,13.35,13.42,231300,13.204584
2016-01-07,13.43,13.43,13.36,13.40,369100,13.184904
2016-01-06,13.35,13.40,13.29,13.34,351600,13.125868
2016-01-05,13.26,13.34,13.23,13.29,339900,13.07667
2016-01-04,13.14,13.25,13.14,13.25,164100,13.037312
2015-12-31,13.24,13.28,13.17,13.17,187500,12.958597
2015-12-30,13.10,13.19,13.06,13.18,247800,12.968436
2015-12-29,13.12,13.18,13.10,13.10,166300,12.889721
2015-12-28,13.04,13.16,13.04,13.13,180700,12.919239
2015-12-24,13.07,13.13,13.06,13.06,115400,12.850363
2015-12-23,13.04,13.09,13.02,13.04,203700,12.830683
2015-12-22,13.03,13.05,12.98,13.03,272400,12.820844
2015-12-21,13.01,13.04,12.92,13.01,264800,12.801165
2015-12-18,12.86,12.97,12.86,12.94,422800,12.732288
2015-12-17,12.82,12.89,12.81,12.88,293900,12.673252
2015-12-16,12.72,12.82,12.71,12.80,150200,12.594536
2015-12-15,12.76,12.80,12.70,12.78,134700,12.574857
2015-12-14,12.84,12.86,12.67,12.73,205300,12.525659
2015-12-11,12.84,12.89,12.83,12.84,147200,12.633894
2015-12-10,12.82,12.85,12.80,12.85,355300,12.643734
2015-12-09,12.85,12.85,12.78,12.81,145700,12.604376
2015-12-08,12.80,12.89,12.80,12.88,262300,12.601424
2015-12-07,12.86,12.86,12.80,12.81,123300,12.532938
2015-12-04,12.77,12.87,12.77,12.85,316600,12.572073
2015-12-03,12.84,12.86,12.75,12.80,242900,12.523154
2015-12-02,12.89,12.89,12.86,12.89,181300,12.611207
2015-12-01,12.84,12.88,12.84,12.87,166400,12.59164
2015-11-30,12.82,12.85,12.80,12.81,160900,12.532938
2015-11-27,12.79,12.82,12.78,12.78,28500,12.503586
2015-11-25,12.76,12.81,12.76,12.78,119500,12.503586
2015-11-24,12.75,12.80,12.73,12.78,160600,12.503586
2015-11-23,12.71,12.76,12.71,12.73,300700,12.454667
2015-11-20,12.74,12.79,12.72,12.73,123700,12.454667
2015-11-19,12.67,12.76,12.67,12.71,140800,12.4351
2015-11-18,12.70,12.73,12.65,12.67,133300,12.395965
2015-11-17,12.67,12.71,12.67,12.67,120700,12.395965
2015-11-16,12.72,12.74,12.68,12.69,105300,12.415532
2015-11-13,12.66,12.75,12.62,12.70,141800,12.425316
2015-11-12,12.63,12.65,12.58,12.62,144800,12.347047
2015-11-11,12.70,12.71,12.65,12.67,154900,12.326501
2015-11-10,12.66,12.73,12.65,12.67,154700,12.326501
2015-11-09,12.67,12.69,12.59,12.67,234800,12.326501
2015-11-06,12.76,12.78,12.70,12.72,218900,12.375145
2015-11-05,12.85,12.87,12.79,12.81,117200,12.462706
2015-11-04,12.84,12.88,12.84,12.84,161200,12.491892
2015-11-03,12.92,12.95,12.86,12.86,171300,12.511349
2015-11-02,12.86,12.92,12.85,12.92,162900,12.569723
2015-10-30,12.87,12.88,12.83,12.87,190900,12.521078
2015-10-29,12.85,12.88,12.83,12.84,244500,12.491892
2015-10-28,12.84,12.86,12.81,12.83,208900,12.482163
2015-10-27,12.84,12.85,12.80,12.81,154900,12.462706
2015-10-26,12.87,12.87,12.80,12.82,331400,12.472434
2015-10-23,12.81,12.86,12.81,12.84,168300,12.491892
2015-10-22,12.80,12.84,12.79,12.80,202500,12.452976
2015-10-21,12.75,12.81,12.75,12.79,168100,12.443247
2015-10-20,12.73,12.77,12.73,12.77,147300,12.42379
2015-10-19,12.69,12.74,12.69,12.73,215200,12.384874
2015-10-16,12.70,12.71,12.69,12.70,125500,12.355687
2015-10-15,12.67,12.72,12.66,12.68,176700,12.33623
2015-10-14,12.65,12.71,12.63,12.68,150400,12.33623
2015-10-13,12.58,12.64,12.58,12.64,234300,12.297314
2015-10-12,12.65,12.67,12.63,12.67,107800,12.257426
2015-10-09,12.62,12.64,12.59,12.63,236300,12.218728
2015-10-08,12.59,12.64,12.59,12.60,216600,12.189705
2015-10-07,12.60,12.60,12.57,12.59,124300,12.180031
2015-10-06,12.59,12.60,12.56,12.59,123400,12.180031
2015-10-05,12.59,12.60,12.54,12.58,132700,12.170356
2015-10-02,12.58,12.60,12.57,12.58,221000,12.170356
2015-10-01,12.58,12.60,12.56,12.58,166600,12.170356
2015-09-30,12.60,12.60,12.56,12.58,166900,12.170356
2015-09-29,12.55,12.60,12.53,12.58,108900,12.170356
2015-09-28,12.59,12.59,12.52,12.53,104500,12.121984
2015-09-25,12.55,12.59,12.54,12.58,164500,12.170356
2015-09-24,12.54,12.56,12.51,12.55,112700,12.141333
2015-09-23,12.54,12.54,12.51,12.53,70500,12.121984
2015-09-22,12.42,12.53,12.42,12.52,94500,12.112311
2015-09-21,12.48,12.49,12.42,12.42,69700,12.015566
2015-09-18,12.35,12.50,12.34,12.46,133200,12.054264
2015-09-17,12.27,12.44,12.26,12.42,230800,12.015566
2015-09-16,12.25,12.28,12.23,12.24,123100,11.841428
2015-09-15,12.40,12.40,12.28,12.28,113400,11.880125
2015-09-14,12.46,12.47,12.40,12.40,61800,11.996217
2015-09-11,12.50,12.50,12.43,12.44,104300,12.034915
2015-09-10,12.55,12.57,12.46,12.47,89000,12.063939
2015-09-09,12.60,12.62,12.57,12.60,132100,12.121017
2015-09-08,12.58,12.60,12.56,12.59,141100,12.111397
2015-09-04,12.53,12.60,12.50,12.60,188600,12.121017
2015-09-03,12.50,12.53,12.47,12.52,177100,12.044059
2015-09-02,12.49,12.50,12.47,12.48,304600,12.005578
2015-09-01,12.42,12.49,12.39,12.48,113600,12.005578
2015-08-31,12.40,12.45,12.36,12.41,136900,11.93824
2015-08-28,12.36,12.40,12.34,12.38,62500,11.90938
2015-08-27,12.36,12.39,12.33,12.38,82600,11.90938
2015-08-26,12.40,12.40,12.29,12.36,125800,11.89014
2015-08-25,12.37,12.44,12.34,12.37,118600,11.89976
2015-08-24,12.26,12.41,12.20,12.33,122400,11.861281
2015-08-21,12.53,12.59,12.46,12.51,119400,12.034438
2015-08-20,12.53,12.57,12.51,12.55,76100,12.072918
2015-08-19,12.55,12.57,12.52,12.55,73400,12.072918
2015-08-18,12.58,12.58,12.52,12.55,84700,12.072918
2015-08-17,12.56,12.58,12.56,12.57,63600,12.092157
2015-08-14,12.57,12.58,12.55,12.55,51000,12.072918
2015-08-13,12.60,12.60,12.57,12.59,89700,12.111397
2015-08-12,12.60,12.63,12.56,12.60,142400,12.121017
2015-08-11,12.48,12.58,12.46,12.58,80600,12.101777
2015-08-10,12.55,12.55,12.48,12.55,126100,12.004617
2015-08-07,12.55,12.55,12.53,12.54,75400,11.995052
2015-08-06,12.36,12.51,12.36,12.50,96400,11.95679
2015-08-05,12.51,12.53,12.39,12.39,112100,11.851571
2015-08-04,12.57,12.58,12.52,12.53,98600,11.985486
2015-08-03,12.63,12.65,12.54,12.55,161300,12.004617
2015-07-31,12.59,12.62,12.57,12.60,114500,12.052445
2015-07-30,12.50,12.55,12.50,12.55,51200,12.004617
2015-07-29,12.51,12.54,12.50,12.51,96200,11.966356
2015-07-28,12.48,12.55,12.48,12.55,86800,12.004617
2015-07-27,12.48,12.51,12.48,12.48,58500,11.937659
2015-07-24,12.40,12.49,12.38,12.48,211600,11.937659
2015-07-23,12.39,12.39,12.31,12.38,77300,11.842005
2015-07-22,12.35,12.40,12.34,12.36,73800,11.822874
2015-07-21,12.35,12.38,12.34,12.36,71600,11.822874
2015-07-20,12.36,12.38,12.33,12.35,83200,11.813309
2015-07-17,12.44,12.45,12.36,12.36,122600,11.822874
2015-07-16,12.35,12.44,12.35,12.44,178500,11.899397
2015-07-15,12.30,12.37,12.28,12.34,110400,11.803743
2015-07-14,12.26,12.31,12.26,12.30,67500,11.765482
2015-07-13,12.29,12.29,12.24,12.27,58000,11.736786
2015-07-10,12.26,12.30,12.23,12.28,142500,11.74635
2015-07-09,12.34,12.34,12.28,12.28,117300,11.74635
2015-07-08,12.30,12.41,12.30,12.41,168700,11.802786
2015-07-07,12.34,12.38,12.29,12.33,255400,11.726701
2015-07-06,12.24,12.25,12.20,12.25,206200,11.650615
2015-07-02,12.23,12.25,12.20,12.23,159500,11.631593
2015-07-01,12.17,12.22,12.17,12.19,145400,11.59355
2015-06-30,12.19,12.22,12.14,12.20,140200,11.603061
2015-06-29,12.20,12.21,12.14,12.16,169200,11.565018
2015-06-26,12.23,12.23,12.17,12.22,134000,11.622083
2015-06-25,12.29,12.30,12.25,12.27,135200,11.669637
2015-06-24,12.30,12.31,12.27,12.27,113400,11.669637
2015-06-23,12.23,12.31,12.19,12.28,136100,11.679147
2015-06-22,12.27,12.27,12.20,12.26,127800,11.660126
2015-06-19,12.24,12.29,12.22,12.27,158700,11.669637
2015-06-18,12.21,12.25,12.21,12.23,109300,11.631593
2015-06-17,12.20,12.22,12.19,12.21,75200,11.612572
2015-06-16,12.18,12.23,12.18,12.20,143700,11.603061
2015-06-15,12.16,12.22,12.14,12.18,140100,11.58404
2015-06-12,12.07,12.17,12.07,12.14,175700,11.545997
2015-06-11,11.98,12.08,11.98,12.06,285000,11.469912
2015-06-10,11.98,12.11,11.95,11.98,396900,11.393825
2015-06-09,12.06,12.06,11.95,11.99,306400,11.403336
2015-06-08,12.30,12.31,12.10,12.11,684300,11.451841
2015-06-05,12.40,12.41,12.28,12.31,262900,11.640972
2015-06-04,12.49,12.53,12.43,12.45,177000,11.773363
2015-06-03,12.49,12.53,12.48,12.48,266500,11.801732
2015-06-02,12.56,12.56,12.53,12.54,103600,11.858472
2015-06-01,12.51,12.59,12.51,12.58,103600,11.896298
2015-05-29,12.50,12.52,12.48,12.52,108600,11.839559
2015-05-28,12.45,12.49,12.45,12.46,90600,11.78282
2015-05-27,12.48,12.50,12.45,12.47,182300,11.792276
2015-05-26,12.47,12.48,12.44,12.47,124200,11.792276
2015-05-22,12.59,12.59,12.48,12.50,149300,11.820646
2015-05-21,12.60,12.60,12.53,12.59,275600,11.905754
2015-05-20,12.57,12.59,12.56,12.58,93100,11.896298
2015-05-19,12.56,12.62,12.53,12.59,149100,11.905754
2015-05-18,12.65,12.65,12.55,12.62,150600,11.934124
2015-05-15,12.60,12.67,12.58,12.65,125200,11.962493
2015-05-14,12.55,12.62,12.55,12.60,166000,11.915211
2015-05-13,12.63,12.66,12.54,12.55,158400,11.867928
2015-05-12,12.64,12.64,12.52,12.56,205800,11.877385
2015-05-11,12.78,12.78,12.61,12.65,159800,11.962493
2015-05-08,12.79,12.83,12.77,12.83,106700,12.06746
2015-05-07,12.72,12.75,12.68,12.74,137300,11.982809
2015-05-06,12.81,12.81,12.66,12.66,208200,11.907564
2015-05-05,12.82,12.82,12.76,12.82,102600,12.058054
2015-05-04,12.83,12.84,12.76,12.78,208300,12.020432
2015-05-01,12.94,12.94,12.84,12.85,171400,12.086272
2015-04-30,12.98,12.98,12.91,12.94,144900,12.170922
2015-04-29,12.95,12.98,12.93,12.98,129700,12.208545
2015-04-28,13.01,13.04,12.98,12.99,132200,12.217951
2015-04-27,13.05,13.06,12.99,12.99,111600,12.217951
2015-04-24,13.05,13.05,13.00,13.02,111500,12.246168
2015-04-23,13.00,13.04,12.98,13.02,202400,12.246168
2015-04-22,13.08,13.08,12.96,12.96,178400,12.189734
2015-04-21,13.06,13.07,13.03,13.06,59000,12.283791
2015-04-20,13.10,13.12,13.03,13.04,126500,12.264979
2015-04-17,13.08,13.09,13.06,13.07,46700,12.293196
2015-04-16,13.07,13.08,13.03,13.07,92700,12.293196
2015-04-15,13.08,13.08,13.02,13.04,100300,12.264979
2015-04-14,12.97,13.05,12.96,13.05,168100,12.274385
2015-04-13,12.92,13.01,12.90,12.92,158300,12.152111
2015-04-10,13.00,13.03,12.88,12.88,142400,12.114489
2015-04-09,13.03,13.06,12.94,12.95,99600,12.180328
2015-04-08,13.07,13.12,13.07,13.08,161200,12.237703
2015-04-07,13.03,13.10,13.02,13.07,203600,12.228347
2015-04-06,13.03,13.06,13.00,13.02,112500,12.181567
2015-04-02,13.01,13.02,12.96,12.98,93100,12.144142
2015-04-01,12.98,13.02,12.96,13.01,168800,12.172211
2015-03-31,12.89,12.96,12.85,12.96,111100,12.125431
2015-03-30,12.90,12.92,12.83,12.88,110500,12.050582
2015-03-27,12.79,12.92,12.79,12.92,176000,12.088007
2015-03-26,12.85,12.85,12.77,12.79,76500,11.966378
2015-03-25,12.89,12.89,12.76,12.82,97600,11.994446
2015-03-24,12.86,12.88,12.82,12.86,76700,12.03187
2015-03-23,12.85,12.85,12.78,12.84,111400,12.013158
2015-03-20,12.75,12.84,12.75,12.84,191200,12.013158
2015-03-19,12.82,12.83,12.70,12.75,77500,11.928954
2015-03-18,12.64,12.84,12.64,12.84,119900,12.013158
2015-03-17,12.68,12.69,12.58,12.63,177800,11.816681
2015-03-16,12.83,12.83,12.68,12.69,112300,11.872817
2015-03-13,12.82,12.82,12.76,12.78,75400,11.957022
2015-03-12,12.86,12.87,12.82,12.82,67600,11.994446
2015-03-11,12.87,12.89,12.81,12.82,71300,11.994446
2015-03-10,12.87,12.93,12.87,12.91,149600,12.0169
2015-03-09,12.80,12.86,12.78,12.83,93300,11.942434
2015-03-06,12.91,12.93,12.77,12.77,227400,11.886585
2015-03-05,12.98,12.98,12.94,12.97,103700,12.072749
2015-03-04,12.92,12.98,12.92,12.98,101300,12.082057
2015-03-03,12.91,12.93,12.89,12.92,133400,12.026208
2015-03-02,12.97,12.98,12.89,12.89,120900,11.998284
2015-02-27,12.90,12.94,12.85,12.94,342400,12.044824
2015-02-26,12.91,12.91,12.82,12.85,210100,11.961051
2015-02-25,12.99,13.00,12.90,12.91,150400,12.0169
2015-02-24,12.94,12.94,12.85,12.92,152500,12.026208
2015-02-23,12.93,12.97,12.90,12.91,142500,12.0169
2015-02-20,12.86,12.92,12.83,12.88,131000,11.988975
2015-02-19,12.80,12.89,12.77,12.81,178000,11.923818
2015-02-18,12.65,12.79,12.61,12.77,292200,11.886585
2015-02-17,12.87,12.88,12.59,12.59,277500,11.719037
2015-02-13,12.93,12.94,12.88,12.88,195400,11.988975
2015-02-12,12.99,13.01,12.93,12.93,206500,12.035517
2015-02-11,13.08,13.08,12.95,13.00,166500,12.100674
2015-02-10,13.17,13.20,13.07,13.11,156500,12.14163
2015-02-09,13.25,13.26,13.18,13.21,172900,12.234244
2015-02-06,13.26,13.29,13.21,13.25,181500,12.27129
2015-02-05,13.32,13.35,13.26,13.27,164100,12.289813
2015-02-04,13.38,13.38,13.25,13.32,276700,12.336119
2015-02-03,13.40,13.43,13.35,13.40,211200,12.410209
2015-02-02,13.39,13.43,13.36,13.40,213900,12.410209
2015-01-30,13.38,13.42,13.37,13.38,224100,12.391687
2015-01-29,13.40,13.41,13.33,13.33,253000,12.34538
2015-01-28,13.28,13.40,13.26,13.39,188900,12.400949
2015-01-27,13.17,13.27,13.17,13.26,173100,12.280551
2015-01-26,13.15,13.16,13.08,13.15,139200,12.178676
2015-01-23,13.15,13.15,13.09,13.13,96800,12.160153
2015-01-22,13.06,13.11,13.04,13.11,171200,12.14163
2015-01-21,13.12,13.12,13.04,13.06,120200,12.095324
2015-01-20,13.14,13.15,13.07,13.07,129100,12.104585
2015-01-16,13.23,13.24,13.11,13.13,242900,12.160153
2015-01-15,13.11,13.19,13.08,13.14,135400,12.169415
2015-01-14,13.08,13.13,13.07,13.08,140300,12.113847
2015-01-13,13.06,13.08,13.03,13.05,130300,12.086063
2015-01-12,13.12,13.12,13.00,13.03,143500,12.06754
2015-01-09,13.01,13.09,12.99,13.08,107800,12.052721
2015-01-08,13.10,13.14,12.94,12.98,195300,11.960575
2015-01-07,13.06,13.14,13.00,13.07,223300,12.043506
2015-01-06,12.93,13.02,12.93,13.00,117800,11.979004
2015-01-05,12.90,12.94,12.87,12.88,117100,11.868429
2015-01-02,12.85,12.89,12.83,12.87,73500,11.859214
2014-12-31,12.74,12.86,12.74,12.86,214400,11.849999
2014-12-30,12.74,12.76,12.73,12.74,146200,11.739424
2014-12-29,12.74,12.79,12.72,12.75,151800,11.748639
2014-12-26,12.75,12.78,12.71,12.75,81900,11.748639
2014-12-24,12.75,12.76,12.70,12.72,66400,11.720995
2014-12-23,12.79,12.81,12.74,12.77,187400,11.767069
2014-12-22,12.74,12.78,12.68,12.71,181400,11.711781
2014-12-19,12.73,12.75,12.72,12.72,119300,11.720995
2014-12-18,12.73,12.77,12.72,12.75,187200,11.748639
2014-12-17,12.66,12.71,12.63,12.70,144300,11.702566
2014-12-16,12.73,12.73,12.66,12.69,147700,11.693351
2014-12-15,12.69,12.72,12.66,12.72,142700,11.720995
2014-12-12,12.59,12.68,12.59,12.67,95200,11.674922
2014-12-11,12.76,12.77,12.68,12.68,127700,11.62332
2014-12-10,12.73,12.79,12.72,12.73,150200,11.669153
2014-12-09,12.77,12.78,12.73,12.78,100900,11.714986
2014-12-08,12.68,12.78,12.68,12.78,156800,11.714986
2014-12-05,12.74,12.75,12.69,12.71,94600,11.65082
2014-12-04,12.70,12.76,12.69,12.75,177200,11.687487
2014-12-03,12.60,12.71,12.60,12.68,259000,11.62332
2014-12-02,12.51,12.61,12.51,12.58,130800,11.531653
2014-12-01,12.58,12.63,12.52,12.52,131900,11.476654
2014-11-28,12.57,12.58,12.52,12.55,52500,11.504154
2014-11-26,12.52,12.53,12.50,12.50,107300,11.45832
2014-11-25,12.51,12.53,12.48,12.48,117400,11.439986
2014-11-24,12.56,12.56,12.47,12.47,220200,11.43082
2014-11-21,12.60,12.60,12.53,12.53,126000,11.48582
2014-11-20,12.57,12.61,12.53,12.55,136100,11.504154
2014-11-19,12.54,12.55,12.51,12.55,145700,11.504154
2014-11-18,12.48,12.55,12.48,12.53,222300,11.48582
2014-11-17,12.64,12.64,12.50,12.50,113600,11.45832
2014-11-14,12.64,12.64,12.60,12.63,104700,11.577487
2014-11-13,12.68,12.68,12.63,12.64,76500,11.586654
2014-11-12,12.64,12.68,12.63,12.64,71100,11.586654
2014-11-11,12.69,12.71,12.65,12.71,115600,11.59032
2014-11-10,12.74,12.74,12.69,12.73,79900,11.608558
2014-11-07,12.73,12.74,12.66,12.68,252800,11.562963
2014-11-06,12.74,12.77,12.70,12.74,80300,11.617677
2014-11-05,12.74,12.77,12.74,12.77,86000,11.645035
2014-11-04,12.75,12.76,12.70,12.75,62700,11.626796
2014-11-03,12.75,12.78,12.74,12.76,67800,11.635915
2014-10-31,12.79,12.80,12.70,12.75,101900,11.626796
2014-10-30,12.80,12.81,12.77,12.78,71300,11.654153
2014-10-29,12.80,12.83,12.76,12.78,72100,11.654153
2014-10-28,12.79,12.80,12.73,12.78,128800,11.654153
2014-10-27,12.79,12.82,12.76,12.77,75800,11.645035
2014-10-24,12.77,12.89,12.77,12.81,136600,11.681511
2014-10-23,12.83,12.86,12.77,12.77,94700,11.645035
2014-10-22,12.84,12.84,12.76,12.80,142900,11.672392
2014-10-21,12.80,12.83,12.71,12.82,138400,11.690629
2014-10-20,12.82,12.82,12.75,12.79,96400,11.663272
2014-10-17,12.75,12.79,12.72,12.77,125800,11.645035
2014-10-16,12.68,12.74,12.67,12.73,141500,11.608558
2014-10-15,12.62,12.72,12.62,12.67,156700,11.553844
2014-10-14,12.60,12.67,12.59,12.59,153400,11.480891
2014-10-13,12.65,12.70,12.58,12.68,116000,11.502778
2014-10-10,12.66,12.67,12.61,12.63,92600,11.457419
2014-10-09,12.71,12.72,12.60,12.63,166800,11.457419
2014-10-08,12.67,12.71,12.64,12.68,111700,11.502778
2014-10-07,12.57,12.69,12.56,12.65,167000,11.475562
2014-10-06,12.60,12.64,12.55,12.56,144200,11.393919
2014-10-03,12.59,12.59,12.53,12.54,110800,11.375775
2014-10-02,12.57,12.61,12.53,12.55,132800,11.384847
2014-10-01,12.58,12.64,12.56,12.59,184800,11.421133
2014-09-30,12.53,12.57,12.49,12.53,208700,11.366703
2014-09-29,12.47,12.49,12.45,12.49,171100,11.330417
2014-09-26,12.44,12.47,12.41,12.44,133700,11.285059
2014-09-25,12.45,12.48,12.41,12.42,197700,11.266916
2014-09-24,12.40,12.43,12.39,12.41,101100,11.257844
2014-09-23,12.44,12.44,12.38,12.41,92300,11.257844
2014-09-22,12.47,12.48,12.40,12.41,134900,11.257844
2014-09-19,12.46,12.48,12.42,12.47,202600,11.312274
2014-09-18,12.46,12.47,12.45,12.45,93300,11.29413
2014-09-17,12.45,12.46,12.41,12.44,67200,11.285059
2014-09-16,12.41,12.43,12.37,12.42,93200,11.266916
2014-09-15,12.50,12.50,12.39,12.39,150000,11.239701
2014-09-12,12.58,12.58,12.46,12.46,112600,11.303202
2014-09-11,12.63,12.63,12.59,12.62,124900,11.448348
2014-09-10,12.60,12.66,12.60,12.66,151400,11.424761
2014-09-09,12.56,12.64,12.54,12.59,128300,11.361592
2014-09-08,12.60,12.60,12.52,12.54,125500,11.31647
2014-09-05,12.64,12.66,12.53,12.55,177300,11.325494
2014-09-04,12.66,12.70,12.60,12.61,218500,11.37964
2014-09-03,12.69,12.69,12.63,12.65,170400,11.415737
2014-09-02,12.68,12.69,12.66,12.68,141400,11.44281
2014-08-29,12.69,12.70,12.65,12.68,131500,11.44281
2014-08-28,12.66,12.68,12.61,12.65,167600,11.415737
2014-08-27,12.62,12.66,12.60,12.63,136600,11.397689
2014-08-26,12.54,12.60,12.52,12.57,153300,11.343543
2014-08-25,12.54,12.55,12.49,12.53,156100,11.307445
2014-08-22,12.60,12.61,12.50,12.50,201900,11.280373
2014-08-21,12.60,12.63,12.55,12.57,255500,11.343543
2014-08-20,12.60,12.60,12.57,12.59,109000,11.361592
2014-08-19,12.59,12.60,12.57,12.57,128000,11.343543
2014-08-18,12.55,12.59,12.55,12.58,166200,11.352567
2014-08-15,12.54,12.57,12.49,12.53,152400,11.307445
2014-08-14,12.50,12.51,12.44,12.51,176600,11.289397
2014-08-13,12.46,12.47,12.42,12.46,122600,11.244276
2014-08-12,12.44,12.46,12.39,12.41,136500,11.199154
2014-08-11,12.43,12.44,12.40,12.44,85400,11.226227
2014-08-08,12.39,12.42,12.37,12.39,106800,11.181106
2014-08-07,12.23,12.35,12.23,12.35,180700,11.145009
2014-08-06,12.25,12.33,12.22,12.32,317700,11.058374
2014-08-05,12.20,12.23,12.17,12.21,123700,10.959639
2014-08-04,12.25,12.25,12.16,12.20,170900,10.950663
2014-08-01,12.24,12.30,12.06,12.25,280900,10.995543
2014-07-31,12.21,12.25,12.14,12.22,270400,10.968615
2014-07-30,12.39,12.39,12.25,12.25,343700,10.995543
2014-07-29,12.41,12.45,12.40,12.40,197800,11.130182
2014-07-28,12.47,12.48,12.40,12.40,104800,11.130182
2014-07-25,12.46,12.48,12.42,12.45,158700,11.175062
2014-07-24,12.36,12.41,12.35,12.39,137500,11.121207
2014-07-23,12.42,12.44,12.39,12.41,183300,11.139158
2014-07-22,12.43,12.43,12.35,12.39,108000,11.121207
2014-07-21,12.37,12.44,12.36,12.39,87400,11.121207
2014-07-18,12.33,12.37,12.30,12.37,74800,11.103254
2014-07-17,12.35,12.37,12.29,12.31,120800,11.049399
2014-07-16,12.30,12.33,12.27,12.30,84900,11.040423
2014-07-15,12.28,12.30,12.25,12.29,133400,11.031447
2014-07-14,12.30,12.32,12.26,12.27,72600,11.013495
2014-07-11,12.29,12.32,12.27,12.28,174000,11.022471
2014-07-10,12.38,12.38,12.25,12.26,170200,11.004519
2014-07-09,12.40,12.40,12.31,12.35,116100,11.026062
2014-07-08,12.41,12.46,12.35,12.38,176800,11.052845
2014-07-07,12.30,12.39,12.28,12.37,216300,11.043917
2014-07-03,12.40,12.40,12.26,12.26,234700,10.94571
2014-07-02,12.56,12.56,12.41,12.44,179400,11.106413
2014-07-01,12.63,12.63,12.55,12.57,135600,11.222477
2014-06-30,12.65,12.66,12.58,12.60,142200,11.249261
2014-06-27,12.54,12.64,12.53,12.60,185700,11.249261
2014-06-26,12.54,12.54,12.51,12.53,120500,11.186765
2014-06-25,12.47,12.54,12.47,12.50,74300,11.159981
2014-06-24,12.46,12.47,12.45,12.45,61900,11.115341
2014-06-23,12.43,12.48,12.42,12.43,92200,11.097485
2014-06-20,12.41,12.44,12.38,12.43,75200,11.097485
2014-06-19,12.46,12.47,12.37,12.39,152400,11.061774
2014-06-18,12.42,12.44,12.38,12.43,136900,11.097485
2014-06-17,12.43,12.44,12.39,12.41,124000,11.079629
2014-06-16,12.44,12.50,12.42,12.43,152000,11.097485
2014-06-13,12.52,12.52,12.44,12.46,91200,11.124269
2014-06-12,12.48,12.55,12.48,12.53,123200,11.186765
2014-06-11,12.60,12.60,12.49,12.51,214400,11.168909
2014-06-10,12.65,12.65,12.60,12.64,109400,11.226049
2014-06-09,12.62,12.66,12.61,12.63,213000,11.217167
2014-06-06,12.66,12.67,12.62,12.62,106400,11.208286
