Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.11,13.23,13.11,13.15,39000,13.15
2016-03-10,13.21,13.21,13.11,13.13,22200,13.13
2016-03-09,13.18,13.22,13.16,13.20,33700,13.134
2016-03-08,13.17,13.18,13.15,13.17,24300,13.10415
2016-03-07,13.19,13.19,13.10,13.13,114300,13.06435
2016-03-04,13.16,13.18,13.12,13.17,33500,13.10415
2016-03-03,13.14,13.15,13.10,13.15,23200,13.08425
2016-03-02,13.20,13.20,13.09,13.09,58200,13.02455
2016-03-01,13.20,13.20,13.12,13.15,63300,13.08425
2016-02-29,13.11,13.16,13.04,13.10,62500,13.0345
2016-02-26,13.10,13.12,13.05,13.05,35800,12.98475
2016-02-25,13.05,13.13,13.05,13.13,67700,13.06435
2016-02-24,13.10,13.15,13.06,13.10,87400,13.0345
2016-02-23,12.99,13.09,12.99,13.09,37600,13.02455
2016-02-22,13.07,13.07,12.97,12.98,53800,12.9151
2016-02-19,12.99,13.06,12.98,13.05,37000,12.98475
2016-02-18,12.96,13.01,12.94,12.99,41300,12.92505
2016-02-17,13.00,13.02,12.93,12.93,73000,12.86535
2016-02-16,13.03,13.03,12.97,12.98,51800,12.9151
2016-02-12,13.17,13.17,13.00,13.03,36900,12.96485
2016-02-11,13.13,13.21,13.12,13.14,49200,13.0743
2016-02-10,13.14,13.17,13.10,13.16,35200,13.0942
2016-02-09,13.15,13.15,13.11,13.15,32700,13.01858
2016-02-08,13.17,13.17,13.08,13.14,50000,13.00868
2016-02-05,13.07,13.14,13.07,13.14,75000,13.00868
2016-02-04,13.15,13.18,13.10,13.11,23900,12.978979
2016-02-03,13.11,13.15,13.07,13.13,37800,12.99878
2016-02-02,13.13,13.15,13.07,13.11,42100,12.978979
2016-02-01,13.13,13.13,13.10,13.12,66500,12.98888
2016-01-29,13.05,13.07,12.97,13.07,85100,12.939379
2016-01-28,12.99,12.99,12.90,12.96,60600,12.830479
2016-01-27,12.96,12.99,12.93,12.94,49400,12.810678
2016-01-26,12.95,12.97,12.87,12.97,69400,12.840379
2016-01-25,12.99,12.99,12.91,12.91,39600,12.780978
2016-01-22,12.88,12.98,12.88,12.95,62500,12.820579
2016-01-21,12.82,12.94,12.82,12.94,52200,12.810678
2016-01-20,12.93,12.98,12.76,12.83,43900,12.701778
2016-01-19,13.05,13.06,12.90,12.91,65800,12.780978
2016-01-15,12.94,13.04,12.88,13.03,106500,12.899779
2016-01-14,12.89,12.95,12.86,12.94,63800,12.810678
2016-01-13,12.98,12.98,12.90,12.91,47300,12.780978
2016-01-12,12.95,13.05,12.91,13.05,61200,12.854239
2016-01-11,12.96,12.99,12.92,12.99,47100,12.795139
2016-01-08,12.95,13.01,12.93,13.00,36900,12.804989
2016-01-07,12.95,13.03,12.93,13.00,81700,12.804989
2016-01-06,12.96,13.02,12.91,12.96,55200,12.765589
2016-01-05,12.87,12.96,12.85,12.96,99600,12.765589
2016-01-04,12.86,12.90,12.79,12.84,84800,12.64739
2015-12-31,12.82,12.85,12.79,12.82,47400,12.627689
2015-12-30,12.64,12.75,12.64,12.75,85500,12.55874
2015-12-29,12.63,12.68,12.62,12.64,50500,12.45039
2015-12-28,12.67,12.70,12.63,12.63,39800,12.44054
2015-12-24,12.63,12.67,12.56,12.66,43500,12.470089
2015-12-23,12.64,12.64,12.57,12.61,64200,12.420839
2015-12-22,12.59,12.63,12.52,12.59,63600,12.40114
2015-12-21,12.60,12.60,12.51,12.59,52500,12.40114
2015-12-18,12.59,12.60,12.51,12.58,74500,12.39129
2015-12-17,12.44,12.57,12.44,12.53,68100,12.342039
2015-12-16,12.35,12.43,12.35,12.43,70000,12.24354
2015-12-15,12.36,12.44,12.31,12.33,52600,12.14504
2015-12-14,12.43,12.43,12.25,12.30,63100,12.11549
2015-12-11,12.40,12.45,12.37,12.37,60000,12.18444
2015-12-10,12.41,12.41,12.33,12.39,51800,12.20414
2015-12-09,12.43,12.43,12.33,12.38,46800,12.19429
2015-12-08,12.37,12.44,12.32,12.44,60400,12.188379
2015-12-07,12.42,12.43,12.26,12.30,135900,12.051212
2015-12-04,12.36,12.39,12.30,12.37,65400,12.119795
2015-12-03,12.40,12.40,12.30,12.32,107100,12.070807
2015-12-02,12.45,12.50,12.40,12.42,42900,12.168784
2015-12-01,12.42,12.47,12.39,12.43,74400,12.178582
2015-11-30,12.48,12.48,12.37,12.40,54000,12.149188
2015-11-27,12.44,12.45,12.37,12.40,8800,12.149188
2015-11-25,12.40,12.45,12.36,12.41,39000,12.158986
2015-11-24,12.39,12.45,12.35,12.40,48700,12.149188
2015-11-23,12.39,12.40,12.33,12.36,39800,12.109997
2015-11-20,12.37,12.38,12.32,12.37,57400,12.119795
2015-11-19,12.37,12.37,12.29,12.32,55800,12.070807
2015-11-18,12.23,12.29,12.23,12.27,43400,12.021819
2015-11-17,12.24,12.29,12.21,12.23,91100,11.982627
2015-11-16,12.28,12.31,12.23,12.24,21300,11.992425
2015-11-13,12.29,12.29,12.21,12.28,48600,12.031616
2015-11-12,12.26,12.31,12.22,12.25,42100,12.002223
2015-11-11,12.27,12.30,12.23,12.29,21200,11.977728
2015-11-10,12.24,12.28,12.19,12.24,78600,11.928998
2015-11-09,12.35,12.36,12.11,12.20,120400,11.890015
2015-11-06,12.49,12.50,12.36,12.36,30400,12.045949
2015-11-05,12.50,12.55,12.49,12.52,36300,12.201884
2015-11-04,12.46,12.54,12.46,12.53,60700,12.21163
2015-11-03,12.54,12.57,12.46,12.46,80600,12.143409
2015-11-02,12.49,12.56,12.49,12.54,60300,12.221376
2015-10-30,12.48,12.50,12.43,12.48,81700,12.1629
2015-10-29,12.44,12.45,12.40,12.45,60600,12.133662
2015-10-28,12.41,12.46,12.39,12.43,65300,12.114171
2015-10-27,12.45,12.45,12.39,12.42,28300,12.104425
2015-10-26,12.44,12.48,12.40,12.40,33100,12.084933
2015-10-23,12.36,12.41,12.36,12.41,79100,12.094679
2015-10-22,12.35,12.42,12.32,12.39,70900,12.075187
2015-10-21,12.25,12.49,12.25,12.37,71600,12.055695
2015-10-20,12.24,12.28,12.20,12.25,67500,11.938744
2015-10-19,12.25,12.35,12.23,12.24,75500,11.928998
2015-10-16,12.25,12.29,12.24,12.28,65300,11.967982
2015-10-15,12.26,12.30,12.25,12.26,22800,11.94849
2015-10-14,12.28,12.30,12.22,12.29,54900,11.977728
2015-10-13,12.20,12.24,12.19,12.21,27100,11.899761
2015-10-12,12.23,12.29,12.22,12.28,35400,11.904633
2015-10-09,12.24,12.24,12.19,12.23,60200,11.856162
2015-10-08,12.20,12.25,12.17,12.17,55500,11.797996
2015-10-07,12.26,12.28,12.21,12.21,62900,11.836773
2015-10-06,12.27,12.32,12.23,12.29,56000,11.914328
2015-10-05,12.31,12.31,12.24,12.28,101100,11.904633
2015-10-02,12.30,12.35,12.27,12.35,42700,11.972494
2015-10-01,12.28,12.30,12.26,12.27,48500,11.89494
2015-09-30,12.20,12.27,12.14,12.26,133000,11.885245
2015-09-29,12.10,12.18,12.10,12.18,123000,11.807691
2015-09-28,12.10,12.14,12.06,12.13,73800,11.759219
2015-09-25,12.12,12.13,12.06,12.10,37800,11.730136
2015-09-24,12.09,12.13,12.09,12.09,48700,11.720442
2015-09-23,12.06,12.10,12.03,12.10,24500,11.730136
2015-09-22,12.01,12.08,12.00,12.08,52900,11.710747
2015-09-21,12.04,12.04,11.99,11.99,45700,11.623498
2015-09-18,12.06,12.12,12.02,12.05,122300,11.681664
2015-09-17,11.98,12.09,11.98,12.04,77900,11.67197
2015-09-16,12.00,12.01,11.98,11.98,24500,11.613803
2015-09-15,12.03,12.04,11.99,12.00,47200,11.633193
2015-09-14,12.04,12.06,12.00,12.01,54000,11.642887
2015-09-11,12.05,12.05,11.98,12.02,28500,11.652582
2015-09-10,12.06,12.08,12.02,12.02,75100,11.652582
2015-09-09,12.12,12.16,12.10,12.13,34800,11.696206
2015-09-08,12.13,12.15,12.10,12.11,30400,11.676921
2015-09-04,12.08,12.15,12.07,12.13,25600,11.696206
2015-09-03,12.07,12.11,12.03,12.11,29100,11.676921
2015-09-02,12.11,12.11,12.00,12.07,86100,11.638352
2015-09-01,12.07,12.10,12.04,12.09,24700,11.657637
2015-08-31,12.07,12.07,12.03,12.07,37800,11.638352
2015-08-28,11.99,12.05,11.99,12.02,8900,11.59014
2015-08-27,11.97,12.03,11.97,12.00,54600,11.570855
2015-08-26,12.03,12.08,11.97,11.98,80200,11.55157
2015-08-25,12.03,12.09,12.01,12.03,107100,11.599782
2015-08-24,12.09,12.09,12.00,12.07,100000,11.638352
2015-08-21,12.18,12.21,12.11,12.11,70200,11.676921
2015-08-20,12.15,12.19,12.11,12.16,100600,11.725133
2015-08-19,12.14,12.18,12.13,12.15,29200,11.71549
2015-08-18,12.17,12.18,12.13,12.16,64700,11.725133
2015-08-17,12.18,12.19,12.14,12.17,67000,11.734776
2015-08-14,12.17,12.18,12.11,12.16,37800,11.725133
2015-08-13,12.22,12.22,12.18,12.19,33700,11.75406
2015-08-12,12.25,12.29,12.18,12.21,54800,11.773345
2015-08-11,12.13,12.24,12.12,12.24,62100,11.802272
2015-08-10,12.22,12.22,12.17,12.17,76500,11.6721
2015-08-07,12.13,12.23,12.12,12.20,73900,11.700872
2015-08-06,12.12,12.16,12.06,12.16,60000,11.662509
2015-08-05,12.10,12.14,12.08,12.11,112500,11.614554
2015-08-04,12.21,12.23,12.09,12.10,69200,11.604964
2015-08-03,12.17,12.23,12.17,12.21,46600,11.710463
2015-07-31,12.17,12.18,12.15,12.17,43500,11.6721
2015-07-30,12.15,12.17,12.10,12.11,53400,11.614554
2015-07-29,12.13,12.15,12.11,12.14,71700,11.643328
2015-07-28,12.18,12.18,12.13,12.14,51100,11.643328
2015-07-27,12.13,12.19,12.13,12.19,65600,11.691281
2015-07-24,12.12,12.15,12.12,12.13,36900,11.633736
2015-07-23,12.05,12.11,12.05,12.11,59400,11.614554
2015-07-22,12.07,12.10,12.04,12.08,64500,11.585782
2015-07-21,12.06,12.09,12.02,12.09,193100,11.595373
2015-07-20,12.09,12.14,12.09,12.09,44600,11.595373
2015-07-17,12.13,12.18,12.11,12.11,58900,11.614554
2015-07-16,12.09,12.15,12.09,12.15,45800,11.652918
2015-07-15,12.11,12.14,12.11,12.12,41800,11.624145
2015-07-14,12.10,12.13,12.10,12.13,27500,11.633736
2015-07-13,12.10,12.13,12.08,12.11,54300,11.614554
2015-07-10,12.11,12.14,12.10,12.13,32200,11.633736
2015-07-09,12.17,12.20,12.11,12.14,49300,11.643328
2015-07-08,12.27,12.28,12.22,12.24,43000,11.676896
2015-07-07,12.21,12.29,12.21,12.24,48500,11.676896
2015-07-06,12.19,12.21,12.16,12.17,39700,11.610116
2015-07-02,12.13,12.18,12.13,12.15,68700,11.591036
2015-07-01,12.10,12.16,12.08,12.13,67700,11.571956
2015-06-30,12.07,12.11,12.02,12.10,221600,11.543337
2015-06-29,12.08,12.10,12.00,12.05,161900,11.495637
2015-06-26,12.21,12.21,12.08,12.08,79500,11.524257
2015-06-25,12.24,12.24,12.14,12.19,91000,11.629196
2015-06-24,12.20,12.25,12.16,12.22,144600,11.657816
2015-06-23,12.18,12.24,12.15,12.23,121100,11.667355
2015-06-22,12.24,12.24,12.16,12.20,100500,11.638736
2015-06-19,12.25,12.27,12.20,12.25,85800,11.686436
2015-06-18,12.22,12.25,12.19,12.24,117900,11.676896
2015-06-17,12.22,12.25,12.15,12.25,312700,11.686436
2015-06-16,12.22,12.27,12.19,12.20,183000,11.638736
2015-06-15,12.27,12.34,12.16,12.23,1115700,11.667355
2015-06-12,12.25,12.32,12.16,12.27,182900,11.705516
2015-06-11,12.26,12.32,12.20,12.27,193100,11.705516
2015-06-10,12.26,12.29,12.19,12.25,75900,11.686436
2015-06-09,12.39,12.39,12.22,12.25,104500,11.686436
2015-06-08,12.45,12.49,12.42,12.42,70100,11.786605
2015-06-05,12.56,12.56,12.43,12.46,50200,11.824565
2015-06-04,12.57,12.67,12.57,12.60,110300,11.957425
2015-06-03,12.69,12.71,12.63,12.64,45300,11.995385
2015-06-02,12.74,12.74,12.70,12.72,35300,12.071305
2015-06-01,12.80,12.80,12.75,12.77,42000,12.118756
2015-05-29,12.80,12.80,12.75,12.77,42800,12.118756
2015-05-28,12.83,12.83,12.76,12.80,26600,12.147225
2015-05-27,12.86,12.87,12.79,12.85,20600,12.194676
2015-05-26,12.82,12.86,12.79,12.86,19900,12.204165
2015-05-22,12.84,12.89,12.73,12.78,45500,12.128245
2015-05-21,12.92,12.93,12.87,12.90,7900,12.242125
2015-05-20,12.87,12.88,12.84,12.88,14000,12.223145
2015-05-19,12.89,12.90,12.86,12.87,21100,12.213655
2015-05-18,12.90,12.98,12.79,12.92,90000,12.261105
2015-05-15,12.90,12.90,12.80,12.89,21200,12.232636
2015-05-14,12.85,12.87,12.78,12.86,35300,12.204165
2015-05-13,12.79,12.88,12.79,12.83,63000,12.175695
2015-05-12,12.80,12.84,12.77,12.79,45700,12.137735
2015-05-11,12.92,12.92,12.83,12.87,33600,12.213655
2015-05-08,13.01,13.04,12.96,12.96,23000,12.237381
2015-05-07,12.93,13.02,12.92,13.00,81700,12.275151
2015-05-06,12.98,13.01,12.92,12.93,56900,12.209054
2015-05-05,13.00,13.05,12.92,13.00,50900,12.275151
2015-05-04,13.05,13.09,13.02,13.03,35800,12.303478
2015-05-01,13.12,13.14,13.05,13.06,25700,12.331806
2015-04-30,13.11,13.14,13.07,13.11,47000,12.379017
2015-04-29,13.08,13.12,13.06,13.12,35600,12.38846
2015-04-28,13.12,13.15,13.08,13.15,25400,12.416787
2015-04-27,13.15,13.17,13.14,13.17,14500,12.435672
2015-04-24,13.16,13.17,13.12,13.12,15700,12.38846
2015-04-23,13.14,13.17,13.13,13.17,21600,12.435672
2015-04-22,13.17,13.19,13.12,13.14,12100,12.407345
2015-04-21,13.23,13.23,13.14,13.18,29700,12.445115
2015-04-20,13.19,13.25,13.17,13.25,19200,12.511211
2015-04-17,13.20,13.21,13.16,13.19,20600,12.454556
2015-04-16,13.18,13.21,13.16,13.21,22000,12.473442
2015-04-15,13.17,13.21,13.16,13.21,23000,12.473442
2015-04-14,13.14,13.21,13.14,13.17,43400,12.435672
2015-04-13,13.15,13.15,13.11,13.13,23500,12.397902
2015-04-10,13.19,13.23,13.10,13.16,62700,12.426229
2015-04-09,13.24,13.24,13.15,13.17,54300,12.435672
2015-04-08,13.28,13.31,13.24,13.29,37800,12.487605
2015-04-07,13.31,13.31,13.26,13.30,31600,12.497001
2015-04-06,13.35,13.35,13.23,13.30,54800,12.497001
2015-04-02,13.34,13.34,13.28,13.33,40400,12.52519
2015-04-01,13.35,13.38,13.34,13.36,32900,12.553378
2015-03-31,13.33,13.35,13.24,13.32,35900,12.515793
2015-03-30,13.27,13.29,13.22,13.29,27100,12.487605
2015-03-27,13.22,13.29,13.20,13.29,16000,12.487605
2015-03-26,13.27,13.27,13.20,13.24,19100,12.440623
2015-03-25,13.34,13.38,13.23,13.28,44700,12.478208
2015-03-24,13.27,13.37,13.27,13.37,16700,12.562775
2015-03-23,13.29,13.32,13.24,13.29,28800,12.487605
2015-03-20,13.26,13.32,13.26,13.29,25200,12.487605
2015-03-19,13.32,13.32,13.18,13.26,42900,12.459416
2015-03-18,13.23,13.35,13.21,13.35,28500,12.543983
2015-03-17,13.26,13.26,13.20,13.21,26900,12.412435
2015-03-16,13.28,13.29,13.24,13.26,19700,12.459416
2015-03-13,13.29,13.33,13.24,13.28,20900,12.478208
2015-03-12,13.28,13.33,13.28,13.32,20800,12.515793
2015-03-11,13.25,13.31,13.22,13.26,57300,12.459416
2015-03-10,13.28,13.35,13.28,13.32,30300,12.454718
2015-03-09,13.31,13.32,13.25,13.28,22100,12.417317
2015-03-06,13.39,13.40,13.25,13.29,52800,12.426667
2015-03-05,13.45,13.52,13.43,13.45,65500,12.576273
2015-03-04,13.36,13.50,13.36,13.45,71600,12.576273
2015-03-03,13.34,13.39,13.30,13.36,86100,12.49212
2015-03-02,13.36,13.36,13.28,13.32,59000,12.454718
2015-02-27,13.29,13.33,13.27,13.32,28800,12.454718
2015-02-26,13.38,13.38,13.19,13.26,213500,12.398616
2015-02-25,13.37,13.39,13.33,13.37,38700,12.50147
2015-02-24,13.29,13.36,13.27,13.35,35300,12.48277
2015-02-23,13.31,13.35,13.29,13.29,21000,12.426667
2015-02-20,13.30,13.35,13.28,13.29,42900,12.426667
2015-02-19,13.17,13.32,13.17,13.27,56700,12.407967
2015-02-18,12.96,13.25,12.96,13.20,114100,12.342514
2015-02-17,13.19,13.22,13.01,13.01,123300,12.164857
2015-02-13,13.39,13.43,13.18,13.18,101600,12.323813
