Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.29,10.40,10.29,10.38,166900,10.38
2016-03-10,10.31,10.33,10.23,10.26,148900,10.26
2016-03-09,10.33,10.40,10.32,10.35,136900,10.275
2016-03-08,10.23,10.34,10.23,10.33,147200,10.255145
2016-03-07,10.19,10.28,10.19,10.26,263600,10.185652
2016-03-04,10.19,10.28,10.17,10.24,198900,10.165797
2016-03-03,10.06,10.22,10.06,10.20,250100,10.126087
2016-03-02,10.06,10.09,10.01,10.08,220100,10.006956
2016-03-01,10.00,10.08,9.96,10.06,472500,9.987102
2016-02-29,9.91,9.97,9.90,9.97,280200,9.897754
2016-02-26,9.90,9.93,9.86,9.93,187300,9.858044
2016-02-25,9.88,9.92,9.83,9.89,132900,9.818334
2016-02-24,9.78,9.88,9.78,9.88,159200,9.808406
2016-02-23,9.84,9.84,9.76,9.80,247700,9.728986
2016-02-22,9.85,9.90,9.82,9.84,298300,9.768696
2016-02-19,9.73,9.84,9.70,9.83,233800,9.758768
2016-02-18,9.74,9.75,9.69,9.73,275800,9.659492
2016-02-17,9.70,9.79,9.67,9.73,304300,9.659492
2016-02-16,9.74,9.74,9.62,9.68,246900,9.609855
2016-02-12,9.70,9.74,9.64,9.71,183400,9.639638
2016-02-11,9.69,9.75,9.65,9.70,228500,9.62971
2016-02-10,9.92,9.92,9.75,9.77,260100,9.699203
2016-02-09,9.80,10.00,9.78,9.98,404100,9.833224
2016-02-08,10.00,10.03,9.86,9.91,387700,9.764254
2016-02-05,10.12,10.12,10.04,10.08,180000,9.931754
2016-02-04,10.13,10.16,10.08,10.14,241500,9.990872
2016-02-03,10.19,10.19,10.08,10.16,276200,10.010577
2016-02-02,10.01,10.20,10.01,10.16,412200,10.010577
2016-02-01,10.17,10.21,10.14,10.20,586700,10.049989
2016-01-29,10.16,10.20,10.12,10.17,269400,10.02043
2016-01-28,10.03,10.12,10.03,10.12,134200,9.971165
2016-01-27,10.06,10.07,9.99,10.01,204800,9.862783
2016-01-26,9.94,10.10,9.94,10.10,232200,9.95146
2016-01-25,9.98,9.99,9.89,9.89,218700,9.744548
2016-01-22,9.99,10.03,9.93,9.98,419100,9.833224
2016-01-21,9.91,10.01,9.90,9.94,533100,9.793812
2016-01-20,9.90,9.90,9.71,9.86,390900,9.714989
2016-01-19,10.16,10.16,9.96,9.96,477300,9.813519
2016-01-15,10.12,10.20,9.91,10.18,651000,10.030283
2016-01-14,10.18,10.22,10.12,10.21,267200,10.059842
