Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.27,15.30,15.21,15.22,71300,15.22
2016-03-10,15.21,15.28,15.16,15.26,38800,15.26
2016-03-09,15.24,15.26,15.21,15.21,34500,15.139
2016-03-08,15.24,15.27,15.18,15.20,51900,15.129046
2016-03-07,15.06,15.19,15.06,15.13,48300,15.059373
2016-03-04,15.08,15.08,14.99,15.02,24800,14.949887
2016-03-03,15.07,15.12,15.01,15.01,29800,14.939934
2016-03-02,15.06,15.09,14.97,15.04,32900,14.969793
2016-03-01,15.25,15.25,14.98,15.04,59500,14.969793
2016-02-29,15.16,15.16,15.11,15.12,34800,15.04942
2016-02-26,15.25,15.25,15.08,15.09,35700,15.01956
2016-02-25,15.30,15.30,15.22,15.26,54300,15.188767
2016-02-24,15.28,15.31,15.21,15.26,47000,15.188767
2016-02-23,15.10,15.24,15.07,15.22,52000,15.148953
2016-02-22,15.13,15.14,15.04,15.07,31400,14.999653
2016-02-19,15.04,15.12,15.02,15.02,25100,14.949887
2016-02-18,14.96,15.00,14.90,14.99,24500,14.920026
2016-02-17,14.89,14.98,14.87,14.88,31400,14.81054
2016-02-16,14.95,14.95,14.81,14.84,68400,14.770727
2016-02-12,15.20,15.20,14.95,14.95,45500,14.880213
2016-02-11,15.31,15.31,15.11,15.13,53900,15.059373
2016-02-10,15.28,15.34,15.18,15.20,32500,15.129046
2016-02-09,15.28,15.62,15.23,15.29,90700,15.147958
2016-02-08,15.24,15.29,15.14,15.20,54500,15.058794
2016-02-05,15.23,15.23,15.14,15.16,61200,15.019166
2016-02-04,15.15,15.22,15.14,15.16,33500,15.019166
2016-02-03,15.06,15.15,15.01,15.13,47900,14.989445
2016-02-02,15.19,15.19,14.99,15.01,53400,14.870559
2016-02-01,14.92,15.10,14.89,15.10,52500,14.959723
2016-01-29,14.96,15.00,14.82,14.83,58000,14.692231
2016-01-28,14.78,14.96,14.74,14.94,98700,14.801209
2016-01-27,14.68,14.71,14.61,14.64,49200,14.503997
2016-01-26,14.63,14.63,14.54,14.59,55300,14.454461
2016-01-25,14.67,14.68,14.56,14.57,69600,14.434646
2016-01-22,14.68,14.68,14.57,14.61,58100,14.474275
2016-01-21,14.76,14.76,14.58,14.59,71000,14.454461
2016-01-20,14.89,14.89,14.62,14.70,44300,14.563439
2016-01-19,15.04,15.11,14.89,14.89,31500,14.751674
2016-01-15,14.89,15.12,14.85,15.05,86000,14.910188
2016-01-14,14.79,14.85,14.68,14.85,66700,14.712046
2016-01-13,14.69,14.77,14.66,14.75,40200,14.612975
2016-01-12,14.72,14.72,14.60,14.72,36100,14.512913
2016-01-11,14.80,14.80,14.63,14.72,52300,14.512913
2016-01-08,14.71,14.80,14.64,14.78,26200,14.572068
2016-01-07,14.70,14.82,14.64,14.65,52400,14.443897
2016-01-06,14.61,14.79,14.60,14.68,35100,14.473476
2016-01-05,14.58,14.62,14.57,14.62,42700,14.41432
2016-01-04,14.60,14.60,14.51,14.56,59500,14.355164
2015-12-31,14.67,14.67,14.48,14.61,46000,14.40446
2015-12-30,14.55,14.64,14.42,14.51,47300,14.305867
2015-12-29,14.62,14.64,14.42,14.49,65400,14.286148
2015-12-28,14.48,14.54,14.44,14.50,29900,14.296008
2015-12-24,14.44,14.48,14.42,14.45,25100,14.246711
2015-12-23,14.37,14.46,14.35,14.43,27000,14.226993
2015-12-22,14.27,14.35,14.26,14.34,40900,14.138259
2015-12-21,14.38,14.41,14.22,14.23,57900,14.029806
2015-12-18,14.22,14.40,14.22,14.32,50600,14.11854
2015-12-17,14.18,14.30,14.11,14.21,48200,14.010088
2015-12-16,14.07,14.19,14.03,14.18,71600,13.98051
2015-12-15,14.10,14.17,14.05,14.08,62200,13.881917
2015-12-14,14.20,14.20,14.04,14.10,36500,13.901636
2015-12-11,14.27,14.28,14.16,14.19,32900,13.990369
2015-12-10,14.27,14.30,14.14,14.20,50600,14.000228
2015-12-09,14.36,14.36,14.20,14.31,35600,14.108681
2015-12-08,14.44,14.49,14.34,14.36,32100,14.087976
2015-12-07,14.52,14.52,14.40,14.43,28400,14.156651
2015-12-04,14.42,14.61,14.42,14.56,64700,14.284188
2015-12-03,14.45,14.47,14.33,14.40,46200,14.127219
2015-12-02,14.43,14.49,14.34,14.48,58100,14.205703
2015-12-01,14.37,14.46,14.29,14.41,61600,14.137029
2015-11-30,14.37,14.37,14.26,14.27,95000,13.999682
2015-11-27,14.27,14.32,14.16,14.32,46700,14.048734
2015-11-25,14.24,14.24,14.18,14.21,25600,13.940818
2015-11-24,14.24,14.27,14.21,14.25,39600,13.98006
2015-11-23,14.18,14.27,14.18,14.21,41400,13.940818
2015-11-20,14.15,14.22,14.14,14.16,50000,13.891765
2015-11-19,14.15,14.15,14.09,14.15,42100,13.881954
2015-11-18,14.10,14.17,14.05,14.13,68500,13.862334
2015-11-17,14.04,14.09,14.03,14.05,27500,13.783849
2015-11-16,14.02,14.21,14.02,14.08,74800,13.813281
2015-11-13,14.03,14.08,13.96,14.02,48000,13.754418
2015-11-12,13.91,14.04,13.90,14.02,22900,13.754418
2015-11-11,13.95,13.99,13.85,13.93,38800,13.597448
2015-11-10,13.85,14.00,13.85,13.94,25100,13.607209
2015-11-09,13.98,13.98,13.80,13.88,72300,13.548642
2015-11-06,13.98,14.07,13.88,14.04,54500,13.704822
2015-11-05,14.03,14.07,14.00,14.06,39900,13.724345
2015-11-04,14.08,14.08,13.91,13.92,33700,13.587687
2015-11-03,14.02,14.08,14.02,14.04,42100,13.704822
2015-11-02,14.13,14.17,14.04,14.05,46800,13.714583
2015-10-30,14.14,14.14,14.04,14.06,40000,13.724345
2015-10-29,14.17,14.17,14.07,14.10,26600,13.76339
2015-10-28,14.09,14.17,14.09,14.12,34200,13.782912
2015-10-27,14.08,14.22,14.08,14.12,81700,13.782912
2015-10-26,14.00,14.07,13.87,14.07,42400,13.734105
2015-10-23,13.99,14.07,13.90,13.97,28600,13.636493
2015-10-22,13.94,14.02,13.91,13.91,55600,13.577925
2015-10-21,13.96,14.01,13.82,13.92,35400,13.587687
2015-10-20,13.94,13.96,13.90,13.93,41800,13.597448
2015-10-19,13.98,13.98,13.91,13.94,27100,13.607209
2015-10-16,13.97,13.98,13.93,13.98,33600,13.646254
2015-10-15,13.99,13.99,13.85,13.95,60100,13.61697
2015-10-14,13.96,13.96,13.90,13.94,38700,13.607209
2015-10-13,13.88,13.95,13.83,13.86,90700,13.529119
