Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,1.35,1.43,1.35,1.40,65800,1.40
2016-03-10,1.35,1.35,1.31,1.35,76700,1.35
2016-03-09,1.39,1.43,1.34,1.35,151200,1.35
2016-03-08,1.34,1.38,1.326,1.33,115900,1.33
2016-03-07,1.32,1.38,1.32,1.34,57900,1.34
2016-03-04,1.23,1.32,1.23,1.31,53200,1.31
2016-03-03,1.19,1.30,1.19,1.22,93500,1.22
2016-03-02,1.19,1.24,1.18,1.18,44600,1.18
2016-03-01,1.20,1.23,1.18,1.18,51500,1.18
2016-02-29,1.20,1.21,1.18,1.19,59300,1.19
2016-02-26,1.15,1.23,1.15,1.19,40000,1.19
2016-02-25,1.15,1.19,1.10,1.14,66500,1.14
2016-02-24,1.24,1.25,1.12,1.19,96400,1.172
2016-02-23,1.16,1.24,1.145,1.20,850500,1.181849
2016-02-22,1.12,1.17,1.10,1.15,123900,1.132605
2016-02-19,1.18,1.21,1.14,1.14,153500,1.122756
2016-02-18,1.24,1.24,1.18,1.18,141600,1.162151
2016-02-17,1.21,1.27,1.18,1.23,228900,1.211395
2016-02-16,1.20,1.20,1.14,1.17,553400,1.152302
2016-02-12,1.21,1.254,1.19,1.20,51500,1.181849
2016-02-11,1.20,1.21,1.19,1.20,49000,1.181849
2016-02-10,1.29,1.33,1.23,1.23,41800,1.211395
2016-02-09,1.36,1.378,1.20,1.25,114000,1.231092
2016-02-08,1.39,1.414,1.35,1.36,62200,1.339429
2016-02-05,1.46,1.47,1.39,1.39,31600,1.368975
2016-02-04,1.48,1.485,1.44,1.45,18200,1.428067
2016-02-03,1.51,1.60,1.40,1.48,318400,1.457613
2016-02-02,1.51,1.56,1.48,1.52,26200,1.497008
2016-02-01,1.47,1.50,1.469,1.50,24900,1.477311
2016-01-29,1.45,1.51,1.38,1.46,24100,1.437916
2016-01-28,1.463,1.48,1.42,1.435,75700,1.413294
2016-01-27,1.52,1.52,1.46,1.495,46200,1.472387
2016-01-26,1.50,1.53,1.41,1.51,63800,1.469432
2016-01-25,1.46,1.49,1.44,1.47,101100,1.430507
2016-01-22,1.47,1.49,1.41,1.42,50800,1.38185
2016-01-21,1.44,1.49,1.40,1.46,119800,1.420775
2016-01-20,1.46,1.515,1.33,1.45,174200,1.411044
2016-01-19,1.51,1.53,1.45,1.48,115500,1.440238
2016-01-15,1.52,1.58,1.45,1.53,105300,1.488895
2016-01-14,1.50,1.556,1.50,1.51,59000,1.469432
2016-01-13,1.78,1.878,1.44,1.52,218400,1.479163
2016-01-12,1.78,1.78,1.65,1.74,52500,1.693253
2016-01-11,1.78,1.78,1.67,1.72,35400,1.67379
2016-01-08,1.83,1.83,1.68,1.82,37100,1.771103
2016-01-07,1.84,1.84,1.80,1.80,2089700,1.751641
2016-01-06,1.854,1.87,1.82,1.87,9500,1.81976
2016-01-05,1.89,1.912,1.82,1.823,24700,1.774023
2016-01-04,1.93,1.93,1.87,1.87,9400,1.81976
2015-12-31,1.87,1.93,1.87,1.93,51100,1.878148
2015-12-30,1.85,1.91,1.84,1.90,39700,1.848954
2015-12-29,1.85,1.89,1.81,1.89,29500,1.839223
2015-12-28,1.85,1.87,1.805,1.85,31300,1.782781
2015-12-24,1.75,1.81,1.75,1.81,18900,1.744234
2015-12-23,1.70,1.80,1.70,1.80,32600,1.734598
2015-12-22,1.72,1.75,1.67,1.72,43000,1.657505
2015-12-21,1.80,1.80,1.69,1.75,56600,1.686414
2015-12-18,1.78,1.90,1.73,1.80,88600,1.734598
2015-12-17,1.70,1.88,1.67,1.715,39000,1.652686
2015-12-16,1.67,1.819,1.67,1.71,22400,1.647868
2015-12-15,1.70,1.74,1.60,1.715,152300,1.652686
2015-12-14,1.76,1.767,1.65,1.67,54200,1.609321
2015-12-11,1.80,1.82,1.75,1.75,28600,1.686414
2015-12-10,1.83,1.83,1.75,1.80,47000,1.734598
2015-12-09,1.72,1.80,1.72,1.79,25600,1.724961
2015-12-08,1.84,1.85,1.71,1.77,138400,1.705688
2015-12-07,1.93,1.97,1.84,1.84,95800,1.773144
2015-12-04,1.85,1.91,1.83,1.872,112200,1.803982
2015-12-03,1.86,1.89,1.83,1.85,113200,1.782781
2015-12-02,1.86,1.95,1.79,1.87,89700,1.802054
2015-12-01,1.86,1.86,1.82,1.83,5600,1.763508
2015-11-30,1.89,1.90,1.828,1.86,34900,1.792418
2015-11-27,1.86,1.86,1.86,1.86,300,1.792418
2015-11-25,1.85,1.86,1.82,1.83,29000,1.763508
2015-11-24,1.87,1.87,1.81,1.85,30200,1.765435
2015-11-23,1.805,1.89,1.805,1.89,21500,1.803607
2015-11-20,1.88,1.88,1.81,1.81,6400,1.727263
2015-11-19,1.80,1.87,1.752,1.87,11500,1.784521
2015-11-18,1.86,1.86,1.80,1.83,32600,1.746349
2015-11-17,1.858,1.87,1.83,1.84,15900,1.755892
2015-11-16,1.88,1.88,1.85,1.88,3400,1.794064
2015-11-13,1.83,1.89,1.83,1.88,17000,1.794064
2015-11-12,1.87,1.87,1.84,1.86,24300,1.774978
2015-11-11,1.911,1.93,1.86,1.87,29300,1.784521
2015-11-10,1.99,1.99,1.88,1.88,28800,1.794064
2015-11-09,1.97,1.97,1.89,1.89,53100,1.803607
2015-11-06,1.99,1.99,1.93,1.94,28000,1.851321
2015-11-05,1.97,1.97,1.94,1.95,16700,1.860864
2015-11-04,1.93,1.99,1.93,1.94,38000,1.851321
2015-11-03,1.96,1.98,1.96,1.97,8800,1.87995
2015-11-02,1.99,1.99,1.94,1.98,37100,1.889493
2015-10-30,1.99,1.99,1.93,1.95,18700,1.860864
2015-10-29,1.94,1.97,1.93,1.97,27500,1.87995
2015-10-28,2.00,2.00,1.95,1.95,39400,1.860864
2015-10-27,2.00,2.00,1.95,1.96,48900,1.85323
2015-10-26,1.99,2.00,1.95,2.00,50500,1.891051
2015-10-23,1.99,1.99,1.96,1.975,63900,1.867413
