Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,117.93,120.760002,116.629997,120.620003,590200,120.620003
2016-03-10,116.910004,118.00,114.139999,116.82,416800,116.82
2016-03-09,117.050003,117.309998,115.50,116.489998,796500,116.489998
2016-03-08,116.50,117.370003,115.449997,116.709999,842400,116.709999
2016-03-07,116.050003,117.480003,115.989998,116.949997,898000,116.949997
2016-03-04,116.610001,117.480003,115.57,117.190002,692000,117.190002
2016-03-03,116.489998,117.669998,115.419998,117.00,884700,117.00
2016-03-02,115.349998,117.089996,115.199997,116.779999,1159600,116.779999
2016-03-01,114.269997,115.57,112.650002,115.510002,694100,115.510002
2016-02-29,113.040001,115.360001,111.650002,113.32,956000,113.32
2016-02-26,113.339996,114.18,111.010002,112.75,459900,112.75
2016-02-25,111.599998,112.989998,110.75,112.879997,559200,112.879997
2016-02-24,110.769997,112.489998,109.82,111.559998,447300,111.559998
2016-02-23,112.370003,112.800003,111.349998,111.889999,408400,111.889999
2016-02-22,111.360001,113.230003,111.010002,113.040001,681300,113.040001
2016-02-19,111.370003,112.400002,107.279999,110.330002,1244300,110.330002
2016-02-18,111.120003,112.199997,108.93,111.599998,440900,111.599998
2016-02-17,110.830002,112.110001,107.970001,111.239998,921500,111.239998
2016-02-16,109.110001,111.300003,107.010002,110.769997,1179200,110.769997
2016-02-12,108.559998,109.43,107.07,107.839996,918200,107.839996
2016-02-11,105.629997,109.260002,104.110001,107.129997,1314300,107.129997
2016-02-10,106.730003,112.110001,106.360001,107.519997,1943100,107.519997
2016-02-09,111.169998,112.110001,109.639999,110.650002,1715000,110.650002
2016-02-08,113.300003,113.300003,110.459999,111.160004,1194400,111.160004
2016-02-05,115.120003,116.489998,109.709999,114.019997,992700,114.019997
2016-02-04,114.080002,116.32,114.080002,115.709999,950500,115.709999
2016-02-03,113.379997,114.639999,109.639999,114.050003,896300,114.050003
2016-02-02,113.25,113.860001,109.75,110.559998,693200,110.559998
2016-02-01,114.00,114.849998,112.900002,114.50,569800,114.50
2016-01-29,113.349998,114.589996,111.669998,114.470001,746300,114.470001
2016-01-28,110.900002,112.970001,109.900002,112.580002,680400,112.580002
2016-01-27,110.769997,112.57,109.019997,110.709999,896100,110.709999
2016-01-26,110.419998,111.400002,107.300003,111.00,563100,111.00
2016-01-25,111.32,114.629997,110.00,110.120003,701300,110.120003
2016-01-22,111.879997,112.949997,110.190002,111.949997,744900,111.949997
2016-01-21,109.730003,110.580002,108.32,110.00,944300,110.00
2016-01-20,109.059998,111.599998,108.32,109.300003,1653900,109.300003
2016-01-19,113.660004,115.870003,109.870003,110.379997,1450800,110.379997
2016-01-15,113.330002,114.879997,111.919998,112.529999,1093700,112.529999
2016-01-14,113.510002,115.029999,110.050003,114.379997,785300,114.379997
2016-01-13,116.459999,117.07,112.589996,112.849998,949600,112.849998
2016-01-12,115.510002,116.059998,114.50,115.550003,1098000,115.550003
2016-01-11,117.010002,117.330002,114.089996,114.970001,1408600,114.970001
2016-01-08,115.480003,117.440002,113.50,116.620003,2006300,116.620003
2016-01-07,116.379997,119.739998,114.93,114.949997,2489500,114.949997
2016-01-06,125.239998,125.540001,119.940002,119.980003,2386400,119.980003
