Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,11.76,11.79,11.72,11.73,107700,11.73
2016-03-10,11.73,11.74,11.66,11.72,54900,11.72
2016-03-09,11.69,11.70,11.64,11.66,47000,11.66
2016-03-08,11.76,11.80,11.69,11.74,46800,11.664
2016-03-07,11.73,11.80,11.72,11.78,43900,11.703741
2016-03-04,11.64,11.78,11.64,11.75,54900,11.673935
2016-03-03,11.63,11.68,11.62,11.66,25500,11.584518
2016-03-02,11.58,11.64,11.56,11.63,56200,11.554712
2016-03-01,11.44,11.61,11.35,11.58,102400,11.505036
2016-02-29,11.36,11.45,11.36,11.44,39600,11.365942
2016-02-26,11.36,11.41,11.35,11.40,37400,11.326201
2016-02-25,11.23,11.34,11.23,11.33,38700,11.256654
2016-02-24,11.13,11.27,11.06,11.26,47400,11.187107
2016-02-23,11.25,11.30,11.18,11.21,73500,11.137431
2016-02-22,11.26,11.33,11.25,11.30,66000,11.226848
2016-02-19,11.17,11.19,11.09,11.19,53100,11.11756
2016-02-18,11.19,11.25,11.16,11.17,41700,11.09769
2016-02-17,11.08,11.26,11.03,11.20,36500,11.127495
2016-02-16,10.98,11.10,10.98,11.07,54100,10.998337
2016-02-12,10.72,10.90,10.72,10.90,46200,10.829437
2016-02-11,10.73,10.75,10.61,10.73,70100,10.660538
2016-02-10,10.81,10.92,10.72,10.82,67800,10.749955
2016-02-09,10.79,10.92,10.79,10.81,62300,10.740021
2016-02-08,11.07,11.07,10.94,11.00,41700,10.853282
2016-02-05,11.35,11.36,11.13,11.17,62900,11.021015
2016-02-04,11.30,11.42,11.29,11.36,21100,11.20848
2016-02-03,11.33,11.38,11.18,11.31,28100,11.159148
2016-02-02,11.36,11.36,11.26,11.34,29500,11.188748
2016-02-01,11.35,11.49,11.31,11.45,139400,11.29728
2016-01-29,11.25,11.43,11.25,11.41,56400,11.257814
2016-01-28,11.25,11.32,11.18,11.27,22600,11.119682
2016-01-27,11.23,11.31,11.15,11.18,45100,11.030882
2016-01-26,11.17,11.29,11.15,11.21,28200,11.060481
2016-01-25,11.27,11.27,11.11,11.13,33000,10.981549
2016-01-22,11.17,11.29,11.13,11.29,41700,11.139414
2016-01-21,10.94,11.09,10.93,11.05,86700,10.902616
2016-01-20,11.12,11.12,10.71,10.92,112700,10.774349
2016-01-19,11.40,11.40,10.94,11.23,89400,11.080214
2016-01-15,11.41,11.44,11.25,11.30,51500,11.149281
2016-01-14,11.49,11.67,11.49,11.59,286900,11.435413
2016-01-13,11.70,11.77,11.49,11.51,74700,11.35648
2016-01-12,11.75,11.82,11.63,11.69,89200,11.534079
2016-01-11,11.90,11.90,11.65,11.70,104700,11.543946
2016-01-08,11.87,11.94,11.82,11.84,54300,11.682079
2016-01-07,11.93,11.94,11.75,11.87,119300,11.711678
2016-01-06,12.02,12.07,12.01,12.01,83000,11.849811
2016-01-05,12.12,12.13,12.08,12.12,56900,11.958344
2016-01-04,12.10,12.14,11.98,12.11,60200,11.948477
2015-12-31,12.05,12.31,12.05,12.18,117900,12.017544
2015-12-30,12.08,12.15,12.05,12.14,300000,11.978077
2015-12-29,11.98,12.11,11.91,12.07,56400,11.90901
2015-12-28,12.00,12.01,11.87,12.01,81400,11.769891
2015-12-24,12.08,12.08,11.99,12.04,26200,11.799291
2015-12-23,11.94,12.09,11.94,12.08,101600,11.838492
2015-12-22,11.97,12.02,11.88,11.88,71900,11.64249
2015-12-21,12.01,12.01,11.92,11.95,97400,11.71109
2015-12-18,12.01,12.03,11.97,11.99,94200,11.750291
2015-12-17,12.06,12.09,12.00,12.03,87800,11.789491
